protocol_name,frac_out,n_pat_out,no_ttt_out,n_pres_out,frac_not,n_pat_not,no_ttt_not,n_pres_not,odds_ratio,fisher_pval,pval_str,drg_no,outlier,drg
SHC IP GEN BRONCHOSCOPY PRE/INTRA/POST,0.042,5,115,39,0.002,1,594,10,25.83,0.0006441541830689,< 10^-3,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP ICU VOLUME BASED TUBE FEEDING (ICU ONLY),0.042,5,115,11,0.002,1,594,1,25.83,0.0006441541830689,< 10^-3,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.074,5,63,7,0.003,1,331,2,26.27,0.0006516795012813,< 10^-3,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
IP RAD NEURORADIOLOGY PRE-PROCEDURE,0.024,3,120,3,0.119,57,420,58,0.18,0.0006726256230105,< 10^-3,1601,lo,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
IP INSULIN TRANSITION OFF IV INFUSION,0.607,34,22,202,0.362,151,266,741,2.72,0.0006816853895969,< 10^-3,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP RAD NEURORADIOLOGY PRE-PROCEDURE,0.133,16,104,17,0.04,19,451,19,3.65,0.0006854706660269,< 10^-3,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
IP/ED GEN HYPERKALEMIA THERAPY,0.018,5,271,51,0.001,1,1348,5,24.87,0.0007080811706978,< 10^-3,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.066,5,71,116,0.003,1,362,31,25.49,0.0007208847593395,< 10^-3,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP ICU SEDATION MANAGEMENT FOR MECHANICALLY VENTILATED PATIENTS,0.066,5,71,7,0.003,1,362,1,25.49,0.0007208847593395,< 10^-3,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP ICU VOLUME BASED TUBE FEEDING (ICU ONLY),0.066,5,71,13,0.003,1,362,1,25.49,0.0007208847593395,< 10^-3,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP MED GENERAL ADMIT,0.602,50,33,331,0.786,381,104,2270,0.41,0.0007374293895197,< 10^-3,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
IP NEU ICU TARGETED TEMPERATURE MANAGEMENT -POST CARDIAC ARREST,0.085,5,54,21,0.005,2,364,5,16.85,0.0007428031686985,< 10^-3,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
SHC IP GEN BRONCHOSCOPY PRE/INTRA/POST,0.085,5,54,32,0.005,2,364,30,16.85,0.0007428031686985,< 10^-3,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
IP ICU/CCU GENERAL ADMIT,0.11,13,105,104,0.03,15,479,70,3.95,0.0007534464840504,< 10^-3,2418,hi,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS
IP/ED MEDICATION ADMINISTRATION - INTRANASAL ANETHETIC FOR NG,0.02,6,295,9,0.002,3,1629,4,11.04,0.0007536248071967,< 10^-3,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP RESP INHALED EPOPROSTENOL (VELETRI),0.102,6,53,23,0.011,4,362,8,10.25,0.0007571598040907,< 10^-3,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
IP INSULIN TRANSITION OFF IV INFUSION,0.091,8,80,52,0.014,6,411,46,6.85,0.000771049172207,< 10^-3,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC RIS DIAG/FLUORO SMART SET,0.312,24,53,93,0.143,52,312,169,2.72,0.0007842766569562,< 10^-3,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC ANE PACU,0.688,53,24,579,0.856,458,77,5493,0.37,0.0007990907523816,< 10^-3,2404,lo,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
IP RESP INHALED EPOPROSTENOL (VELETRI),0.052,4,73,8,0.002,1,578,2,31.67,0.0008057077340394,< 10^-3,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.052,4,73,8,0.002,1,578,5,31.67,0.0008057077340394,< 10^-3,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP ICU VOLUME BASED TUBE FEEDING (ICU ONLY),0.052,4,73,19,0.002,1,578,2,31.67,0.0008057077340394,< 10^-3,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.107,6,50,39,0.32,125,266,851,0.26,0.0008184161375722,< 10^-3,2337,lo,OPEN EXTRACRANIAL VASCULAR PROCEDURES
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.203,12,47,77,0.06,22,344,62,3.99,0.0008284843224286,< 10^-3,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
IP ICU SEDATION MANAGEMENT FOR MECHANICALLY VENTILATED PATIENTS,0.065,5,72,6,0.005,3,576,3,13.33,0.0008307303388016,< 10^-3,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.177,14,65,58,0.057,22,367,91,3.59,0.0008443514876677,< 10^-3,2352,hi,SEIZURE
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.229,19,64,151,0.089,41,421,126,3.05,0.0008464624241045,< 10^-3,1806,hi,HEART FAILURE AND SHOCK WITH MCC
IP GEN ALBUMIN,0.045,5,105,8,0.003,2,665,7,15.83,0.0008675647152903,< 10^-3,2412,hi,HEART FAILURE
SHC IP PAI KETAMINE IV INFUSION,0.059,6,96,6,0.005,2,429,2,13.41,0.0008676305969286,< 10^-3,6267,hi,MAJOR SMALL BOWEL PROCEDURES
IP/ED GEN HYPERKALEMIA THERAPY,0.059,6,96,43,0.005,2,429,10,13.41,0.0008676305969286,< 10^-3,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.27,10,27,28,0.562,245,191,1282,0.29,0.0008798834518801,< 10^-3,2398,lo,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP CAR CARDIOLOGY PRE PROCEDURE,0.649,50,27,122,0.443,237,298,546,2.33,0.0008917556430451,< 10^-3,2404,lo,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
IP RESP INHALED EPOPROSTENOL (VELETRI),0.058,4,65,8,0.219,86,306,202,0.22,0.0008934478285825,< 10^-3,1748,lo,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
SHC RIS DIAG/FLUORO SMART SET,0.231,21,70,86,0.093,33,323,115,2.94,0.0008964233568025,< 10^-3,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
IP NEU STROKE ADMISSION,0.26,20,57,129,0.467,170,194,847,0.4,0.0009177967530019,< 10^-3,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC RIS MRI CONTRAST SMART SET,0.073,7,89,8,0.01,5,493,6,7.76,0.0009287947331972,< 10^-3,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC RIS DIAG/FLUORO SMART SET,0.193,16,67,67,0.068,33,452,108,3.27,0.0009412494019531,< 10^-3,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP ICU VOLUME BASED TUBE FEEDING (ICU ONLY),0.037,9,232,15,0.007,9,1215,18,5.24,0.0009452841700905,< 10^-3,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.187,43,187,163,0.291,359,876,2046,0.56,0.0009594454787289,< 10^-3,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP NEU ICU STROKE ISCHEMIC/INTRACEREBRAL HEMORRHAGE ADMIT,0.519,40,37,467,0.316,115,249,1250,2.34,0.0009620464935677,< 10^-3,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
IP GEN VTE PROPHYLAXIS,0.022,5,225,5,0.078,96,1139,117,0.26,0.0009735707536952,< 10^-3,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP ICU COVID-19 EVALUATION/MANAGEMENT,0.046,11,230,128,0.011,14,1210,118,4.13,0.0009884079081776,< 10^-3,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
PRE-ADMISSION/PRE-OP ORDERS,0.333,13,26,52,0.614,237,149,984,0.31,0.0009921398349156,< 10^-3,2638,lo,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.232,13,43,30,0.077,30,358,65,3.61,0.0009951693987747,< 10^-3,6427,hi,OTHER CHEMOTHERAPY
RETIRED IP SUR GENERAL POSTOP,0.118,8,60,43,0.023,10,427,56,5.69,0.0010466357724937,0.001,2448,lo,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC RIS CT CONTRAST ORDER SET,0.068,5,69,5,0.223,116,404,171,0.25,0.001053781929344,0.001,1836,lo,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.233,28,92,117,0.114,68,527,264,2.36,0.0010765068127212,0.001,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP PAI EPIDURAL ANALGESIA,0.083,5,55,44,0.007,3,417,15,12.64,0.0010852547020322,0.001,1749,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
SHC RIS DIAG/FLUORO SMART SET,0.083,5,55,20,0.007,3,417,9,12.64,0.0010852547020322,0.001,1749,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
IP GEN VTE PROPHYLAXIS,0.049,9,176,16,0.009,7,754,9,5.51,0.0011220006231775,0.001,2459,hi,HIP JOINT REPLACEMENT
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.088,8,83,14,0.014,5,351,8,6.77,0.0011758764529631,0.001,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
IP RD TUBE FEEDS,0.089,7,72,17,0.013,5,384,9,7.47,0.0011820219066237,0.001,2352,hi,SEIZURE
IP INSULIN TRANSITION OFF IV INFUSION,0.049,5,97,35,0.002,1,430,10,22.16,0.0012031081310694,0.001,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP ICU PAIN MANAGEMENT,0.054,8,140,36,0.01,7,724,30,5.91,0.0012081515190512,0.001,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
SHC RIS MRI CONTRAST SMART SET,0.02,5,243,5,0.001,1,1050,1,21.6,0.0012421721169757,0.001,1946,hi,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
IP GEN VTE PROPHYLAXIS,0.214,12,44,18,0.07,29,388,33,3.65,0.0012672534743767,0.001,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.301,25,58,187,0.146,71,414,349,2.51,0.0012694964593068,0.001,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.339,19,37,120,0.153,63,349,305,2.84,0.0012917961593297,0.001,1930,hi,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
ED/IP MEDICATION ADMINISTRATION - URETHRAL ANESTHETIC FOR URINARY CATHETER INSERTION,0.027,8,293,8,0.005,8,1624,8,5.54,0.0012936285386557,0.001,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP SUBCUTANEOUS INSULIN,0.087,24,252,171,0.038,51,1298,353,2.42,0.0013065339033012,0.001,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP ICU/CCU GENERAL ADMIT,0.018,1,56,7,0.162,83,428,507,0.09,0.0013088745729662,0.001,1712,lo,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC RIS CT CONTRAST ORDER SET,0.077,15,180,18,0.162,232,1198,358,0.43,0.001318638795294,0.001,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC ANE PACU,0.108,9,74,168,0.025,12,473,142,4.79,0.0013236269809607,0.001,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP NSR NEUROSURGERY ADMISSION/POST-OP,0.623,48,29,1091,0.425,218,295,5111,2.24,0.0013309170975302,0.001,1599,lo,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.183,11,49,34,0.055,23,397,46,3.87,0.0013503557716727,0.001,1749,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
IP/ED GEN HYPERKALEMIA THERAPY,0.092,7,69,60,0.014,5,358,22,7.26,0.0013741715809325,0.001,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP ICU PAIN MANAGEMENT,0.091,22,219,90,0.039,48,1176,218,2.46,0.0013898573532547,0.001,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP ENT ADMISSION AND POSTOP,0.036,7,188,62,0.006,9,1421,79,5.88,0.001426700285095,0.001,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
IP CAR CONGESTIVE HEART FAILURE,0.191,13,55,65,0.386,274,435,1603,0.38,0.0014291668478718,0.001,2412,lo,HEART FAILURE
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.162,11,57,43,0.045,15,317,34,4.08,0.0014609695570681,0.001,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
SHC IP REN HEMODIALYSIS,0.09,7,71,37,0.014,6,410,15,6.74,0.0014666129420087,0.001,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
SHC IP SUBCUTANEOUS INSULIN,0.005,1,194,4,0.052,74,1356,520,0.09,0.0014738218507666,0.001,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.005,1,194,2,0.052,74,1356,182,0.09,0.0014738218507666,0.001,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP REN HEMODIALYSIS,0.102,6,53,32,0.014,5,361,80,8.17,0.0014855827681483,0.001,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
IP CAR CARDIOLOGY PRE PROCEDURE,0.436,34,44,78,0.635,264,152,593,0.44,0.0014961736540014,0.001,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
SHC RIS MRI CONTRAST SMART SET,0.152,22,123,24,0.062,28,427,31,2.73,0.0015295986812955,0.002,1601,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
SHC IP VAD HEPARIN IV INFUSION LVAD PROTOCOLS,0.037,9,232,18,0.008,10,1214,11,4.71,0.0015414387135503,0.002,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP CAR CARDIOLOGY POST PROCEDURE - OUTPATIENT,0.075,7,86,16,0.013,7,543,21,6.31,0.0015469973640409,0.002,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC RIS MRI CONTRAST SMART SET,0.088,9,93,12,0.019,8,423,8,5.12,0.0015508890184139,0.002,6267,hi,MAJOR SMALL BOWEL PROCEDURES
IP CTS CARDIAC SURGERY TRANSFER,0.831,49,10,803,0.952,401,20,7023,0.24,0.001552780057487,0.002,1749,lo,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
IP/ED MEDICATION ADMINISTRATION - INTRANASAL ANETHETIC FOR NG,0.054,5,88,7,0.003,1,366,1,20.8,0.0015575849135001,0.002,2447,hi,OTHER DIGESTIVE SYSTEM DIAGNOSES
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.135,13,83,78,0.044,22,476,69,3.39,0.0015759449111075,0.002,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC IP REN HEMODIALYSIS/PUF,0.096,8,75,27,0.019,9,453,25,5.37,0.0015883826294753,0.002,1806,hi,HEART FAILURE AND SHOCK WITH MCC
IP ICU/CCU GENERAL ADMIT,0.059,5,80,56,0.003,1,332,4,20.75,0.001589705078975,0.002,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.101,15,133,34,0.034,25,706,60,3.18,0.0016007095870951,0.002,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
SHC IP ANE PERIPHERAL NERVE CATHETER/REGIONAL ANALGESIA,0.093,8,78,36,0.019,9,464,34,5.29,0.0017128187158708,0.002,6268,hi,MAJOR LARGE BOWEL PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.151,13,73,118,0.051,24,449,108,3.33,0.0017155470097456,0.002,6268,hi,MAJOR LARGE BOWEL PROCEDURES
SHC IP VAD HEPARIN IV INFUSION LVAD PROTOCOLS,0.092,9,89,21,0.021,11,503,13,4.62,0.0017646051721663,0.002,2404,hi,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
IP ORT TOTAL JOINT REPLACEMENT,0.899,223,25,6010,0.954,1003,48,26956,0.43,0.0018130899424992,0.002,1946,hi,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.075,7,86,20,0.011,4,363,13,7.39,0.0018331486222585,0.002,2447,hi,OTHER DIGESTIVE SYSTEM DIAGNOSES
IP INSULIN TRANSITION OFF IV INFUSION,0.119,7,52,61,0.022,8,358,52,6.02,0.0018463327485978,0.002,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
IP GEN VTE PROPHYLAXIS,0.082,7,78,11,0.012,4,329,5,7.38,0.0018756078708964,0.002,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
SHC IP GEN TUBE FEEDING,0.136,8,51,44,0.03,11,355,41,5.06,0.0019066255214676,0.002,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.242,22,69,107,0.11,39,317,170,2.59,0.0019137730805231,0.002,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.037,11,290,22,0.01,17,1615,36,3.6,0.0019415068397493,0.002,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.079,6,70,23,0.009,3,324,7,9.26,0.0019615590706253,0.002,5613,hi,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.227,25,85,121,0.114,76,591,353,2.29,0.002033184304825,0.002,2412,hi,HEART FAILURE
IP ORT TRAUMA,0.081,20,228,523,0.032,34,1017,742,2.62,0.00207463207642,0.002,1946,hi,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
SHC RIS MRI CONTRAST SMART SET,0.084,7,76,7,0.015,7,455,8,5.99,0.0020801505727424,0.002,1806,hi,HEART FAILURE AND SHOCK WITH MCC
SHC IP ICU COVID-19 EVALUATION/MANAGEMENT,0.145,12,71,120,0.047,23,462,287,3.39,0.0021035462035136,0.002,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC ANE PACU,0.857,48,8,1110,0.966,398,14,7297,0.21,0.0021524629739354,0.002,1930,hi,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
SHC IP GI ENDOSCOPY PRE/POSTOP PROCEDURE,0.066,5,71,19,0.006,2,361,9,12.71,0.0021800179848701,0.002,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.086,8,85,25,0.016,6,361,8,5.66,0.0021868075027503,0.002,2447,hi,OTHER DIGESTIVE SYSTEM DIAGNOSES
IP GEN ALBUMIN,0.052,4,73,4,0.003,2,577,4,15.81,0.0022012373240601,0.002,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.169,33,162,250,0.269,385,1045,2950,0.55,0.0022134307949321,0.002,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
IP ICU SEDATION MANAGEMENT FOR MECHANICALLY VENTILATED PATIENTS,0.071,4,52,6,0.005,2,415,2,15.96,0.0022223427150217,0.002,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC RIS CT CONTRAST ORDER SET,0.186,11,48,11,0.39,164,257,205,0.36,0.0022470583127813,0.002,1749,lo,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
SHC ANE PACU,0.708,138,57,1946,0.594,850,580,12401,1.65,0.0022673896659866,0.002,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC ANE PACU,0.644,38,21,694,0.828,303,63,4465,0.38,0.0023037975937404,0.002,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
SHC IP ICU INTUBATION,0.029,8,268,48,0.006,8,1341,55,5.0,0.0023067517676419,0.002,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP ICU PAIN MANAGEMENT,0.134,11,71,49,0.04,15,364,52,3.76,0.002311430262036,0.002,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
SHC IP GEN TUBE FEEDING,0.134,11,71,31,0.04,15,364,30,3.76,0.002311430262036,0.002,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.146,14,82,78,0.05,25,473,124,3.23,0.0023149614869914,0.002,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.088,6,62,30,0.244,173,536,858,0.3,0.0023651027237806,0.002,2412,lo,HEART FAILURE
IP/ED GEN HYPERKALEMIA THERAPY,0.01,1,95,5,0.094,58,561,464,0.1,0.002393560316064,0.002,2392,lo,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.035,2,55,9,0.184,94,417,527,0.16,0.0024250888052549,0.002,1712,lo,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.139,10,62,55,0.314,116,253,796,0.35,0.0025118817586271,0.003,2344,lo,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC IP GI ENDOSCOPY PRE/POSTOP PROCEDURE,0.051,4,74,22,0.002,1,415,3,22.43,0.0025579340282033,0.003,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
IP GEN ARGATROBAN IV INFUSION,0.146,12,70,22,0.047,18,361,29,3.44,0.0025664786250315,0.003,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
IP GEN VTE PROPHYLAXIS,0.145,11,65,15,0.044,16,347,20,3.67,0.0025898855889032,0.003,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP CAR CARDIOLOGY PRE PROCEDURE,0.125,15,105,44,0.047,28,567,87,2.89,0.0025949728618507,0.003,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.118,12,90,45,0.037,16,415,54,3.46,0.0026066007505017,0.003,6267,hi,MAJOR SMALL BOWEL PROCEDURES
IP ICU/CCU GENERAL ADMIT,0.088,9,93,72,0.021,9,422,65,4.54,0.0026082060268649,0.003,6267,hi,MAJOR SMALL BOWEL PROCEDURES
IP SUR COLON/RECTAL/SMALL BOWEL RESECTION POSTOP,0.709,61,25,598,0.852,403,70,4109,0.42,0.0026383741242315,0.003,6268,hi,MAJOR LARGE BOWEL PROCEDURES
SHC IP ICU INTUBATION,0.102,6,53,30,0.016,6,360,43,6.79,0.0026500624743774,0.003,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
IP RD TUBE FEEDS,0.084,7,76,17,0.016,8,477,17,5.49,0.00267728173105,0.003,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.229,22,74,97,0.11,55,443,250,2.39,0.0026931784876175,0.003,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.091,7,70,14,0.016,6,358,12,5.97,0.0027045456819785,0.003,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.091,7,70,7,0.016,6,358,7,5.97,0.0027045456819785,0.003,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
IP ICU/CCU GENERAL ADMIT,0.033,2,58,8,0.169,101,495,634,0.17,0.0027260870523112,0.003,2384,lo,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP PAI EPIDURAL ANALGESIA,0.161,9,47,43,0.046,19,398,139,4.01,0.0027746925234387,0.003,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
