protocol_name,frac_out,n_pat_out,no_ttt_out,n_pres_out,frac_not,n_pat_not,no_ttt_not,n_pres_not,odds_ratio,fisher_pval,pval_str,drg_no,outlier,drg
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.035,2,55,7,0.192,98,413,551,0.15,0.0015240034219716,0.002,1712,lo,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.175,7,33,49,0.035,13,355,92,5.79,0.0015345919372822,0.002,6164,hi,AUTOLOGOUS BONE MARROW TRANSPLANT OR T-CELL IMMUNOTHERAPY
SHC IP VAD HEPARIN IV INFUSION LVAD PROTOCOLS,0.037,9,232,264,0.008,10,1214,156,4.71,0.0015414387135503,0.002,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.134,11,71,91,0.037,14,365,118,4.04,0.001561179437173,0.002,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.135,13,83,73,0.044,22,476,71,3.39,0.0015759449111075,0.002,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
IP ICU/CCU GENERAL ADMIT,0.059,5,80,159,0.003,1,332,18,20.75,0.001589705078975,0.002,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
IP ICU LUMBAR DRAIN FOR CSF DIVERSION,0.098,8,74,146,0.018,7,372,110,5.75,0.0016085799992092,0.002,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
SHC IP PAI KETAMINE IV INFUSION,0.052,5,91,12,0.004,2,496,3,13.63,0.0016087066430203,0.002,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
IP LAB COAGULATION TESTING,0.05,12,229,32,0.015,18,1206,61,3.51,0.0016099318736231,0.002,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP LABS CULTURES,0.071,7,91,16,0.012,6,508,11,6.51,0.0016555639020896,0.002,2404,hi,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
IP/ED GEN HYPERKALEMIA THERAPY,0.109,12,98,66,0.034,23,644,87,3.43,0.0017333131477839,0.002,2412,hi,HEART FAILURE
IP ICU/CCU GENERAL ADMIT,0.033,2,58,43,0.185,110,486,2419,0.15,0.0017443741923204,0.002,2384,lo,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP VAD HEPARIN IV INFUSION LVAD PROTOCOLS,0.092,9,89,278,0.021,11,503,179,4.62,0.0017646051721663,0.002,2404,hi,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
IP CTS CARDIAC SURGERY ADMISSION,0.085,5,54,93,0.008,3,363,76,11.2,0.0017692102964368,0.002,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.075,7,86,111,0.011,4,363,75,7.39,0.0018331486222585,0.002,2447,hi,OTHER DIGESTIVE SYSTEM DIAGNOSES
IP NUR SEVERE SEPSIS NURSE PROTOCOL,0.043,4,89,6,0.002,1,549,1,24.67,0.0018383796652256,0.002,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP INSULIN TRANSITION OFF IV INFUSION,0.119,7,52,95,0.022,8,358,65,6.02,0.0018463327485978,0.002,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
SHC IP GEN DELIRIUM (FOR NON-ICU PATIENTS ONLY),0.12,10,73,16,0.032,15,447,21,4.08,0.0018497400356989,0.002,1806,hi,HEART FAILURE AND SHOCK WITH MCC
IP ORT TOTAL JOINT REPLACEMENT,0.967,176,6,5130,0.997,653,2,18928,0.09,0.0018587442052873,0.002,2460,hi,KNEE JOINT REPLACEMENT
RETIRE IP RAD INTERVENTIONAL RADIOLOGY POSTOP (SAME DAY DISCHARGE),0.004,1,229,11,0.044,54,1181,418,0.1,0.0018701562215695,0.002,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP CAR EPS/ABLATION PRE-PROCEDURE,0.039,3,74,51,0.168,90,445,1351,0.2,0.0018722029425773,0.002,2404,lo,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
SHC IP GENERAL DISCHARGE ORDER SET,0.931,257,19,1875,0.972,1311,38,10233,0.39,0.0019364634452078,0.002,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.438,21,27,85,0.676,238,114,3162,0.37,0.0019508505876299,0.002,2579,lo,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.233,28,92,142,0.118,70,525,311,2.28,0.0019535248283144,0.002,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.177,14,65,103,0.059,23,366,154,3.43,0.0019588232719622,0.002,2352,hi,SEIZURE
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.079,6,70,149,0.009,3,324,76,9.26,0.0019615590706253,0.002,5613,hi,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC
SHC IP GEN DELIRIUM (FOR NON-ICU PATIENTS ONLY),0.074,5,63,10,0.006,2,330,3,13.1,0.0019784119432913,0.002,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.034,5,143,151,0.003,2,729,75,12.74,0.0020035944792264,0.002,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.338,23,45,194,0.163,54,278,369,2.63,0.0020045386019511,0.002,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
IP ICU LUMBAR DRAIN FOR CSF DIVERSION,0.143,8,48,146,0.034,14,403,202,4.8,0.002006557257732,0.002,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP SUBCUTANEOUS INSULIN,0.022,5,225,28,0.074,91,1144,597,0.28,0.0020324972214119,0.002,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.227,25,85,133,0.114,76,591,373,2.29,0.002033184304825,0.002,2412,hi,HEART FAILURE
IP CTS CARDIAC SURGERY ADMISSION,0.292,35,85,918,0.166,99,496,2306,2.06,0.0020343074501913,0.002,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.915,54,5,356,0.99,417,4,3561,0.1,0.0020388886090659,0.002,1749,lo,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
SHC IP GEN TUBE FEEDING,0.005,1,194,2,0.048,68,1362,217,0.1,0.0021029407246857,0.002,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
ED/IP MEDICATION ADMINISTRATION - URETHRAL ANESTHETIC FOR URINARY CATHETER INSERTION,0.027,8,293,24,0.006,9,1623,25,4.92,0.0021173964229565,0.002,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.294,20,48,101,0.491,348,361,2007,0.43,0.0021266011728029,0.002,2412,lo,HEART FAILURE
IP CAR CARDIOLOGY PRE PROCEDURE,0.649,50,27,451,0.456,244,291,2393,2.21,0.0021311547995836,0.002,2404,lo,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
SHC ANE PACU,0.857,48,8,618,0.966,398,14,4176,0.21,0.0021524629739354,0.002,1930,hi,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
SHC IP REN HEMODIALYSIS,0.066,5,71,52,0.006,2,361,26,12.71,0.0021800179848701,0.002,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP GI ENDOSCOPY PRE/POSTOP PROCEDURE,0.066,5,71,46,0.006,2,361,29,12.71,0.0021800179848701,0.002,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC ANE PACU,0.708,138,57,1216,0.592,847,583,7744,1.67,0.0022446917672864,0.002,2334,lo,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP PREOP ORDERS CV SURGERY,0.092,11,109,73,0.027,16,579,108,3.65,0.0022587177173785,0.002,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.117,14,106,94,0.038,18,452,121,3.32,0.0022697750748671,0.002,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
IP MED GENERAL ADMIT,0.93,53,4,715,0.763,390,121,6006,4.11,0.002292105091071,0.002,1712,lo,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
IP ICU/CCU GENERAL ADMIT,0.027,5,177,98,0.002,1,654,20,18.47,0.0022975639846228,0.002,2460,hi,KNEE JOINT REPLACEMENT
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.183,11,49,284,0.06,25,395,556,3.55,0.0023065386238889,0.002,1749,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.441,26,33,192,0.24,88,278,544,2.49,0.0023373404613489,0.002,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.106,9,76,20,0.024,8,325,20,4.81,0.0023520165752242,0.002,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.088,6,62,37,0.244,173,536,1062,0.3,0.0023651027237806,0.002,2412,lo,HEART FAILURE
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.141,11,67,32,0.043,18,398,25,3.63,0.0023913799611168,0.002,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
RETIRED IP SUR GENERAL POSTOP,0.118,8,60,89,0.027,12,425,136,4.72,0.0024005502422357,0.002,2448,lo,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP GEN DELIRIUM (FOR NON-ICU PATIENTS ONLY),0.018,4,215,6,0.067,114,1600,180,0.26,0.0024946990838526,0.002,2592,lo,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC ANE PACU,0.644,38,21,421,0.825,302,64,2858,0.38,0.0025036585683745,0.003,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
CC BMT BONE MARROW BIOPSY AND ASPIRATE,0.132,9,59,65,0.033,11,321,47,4.45,0.0025069410572004,0.003,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
IP ORT TOTAL JOINT REPLACEMENT,0.903,224,24,6475,0.956,1005,46,28829,0.43,0.0025136246292917,0.003,1946,hi,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
IP CAR CARDIOLOGY PRE PROCEDURE,0.107,6,50,54,0.018,7,384,49,6.58,0.0025450116461147,0.003,2337,lo,OPEN EXTRACRANIAL VASCULAR PROCEDURES
IP GEN VTE PROPHYLAXIS,0.051,4,74,7,0.002,1,415,2,22.43,0.0025579340282033,0.003,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
SHC IP GI ENDOSCOPY PRE/POSTOP PROCEDURE,0.051,4,74,47,0.002,1,415,9,22.43,0.0025579340282033,0.003,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
IP CAR EPS/ABLATION POST PROCEDURE,0.051,4,74,57,0.002,1,415,14,22.43,0.0025579340282033,0.003,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
IP CAR CARDIOLOGY POST PROCEDURE - OUTPATIENT,0.075,7,86,103,0.015,8,542,154,5.51,0.0025597102109744,0.003,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP CAR CIED POST PROCEDURE,0.171,14,68,185,0.061,23,356,301,3.19,0.0025600199432978,0.003,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
IP GEN ARGATROBAN IV INFUSION,0.146,12,70,256,0.047,18,361,390,3.44,0.0025664786250315,0.003,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.081,12,136,88,0.026,19,712,134,3.31,0.0025671810748926,0.003,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.206,14,54,135,0.075,25,307,98,3.18,0.0025998534172265,0.003,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
IP SUR COLON/RECTAL/SMALL BOWEL RESECTION POSTOP,0.709,61,25,1347,0.852,403,70,8258,0.42,0.0026383741242315,0.003,6268,hi,MAJOR LARGE BOWEL PROCEDURES
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.019,4,212,4,0.069,75,1008,177,0.25,0.0026732143642789,0.003,1946,lo,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
PRE-ADMISSION/PRE-OP ORDERS,0.811,120,28,1618,0.902,659,72,8043,0.47,0.0026824675353815,0.003,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
ED TRAUMA 95 ADULT,0.077,3,36,22,0.003,1,385,7,32.08,0.0026933910316149,0.003,2638,lo,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.037,11,290,73,0.011,18,1614,105,3.4,0.0027018676646167,0.003,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP CAR PERIPHERAL AMIODARONE IV,0.041,4,94,11,0.002,1,513,2,21.83,0.0027345352713198,0.003,2404,hi,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
SHC IP PAI EPIDURAL ANALGESIA,0.161,9,47,53,0.046,19,398,164,4.01,0.0027746925234387,0.003,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.675,56,27,358,0.496,229,233,1314,2.11,0.0027965062864389,0.003,1806,hi,HEART FAILURE AND SHOCK WITH MCC
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.24,23,73,158,0.114,57,441,372,2.44,0.0028213240530827,0.003,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
IP ICU/CCU GENERAL ADMIT,0.071,4,52,72,0.005,2,386,50,14.85,0.0028282044670494,0.003,6427,hi,OTHER CHEMOTHERAPY
IP CAR CARDIOLOGY POST PROCEDURE - INPATIENT,0.221,17,60,214,0.095,51,484,719,2.69,0.0028645482191653,0.003,2404,lo,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.012,1,80,2,0.114,44,343,77,0.1,0.0028903696393069,0.003,2352,lo,SEIZURE
IP MED GENERAL ADMIT,0.137,14,88,210,0.049,21,410,296,3.11,0.0029360386916255,0.003,6267,hi,MAJOR SMALL BOWEL PROCEDURES
RETIRED IP ORT SPINE ADMIT/POSTOP,0.024,2,83,33,0.132,44,289,907,0.16,0.0029448046646289,0.003,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.016,1,61,1,0.141,56,342,140,0.1,0.0030041118597739,0.003,2447,lo,OTHER DIGESTIVE SYSTEM DIAGNOSES
IP RESP INHALED EPOPROSTENOL (VELETRI),0.072,5,64,31,0.219,86,306,615,0.28,0.0030582700837284,0.003,1748,lo,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.058,14,227,167,0.02,25,1199,321,2.96,0.0030925271530601,0.003,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.05,6,114,141,0.006,3,467,63,8.19,0.003107153357198,0.003,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
CC BMT HLA HISTOCOMPATIBILITY TESTING,0.02,6,295,14,0.003,5,1627,6,6.62,0.0031378744380272,0.003,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GENERAL DISCHARGE ORDER SET,0.735,161,58,673,0.821,1408,306,5979,0.6,0.0031876371087606,0.003,2592,lo,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.279,19,49,107,0.13,43,289,196,2.61,0.0031878312302401,0.003,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
SHC IP PAI EPIDURAL ANALGESIA,0.074,5,63,66,0.224,98,339,812,0.27,0.0032035686226085,0.003,2448,lo,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.649,37,20,317,0.832,292,59,3403,0.37,0.0032239887525946,0.003,6164,lo,AUTOLOGOUS BONE MARROW TRANSPLANT OR T-CELL IMMUNOTHERAPY
PRE-ADMISSION/PRE-OP ORDERS,0.991,214,2,1905,0.949,1028,55,9769,5.72,0.0032482265497294,0.003,1946,lo,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
PRE-ADMISSION/PRE-OP ORDERS,0.044,4,86,12,0.003,2,601,6,13.98,0.0032609957134766,0.003,2259,hi,PSYCHOSES
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.25,24,72,119,0.407,252,367,1417,0.49,0.0032891331085567,0.003,2392,lo,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP INSULIN TRANSITION OFF IV INFUSION,0.064,5,73,50,0.007,3,413,23,9.43,0.0033068899700983,0.003,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
RETIRE IP RAD INTERVENTIONAL RADIOLOGY POSTOP (SAME DAY DISCHARGE),0.033,4,116,33,0.002,1,594,1,20.48,0.0033071333264048,0.003,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN BRONCHOSCOPY PRE/INTRA/POST,0.033,4,116,25,0.002,1,594,12,20.48,0.0033071333264048,0.003,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
"IP LAB SPECIMEN TESTING, PLEURAL FLUID",0.005,1,218,6,0.04,68,1646,656,0.11,0.0033627626515686,0.003,2592,lo,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP APH PHOTOPHERESIS,0.059,4,64,37,0.003,1,331,20,20.69,0.0033742450333226,0.003,2579,hi,MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.018,1,56,1,0.145,74,437,164,0.11,0.0033834772103245,0.003,1712,lo,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP NSR ICU STROKE: SUBARACHANOID HEMORRHAGE,0.121,11,80,373,0.037,13,343,413,3.63,0.0033963062992755,0.003,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
ED QUICKLIST - ADULTS,0.115,9,69,76,0.031,13,403,76,4.04,0.0033976926965499,0.003,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
IP MED GENERAL ADMIT,0.593,32,22,309,0.785,306,84,3070,0.4,0.0034125830966187,0.003,6427,lo,OTHER CHEMOTHERAPY
PRE-ADMISSION/PRE-OP ORDERS,0.091,6,60,33,0.249,84,253,433,0.3,0.0034899815777607,0.003,5613,lo,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.395,30,46,150,0.226,74,253,300,2.23,0.0035303392695129,0.004,5613,hi,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC
IP ICU SEDATION MANAGEMENT FOR MECHANICALLY VENTILATED PATIENTS,0.014,4,272,5,0.001,1,1348,1,19.82,0.0035376485668376,0.004,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP LABS CULTURES,0.049,5,97,25,0.005,2,429,14,11.06,0.0035685395380138,0.004,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.051,5,93,187,0.006,3,511,74,9.16,0.0035912182132374,0.004,2404,hi,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
IP CAR CARDIOLOGY PRE PROCEDURE,0.462,36,42,357,0.639,266,150,2772,0.48,0.0036151704002492,0.004,8873,hi,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
IP GEN VTE PROPHYLAXIS,0.125,7,49,10,0.029,12,405,17,4.82,0.0036477075567751,0.004,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.242,22,69,132,0.115,41,315,203,2.45,0.0036697320739453,0.004,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
"IP LAB SPECIMEN TESTING, BLOOD CULTURE - INFECTIOUS AGENT DETECTION",0.091,7,70,17,0.021,12,567,26,4.72,0.0036825172735684,0.004,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC ANE PACU,0.948,91,5,1053,0.994,495,3,4911,0.11,0.0037407491568594,0.004,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC IP VAD HEPARIN IV INFUSION LVAD PROTOCOLS,0.045,4,84,85,0.002,1,416,27,19.81,0.0037700534816093,0.004,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
IP GEN ARGATROBAN IV INFUSION,0.045,4,84,155,0.002,1,416,14,19.81,0.0037700534816093,0.004,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
IP/ED MASSIVE TRANSFUSION ADULT (>50 KG),0.045,4,84,37,0.002,1,416,7,19.81,0.0037700534816093,0.004,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
IP MED GENERAL ADMIT,0.651,54,29,816,0.802,389,96,5905,0.46,0.0037894037189226,0.004,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP GENERAL DISCHARGE ORDER SET,0.857,48,8,255,0.962,401,16,2178,0.24,0.0038020539665795,0.004,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP MED GENERAL ADMIT,0.5,31,31,441,0.691,275,123,4287,0.45,0.0038256184651562,0.004,2447,lo,OTHER DIGESTIVE SYSTEM DIAGNOSES
IP CTS CARDIAC SURGERY ADMISSION,0.357,20,36,492,0.18,75,342,1799,2.53,0.0038779365659842,0.004,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.143,11,66,123,0.047,17,347,70,3.4,0.003949018132148,0.004,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC NURSING ED SEPSIS PROTOCOL,0.315,69,150,1332,0.225,386,1328,7446,1.58,0.003988620387234,0.004,2592,lo,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.779,60,17,340,0.607,221,143,1045,2.28,0.0040782889044857,0.004,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.267,12,33,48,0.496,185,188,810,0.37,0.0041383932581671,0.004,2474,lo,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
"IP LAB SPECIMEN TESTING, CSF",0.1,4,36,28,0.011,4,364,21,10.11,0.0041854550312663,0.004,6164,hi,AUTOLOGOUS BONE MARROW TRANSPLANT OR T-CELL IMMUNOTHERAPY
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.143,8,48,52,0.039,15,373,69,4.14,0.0042012301874699,0.004,6427,hi,OTHER CHEMOTHERAPY
SHC IP ICU COVID-19 EVALUATION/MANAGEMENT,0.133,11,72,120,0.045,22,463,244,3.22,0.0042466655774551,0.004,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
"IP LAB SPECIMEN TESTING, URINE",0.023,7,294,14,0.005,8,1624,17,4.83,0.0043149863847104,0.004,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.263,20,56,217,0.127,46,317,318,2.46,0.0043598043850094,0.004,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP GEN DELIRIUM (FOR NON-ICU PATIENTS ONLY),0.076,6,73,9,0.013,5,384,7,6.31,0.0044003984150185,0.004,2352,hi,SEIZURE
IP GEN VTE PROPHYLAXIS,0.092,7,69,8,0.019,7,356,9,5.16,0.0044128105100317,0.004,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.169,20,98,453,0.077,38,456,752,2.45,0.0044167739202172,0.004,2418,hi,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS
