procedure_cat,reference_code_set,code,proc_simple,proc_simple_comment,reference_description
CARD,ICD-10-PCS,0WCD4ZZ,Cardiac surgery,,"Extirpation of Matter from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02CN0ZZ,Cardiac surgery,,"Extirpation of Matter from Pericardium, Open Approach"
CARD,ICD-10-PCS,02CN4ZZ,Cardiac surgery,,"Extirpation of Matter from Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02CH0ZZ,Cardiac surgery,,"Extirpation of Matter from Pulmonary Valve, Open Approach"
CARD,ICD-10-PCS,02CH4ZZ,Cardiac surgery,,"Extirpation of Matter from Pulmonary Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02C60ZZ,Cardiac surgery,,"Extirpation of Matter from Right Atrium, Open Approach"
CARD,ICD-10-PCS,02C64ZZ,Cardiac surgery,,"Extirpation of Matter from Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02CK0ZZ,Cardiac surgery,,"Extirpation of Matter from Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02CK4ZZ,Cardiac surgery,,"Extirpation of Matter from Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02CJ0ZZ,Cardiac surgery,,"Extirpation of Matter from Tricuspid Valve, Open Approach"
CARD,ICD-10-PCS,02CJ4ZZ,Cardiac surgery,,"Extirpation of Matter from Tricuspid Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02CM0ZZ,Cardiac surgery,,"Extirpation of Matter from Ventricular Septum, Open Approach"
CARD,ICD-10-PCS,02CM4ZZ,Cardiac surgery,,"Extirpation of Matter from Ventricular Septum, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WFD0ZZ,Cardiac surgery,,"Fragmentation in Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WFD4ZZ,Cardiac surgery,,"Fragmentation in Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02FN0ZZ,Cardiac surgery,,"Fragmentation in Pericardium, Open Approach"
CARD,ICD-10-PCS,02FN4ZZ,Cardiac surgery,,"Fragmentation in Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HA0RS,Cardiac surgery,,"Insertion of Biventricular Short-term External Heart Assist System into Heart, Open Approach"
CARD,ICD-10-PCS,02HA4RS,Cardiac surgery,,"Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HA0QZ,Cardiac surgery,,"Insertion of Implantable Heart Assist System into Heart, Open Approach"
CARD,ICD-10-PCS,02HA4QZ,Cardiac surgery,,"Insertion of Implantable Heart Assist System into Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H703Z,Cardiac surgery,,"Insertion of Infusion Device into Left Atrium, Open Approach"
CARD,ICD-10-PCS,02H743Z,Cardiac surgery,,"Insertion of Infusion Device into Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HL03Z,Cardiac surgery,,"Insertion of Infusion Device into Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02HL43Z,Cardiac surgery,,"Insertion of Infusion Device into Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WHD03Z,Cardiac surgery,,"Insertion of Infusion Device into Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WHD43Z,Cardiac surgery,,"Insertion of Infusion Device into Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H603Z,Cardiac surgery,,"Insertion of Infusion Device into Right Atrium, Open Approach"
CARD,ICD-10-PCS,02H643Z,Cardiac surgery,,"Insertion of Infusion Device into Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HK03Z,Cardiac surgery,,"Insertion of Infusion Device into Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02HK43Z,Cardiac surgery,,"Insertion of Infusion Device into Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H70DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Left Atrium, Open Approach"
CARD,ICD-10-PCS,02H74DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HL0DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02HL4DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H60DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Right Atrium, Open Approach"
CARD,ICD-10-PCS,02H64DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HK0DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02HK4DZ,Cardiac surgery,,"Insertion of Intraluminal Device into Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H702Z,Cardiac surgery,,"Insertion of Monitoring Device into Left Atrium, Open Approach"
CARD,ICD-10-PCS,02H742Z,Cardiac surgery,,"Insertion of Monitoring Device into Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HL02Z,Cardiac surgery,,"Insertion of Monitoring Device into Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02HL42Z,Cardiac surgery,,"Insertion of Monitoring Device into Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HN02Z,Cardiac surgery,,"Insertion of Monitoring Device into Pericardium, Open Approach"
CARD,ICD-10-PCS,02HN42Z,Cardiac surgery,,"Insertion of Monitoring Device into Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H602Z,Cardiac surgery,,"Insertion of Monitoring Device into Right Atrium, Open Approach"
CARD,ICD-10-PCS,02H642Z,Cardiac surgery,,"Insertion of Monitoring Device into Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HK02Z,Cardiac surgery,,"Insertion of Monitoring Device into Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02HK42Z,Cardiac surgery,,"Insertion of Monitoring Device into Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HA0YZ,Cardiac surgery,,"Insertion of Other Device into Heart, Open Approach"
CARD,ICD-10-PCS,02HA4YZ,Cardiac surgery,,"Insertion of Other Device into Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H70YZ,Cardiac surgery,,"Insertion of Other Device into Left Atrium, Open Approach"
CARD,ICD-10-PCS,02H74YZ,Cardiac surgery,,"Insertion of Other Device into Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HL0YZ,Cardiac surgery,,"Insertion of Other Device into Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02HL4YZ,Cardiac surgery,,"Insertion of Other Device into Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WHD0YZ,Cardiac surgery,,"Insertion of Other Device into Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WHD4YZ,Cardiac surgery,,"Insertion of Other Device into Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HN0YZ,Cardiac surgery,,"Insertion of Other Device into Pericardium, Open Approach"
CARD,ICD-10-PCS,02HN4YZ,Cardiac surgery,,"Insertion of Other Device into Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H60YZ,Cardiac surgery,,"Insertion of Other Device into Right Atrium, Open Approach"
CARD,ICD-10-PCS,02H64YZ,Cardiac surgery,,"Insertion of Other Device into Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HK0YZ,Cardiac surgery,,"Insertion of Other Device into Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02HK4YZ,Cardiac surgery,,"Insertion of Other Device into Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H700Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Left Atrium, Open Approach"
CARD,ICD-10-PCS,02H740Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HL00Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02HL40Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HN00Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Pericardium, Open Approach"
CARD,ICD-10-PCS,02HN40Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02H640Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HK00Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02HK40Z,Cardiac surgery,,"Insertion of Pressure Sensor Monitoring Device into Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WHD01Z,Cardiac surgery,,"Insertion of Radioactive Element into Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WHD41Z,Cardiac surgery,,"Insertion of Radioactive Element into Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HA0RJ,Cardiac surgery,,"Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Open Approach"
CARD,ICD-10-PCS,02HA4RJ,Cardiac surgery,,"Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02HA0RZ,Cardiac surgery,,"Insertion of Short-term External Heart Assist System into Heart, Open Approach"
CARD,ICD-10-PCS,02HA4RZ,Cardiac surgery,,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02L70CK,Cardiac surgery,,"Occlusion of Left Atrial Appendage with Extraluminal Device, Open Approach"
CARD,ICD-10-PCS,02L74CK,Cardiac surgery,,"Occlusion of Left Atrial Appendage with Extraluminal Device, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02L70DK,Cardiac surgery,,"Occlusion of Left Atrial Appendage with Intraluminal Device, Open Approach"
CARD,ICD-10-PCS,02L74DK,Cardiac surgery,,"Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02L70ZK,Cardiac surgery,,"Occlusion of Left Atrial Appendage, Open Approach"
CARD,ICD-10-PCS,02L74ZK,Cardiac surgery,,"Occlusion of Left Atrial Appendage, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02LH0CZ,Cardiac surgery,,"Occlusion of Pulmonary Valve with Extraluminal Device, Open Approach"
CARD,ICD-10-PCS,02LH4CZ,Cardiac surgery,,"Occlusion of Pulmonary Valve with Extraluminal Device, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02LH0DZ,Cardiac surgery,,"Occlusion of Pulmonary Valve with Intraluminal Device, Open Approach"
CARD,ICD-10-PCS,02LH4DZ,Cardiac surgery,,"Occlusion of Pulmonary Valve with Intraluminal Device, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02LH0ZZ,Cardiac surgery,,"Occlusion of Pulmonary Valve, Open Approach"
CARD,ICD-10-PCS,02LH4ZZ,Cardiac surgery,,"Occlusion of Pulmonary Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NF0ZZ,Cardiac surgery,,"Release Aortic Valve, Open Approach"
CARD,ICD-10-PCS,02NF4ZZ,Cardiac surgery,,"Release Aortic Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02N50ZZ,Cardiac surgery,,"Release Atrial Septum, Open Approach"
CARD,ICD-10-PCS,02N54ZZ,Cardiac surgery,,"Release Atrial Septum, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02N90ZZ,Cardiac surgery,,"Release Chordae Tendineae, Open Approach"
CARD,ICD-10-PCS,02N94ZZ,Cardiac surgery,,"Release Chordae Tendineae, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02N80ZZ,Cardiac surgery,,"Release Conduction Mechanism, Open Approach"
CARD,ICD-10-PCS,02N84ZZ,Cardiac surgery,,"Release Conduction Mechanism, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02N40ZZ,Cardiac surgery,,"Release Coronary Vein, Open Approach"
CARD,ICD-10-PCS,02N44ZZ,Cardiac surgery,,"Release Coronary Vein, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02N70ZZ,Cardiac surgery,,"Release Left Atrium, Open Approach"
CARD,ICD-10-PCS,02N74ZZ,Cardiac surgery,,"Release Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NL0ZZ,Cardiac surgery,,"Release Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02NL4ZZ,Cardiac surgery,,"Release Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NG0ZZ,Cardiac surgery,,"Release Mitral Valve, Open Approach"
CARD,ICD-10-PCS,02NG4ZZ,Cardiac surgery,,"Release Mitral Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02ND0ZZ,Cardiac surgery,,"Release Papillary Muscle, Open Approach"
CARD,ICD-10-PCS,02ND4ZZ,Cardiac surgery,,"Release Papillary Muscle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NN0ZZ,Cardiac surgery,,"Release Pericardium, Open Approach"
CARD,ICD-10-PCS,02NN4ZZ,Cardiac surgery,,"Release Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NH0ZZ,Cardiac surgery,,"Release Pulmonary Valve, Open Approach"
CARD,ICD-10-PCS,02NH4ZZ,Cardiac surgery,,"Release Pulmonary Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02N60ZZ,Cardiac surgery,,"Release Right Atrium, Open Approach"
CARD,ICD-10-PCS,02N64ZZ,Cardiac surgery,,"Release Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NK0ZZ,Cardiac surgery,,"Release Right Ventricle, Open Approach2"
CARD,ICD-10-PCS,02NK4ZZ,Cardiac surgery,,"Release Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NJ0ZZ,Cardiac surgery,,"Release Tricuspid Valve, Open Approach"
CARD,ICD-10-PCS,02NJ4ZZ,Cardiac surgery,,"Release Tricuspid Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02NM0ZZ,Cardiac surgery,,"Release Ventricular Septum, Open Approach"
CARD,ICD-10-PCS,02NM4ZZ,Cardiac surgery,,"Release Ventricular Septum, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA07Z,Cardiac surgery,,"Removal of Autologous Tissue Substitute from Heart, Open Approach"
CARD,ICD-10-PCS,02PA47Z,Cardiac surgery,,"Removal of Autologous Tissue Substitute from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0RS,Cardiac surgery,,"Removal of Biventricular Short-term External Heart Assist System from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4RS,Cardiac surgery,,"Removal of Biventricular Short-term External Heart Assist System from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WPD00Z,Cardiac surgery,,"Removal of Drainage Device from Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WPD40Z,Cardiac surgery,,"Removal of Drainage Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0CZ,Cardiac surgery,,"Removal of Extraluminal Device from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4CZ,Cardiac surgery,,"Removal of Extraluminal Device from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA4QZ,Cardiac surgery,,"Removal of Implantable Heart Assist System from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA03Z,Cardiac surgery,,"Removal of Infusion Device from Heart, Open Approach"
CARD,ICD-10-PCS,02PA43Z,Cardiac surgery,,"Removal of Infusion Device from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WPD03Z,Cardiac surgery,,"Removal of Infusion Device from Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WPD43Z,Cardiac surgery,,"Removal of Infusion Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0DZ,Cardiac surgery,,"Removal of Intraluminal Device from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4DZ,Cardiac surgery,,"Removal of Intraluminal Device from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA02Z,Cardiac surgery,,"Removal of Monitoring Device from Heart, Open Approach"
CARD,ICD-10-PCS,02PA42Z,Cardiac surgery,,"Removal of Monitoring Device from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0KZ,Cardiac surgery,,"Removal of Nonautologous Tissue Substitute from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4KZ,Cardiac surgery,,"Removal of Nonautologous Tissue Substitute from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0YZ,Cardiac surgery,,"Removal of Other Device from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4YZ,Cardiac surgery,,"Removal of Other Device from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WPD0YZ,Cardiac surgery,,"Removal of Other Device from Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WPD4YZ,Cardiac surgery,,"Removal of Other Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,0WPD01Z,Cardiac surgery,,"Removal of Radioactive Element from Pericardial Cavity, Open Approach"
CARD,ICD-10-PCS,0WPD41Z,Cardiac surgery,,"Removal of Radioactive Element from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0RZ,Cardiac surgery,,"Removal of Short-term External Heart Assist System from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4RZ,Cardiac surgery,,"Removal of Short-term External Heart Assist System from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA0JZ,Cardiac surgery,,"Removal of Synthetic Substitute from Heart, Open Approach"
CARD,ICD-10-PCS,02PA4JZ,Cardiac surgery,,"Removal of Synthetic Substitute from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02PA08Z,Cardiac surgery,,"Removal of Zooplastic Tissue from Heart, Open Approach"
CARD,ICD-10-PCS,02PA48Z,Cardiac surgery,,"Removal of Zooplastic Tissue from Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QF0ZJ,Cardiac surgery,,"Repair Aortic Valve created from Truncal Valve, Open Approach"
CARD,ICD-10-PCS,02QF4ZJ,Cardiac surgery,,"Repair Aortic Valve created from Truncal Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QF0ZZ,Cardiac surgery,,"Repair Aortic Valve, Open Approach"
CARD,ICD-10-PCS,02QF4ZZ,Cardiac surgery,,"Repair Aortic Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02Q50ZZ,Cardiac surgery,,"Repair Atrial Septum, Open Approach"
CARD,ICD-10-PCS,02Q54ZZ,Cardiac surgery,,"Repair Atrial Septum, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02Q90ZZ,Cardiac surgery,,"Repair Chordae Tendineae, Open Approach"
CARD,ICD-10-PCS,02Q94ZZ,Cardiac surgery,,"Repair Chordae Tendineae, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02Q80ZZ,Cardiac surgery,,"Repair Conduction Mechanism, Open Approach2"
CARD,ICD-10-PCS,02Q84ZZ,Cardiac surgery,,"Repair Conduction Mechanism, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QA0ZZ,Cardiac surgery,,"Repair Heart, Open Approach"
CARD,ICD-10-PCS,02QA4ZZ,Cardiac surgery,,"Repair Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02Q70ZZ,Cardiac surgery,,"Repair Left Atrium, Open Approach"
CARD,ICD-10-PCS,02Q74ZZ,Cardiac surgery,,"Repair Left Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QC0ZZ,Cardiac surgery,,"Repair Left Heart, Open Approach"
CARD,ICD-10-PCS,02QC4ZZ,Cardiac surgery,,"Repair Left Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QL0ZZ,Cardiac surgery,,"Repair Left Ventricle, Open Approach"
CARD,ICD-10-PCS,02QL4ZZ,Cardiac surgery,,"Repair Left Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QG0ZE,Cardiac surgery,,"Repair Mitral Valve created from Left Atrioventricular Valve, Open Approach"
CARD,ICD-10-PCS,02QG4ZE,Cardiac surgery,,"Repair Mitral Valve created from Left Atrioventricular Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QG0ZZ,Cardiac surgery,,"Repair Mitral Valve, Open Approach"
CARD,ICD-10-PCS,02QG4ZZ,Cardiac surgery,,"Repair Mitral Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QD0ZZ,Cardiac surgery,,"Repair Papillary Muscle, Open Approach"
CARD,ICD-10-PCS,02QD4ZZ,Cardiac surgery,,"Repair Papillary Muscle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QN0ZZ,Cardiac surgery,,"Repair Pericardium, Open Approach"
CARD,ICD-10-PCS,02QN4ZZ,Cardiac surgery,,"Repair Pericardium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QH0ZZ,Cardiac surgery,,"Repair Pulmonary Valve, Open Approach"
CARD,ICD-10-PCS,02QH4ZZ,Cardiac surgery,,"Repair Pulmonary Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02Q60ZZ,Cardiac surgery,,"Repair Right Atrium, Open Approach"
CARD,ICD-10-PCS,02Q64ZZ,Cardiac surgery,,"Repair Right Atrium, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QB0ZZ,Cardiac surgery,,"Repair Right Heart, Open Approach"
CARD,ICD-10-PCS,02QB4ZZ,Cardiac surgery,,"Repair Right Heart, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QK0ZZ,Cardiac surgery,,"Repair Right Ventricle, Open Approach"
CARD,ICD-10-PCS,02QK4ZZ,Cardiac surgery,,"Repair Right Ventricle, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QJ0ZG,Cardiac surgery,,"Repair Tricuspid Valve created from Right Atrioventricular Valve, Open Approach"
CARD,ICD-10-PCS,02QJ4ZG,Cardiac surgery,,"Repair Tricuspid Valve created from Right Atrioventricular Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QJ0ZZ,Cardiac surgery,,"Repair Tricuspid Valve, Open Approach"
CARD,ICD-10-PCS,02QJ4ZZ,Cardiac surgery,,"Repair Tricuspid Valve, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02QM0ZZ,Cardiac surgery,,"Repair Ventricular Septum, Open Approach"
CARD,ICD-10-PCS,02QM4ZZ,Cardiac surgery,,"Repair Ventricular Septum, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,X2RF432,Cardiac surgery,,"Replacement of Aortic Valve using Zooplastic Tissue, Rapid Deployment Technique, Percutaneous Endoscopic Approach, New Technology Group 2"
CARD,ICD-10-PCS,02RF07Z,Cardiac surgery,,"Replacement of Aortic Valve with Autologous Tissue Substitute, Open Approach"
CARD,ICD-10-PCS,02RF47Z,Cardiac surgery,,"Replacement of Aortic Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02RF0KZ,Cardiac surgery,,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach"
CARD,ICD-10-PCS,02RF4KZ,Cardiac surgery,,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02RF0JZ,Cardiac surgery,,"Replacement of Aortic Valve with Synthetic Substitute, Open Approach"
CARD,ICD-10-PCS,02RF4JZ,Cardiac surgery,,"Replacement of Aortic Valve with Synthetic Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02RF08Z,Cardiac surgery,,"Replacement of Aortic Valve with Zooplastic Tissue, Open Approach"
CARD,ICD-10-PCS,02RF48Z,Cardiac surgery,,"Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R507Z,Cardiac surgery,,"Replacement of Atrial Septum with Autologous Tissue Substitute, Open Approach"
CARD,ICD-10-PCS,02R547Z,Cardiac surgery,,"Replacement of Atrial Septum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R50KZ,Cardiac surgery,,"Replacement of Atrial Septum with Nonautologous Tissue Substitute, Open Approach"
CARD,ICD-10-PCS,02R54KZ,Cardiac surgery,,"Replacement of Atrial Septum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R50JZ,Cardiac surgery,,"Replacement of Atrial Septum with Synthetic Substitute, Open Approach"
CARD,ICD-10-PCS,02R54JZ,Cardiac surgery,,"Replacement of Atrial Septum with Synthetic Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R508Z,Cardiac surgery,,"Replacement of Atrial Septum with Zooplastic Tissue, Open Approach"
CARD,ICD-10-PCS,02R548Z,Cardiac surgery,,"Replacement of Atrial Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R907Z,Cardiac surgery,,"Replacement of Chordae Tendineae with Autologous Tissue Substitute, Open Approach"
CARD,ICD-10-PCS,02R947Z,Cardiac surgery,,"Replacement of Chordae Tendineae with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R90KZ,Cardiac surgery,,"Replacement of Chordae Tendineae with Nonautologous Tissue Substitute, Open Approach"
CARD,ICD-10-PCS,02R94KZ,Cardiac surgery,,"Replacement of Chordae Tendineae with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R90JZ,Cardiac surgery,,"Replacement of Chordae Tendineae with Synthetic Substitute, Open Approach"
CARD,ICD-10-PCS,02R94JZ,Cardiac surgery,,"Replacement of Chordae Tendineae with Synthetic Substitute, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02R908Z,Cardiac surgery,,"Replacement of Chordae Tendineae with Zooplastic Tissue, Open Approach"
CARD,ICD-10-PCS,02R948Z,Cardiac surgery,,"Replacement of Chordae Tendineae with Zooplastic Tissue, Percutaneous Endoscopic Approach"
CARD,ICD-10-PCS,02RA0LZ,Cardiac surgery,,"Replacement of Heart with Biologic and Synthetic Substitute, Autoregulated Electrohydraulic, Open Approach"
CARD,ICD-10-PCS,02RA0MZ,Cardiac surgery,,"Replacement of Heart with Synthetic Substitute, Pneumatic, Open Approach"
CARD,ICD-10-PCS,02R707Z,Cardiac surgery,,"Replacement of Left Atrium with Autologous Tissue Substitute, Open Approach"
