proc_code	description	base_name	component_name	count
LABTBP16	TRANSFUSION BLOOD PRODUCT 17	DI	ISSUE DATE/TIME	519
LABORANER	ORTHOPEDIC ANAEROBIC CULTURE	RPT	RPT	519
LABORANER	ORTHOPEDIC ANAEROBIC CULTURE	SDES	SPECIMEN	519
LABORANER	ORTHOPEDIC ANAEROBIC CULTURE	SREQ	COMMENTS	519
LABCMVIGM	CMV IGM	CMMDES	CMV IGM TEST DESCRIPTION	518
LABCMVIGM	CMV IGM	CMMQUL	CMV IGM RESULT	518
LABORAERO	ORTHOPEDIC AEROBIC CULT W/GS	CULT	CULT/OTHER RSLT:	516
LABORAERO	ORTHOPEDIC AEROBIC CULT W/GS	RPT	RPT	516
LABORAERO	ORTHOPEDIC AEROBIC CULT W/GS	SDES	SPECIMEN	516
LABORAERO	ORTHOPEDIC AEROBIC CULT W/GS	SREQ	COMMENTS	516
LABPB	PHENOBARBITAL LEVEL	PB	"PEAK, TROUGH, OR RANDOM"	515
LABPB	PHENOBARBITAL LEVEL	PB	PHENOBARBITAL	515
LABPB	PHENOBARBITAL LEVEL	PB2	DATE & TIME OF LAST DOSE	515
LABPB	PHENOBARBITAL LEVEL	PB3	DOSAGE	515
LABPB	PHENOBARBITAL LEVEL	PB4	ADMINISTRATION ROUTE	515
LABTBP21	TRANSFUSION BLOOD PRODUCT 22	PRO	PRODUCT ID  	515
LABTBP21	TRANSFUSION BLOOD PRODUCT 22	SI	<<STATUS>>  	515
LABORSHOR	ORTHOPEDIC CULT MULT SPECIMENS	CULT	CULT/OTHER RSLT:	514
LABORAERO	ORTHOPEDIC AEROBIC CULT W/GS	GS	GRAM STAIN	514
LABORSHOR	ORTHOPEDIC CULT MULT SPECIMENS	RPT	RPT	514
LABORSHOR	ORTHOPEDIC CULT MULT SPECIMENS	SDES	SPECIMEN	514
LABORSHOR	ORTHOPEDIC CULT MULT SPECIMENS	SREQ	COMMENTS	514
LABYHISTU	"HISTOPLASMA AG, URINE"	YHISU5	COMMENT URINE	514
LABPCCG4	"ISTAT CG4, ARTERIAL"	BE	"BASE EXCESS, ISTAT"	513
LABIGP	"IG PANEL, SERUM"	IGA	"IGA, SERUM"	511
LABIGP	"IG PANEL, SERUM"	IGG	"IGG, SERUM"	511
LABIGP	"IG PANEL, SERUM"	IGM	"IGM, SERUM"	511
LABFACT8	FACTOR VIII ASSAY	FACTOR7	FACTOR VIII ASSAY	510
LABYHISTS	"HISTOPLASMA AG, SERUM"	YHISS4	"RESULT,SERUM"	510
LABERURBC	EMERGENCY RELEASE RBC	RBCSTA	RBC PRODUCT - UNITS	505
LABCYTGEN	CYTOGENETICS FISH ORDER	CYTGN1	CYTOGEN/FISH TRACKING	500
LABCSFCT	"CELL COUNT AND DIFF, CSF"	EOSCSF	"EOSINOPHILS, CSF"	497
LAB11049R	NSE	NEURSP	NEURON SPEC ENOLASE	496
LABCMV	CMV AB TOTAL	CMV	CMV ANTIBODY	488
LABPCEC4O	"ISTAT EC4, OTHER"	GLU	"GLUCOSE,ISTAT"	485
LABPCEC4O	"ISTAT EC4, OTHER"	HCT	"HCT(CALC), ISTAT"	485
LABPCEC4O	"ISTAT EC4, OTHER"	HGB	"HGB(CALC), ISTAT"	485
LABPCEC4O	"ISTAT EC4, OTHER"	K	"POTASSIUM, ISTAT"	485
LABPCEC4O	"ISTAT EC4, OTHER"	NA	"SODIUM, ISTAT"	485
LABPCEC4O	"ISTAT EC4, OTHER"	PCCOM	POCT COMMENT	485
LABGLOB	GLOBULIN	GLOB	GLOBULIN	482
LABPROL	PROLACTIN	PROLACTIN	PROLACTIN	478
LABTBP19	TRANSFUSION BLOOD PRODUCT 20	UBT	UNIT BLOOD TYPE  	476
LABTBP19	TRANSFUSION BLOOD PRODUCT 20	UNT	UNIT NUMBER  	476
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE	CULT	CULT/OTHER RSLT:	473
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE	RPT	RPT	473
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE	SDES	SPECIMEN	473
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE	SREQ	COMMENTS	473
LABCLGC2	"CHLAMYDIA GC, MOLECULAR DETECTION"	CHLAM	C.TRACHOMATIS RESULT:	472
LABCLGC2	"CHLAMYDIA GC, MOLECULAR DETECTION"	DCL2	TEST INFORMATION	472
LABCLGC2	"CHLAMYDIA GC, MOLECULAR DETECTION"	GC	N.GONORRHOEAE RESULT:	472
LABCLGC2	"CHLAMYDIA GC, MOLECULAR DETECTION"	SDES2	SPECIMEN	472
LABHGBP	"HEMOGLOBIN, PLASMA"	YHGBP1	TOTAL HEMOGLOBIN	467
LABCMV	CMV AB IGG	CMV	CMV ANTIBODY	464
LABTBP17	TRANSFUSION BLOOD PRODUCT 18	DI	ISSUE DATE/TIME	461
LABABIDI	AB ID	ABIDELUATE	ANTIBODY IDENTIFICATION ELUATE	460
LABANAS	ANTI - NUCLEAR AB	ANAQNT	TITER	454
LABTBP12	TRANSFUSION BLOOD PRODUCT 13	XMR	UNIT CROSSMATCH  	454
LABHBPQ	HEPATITIS B PCR QUANTITATIVE	HBIPR	TEST DESCRIPTION	453
LABHBPQ	HEPATITIS B PCR QUANTITATIVE	HBPDNA	HEP B VIRUS DNA	453
LABHBPQ	HEPATITIS B PCR QUANTITATIVE	HBPLOG	RESULT LOG 10	453
LABHBPQ	HEPATITIS B PCR QUANTITATIVE	HBPRES	RESULT	453
LABHBPQ	HEPATITIS B PCR QUANTITATIVE	HBPSP	SPECIMEN	453
LABISOF	ISOLATOR FUNGUS	CULT	CULT/OTHER RSLT:	451
LABVP4	COMP HEPATITIS PANEL	HATINT	INTERPRETATION	451
LABVP4	COMP HEPATITIS PANEL	HATR	ANTI-HAV ANTIBODY	451
LABVP4	COMP HEPATITIS PANEL	HBSAIN	INTERPRETATION	451
LABVP4	COMP HEPATITIS PANEL	HBSAQL	HEP B SURF AB QUAL	451
LABVP4	COMP HEPATITIS PANEL	HBSAQT	HEP B SURF AB QUANT	451
LABVP4	COMP HEPATITIS PANEL	HBSINT	INTERPRETATION	451
LABVP4	COMP HEPATITIS PANEL	HBSR	HEP B SURFACE ANTIGEN	451
LABVP4	COMP HEPATITIS PANEL	HBTINT	INTERPRETATION	451
LABVP4	COMP HEPATITIS PANEL	HBTR	ANTI-HBC ANTIBODY	451
LABVP4	COMP HEPATITIS PANEL	HCVI	INTERPRETATION	451
LABVP4	COMP HEPATITIS PANEL	HCVR	ANTI-HCV	451
LABISOF	ISOLATOR FUNGUS	RPT	RPT	451
LABISOF	ISOLATOR FUNGUS	SDES	SPECIMEN	451
LABISOF	ISOLATOR FUNGUS	SREQ	COMMENTS	451
LABTBPCRS	"M. TUBERCULOSIS PCR, SPECIMEN"	CULT	CULT/OTHER RSLT:	450
LABTBPCRS	"M. TUBERCULOSIS PCR, SPECIMEN"	RPT	RPT	450
LABTBPCRS	"M. TUBERCULOSIS PCR, SPECIMEN"	SDES	SPECIMEN	450
LABTBPCRS	"M. TUBERCULOSIS PCR, SPECIMEN"	SREQ	COMMENTS	450
LABGLF	GLUCOSE FASTING	GLUF	"GLUCOSE, FASTING"	448
LABPCEG7O	"ISTAT EG7, OTHER"	HCO3	"HCO3, ISTAT"	448
LABPCEG7O	"ISTAT EG7, OTHER"	PCCOM	POCT COMMENT	448
LABPCEG7O	"ISTAT EG7, OTHER"	PCO2A	"PCO2, ISTAT"	448
LABPCEG7O	"ISTAT EG7, OTHER"	PCO2SO	"O2 SATURATION, ISTAT"	448
LABPCEG7O	"ISTAT EG7, OTHER"	PH	"PH, ISTAT"	448
LABPCEG7O	"ISTAT EG7, OTHER"	PO2A	"PO2, ISTAT"	448
LABTBP22	TRANSFUSION BLOOD PRODUCT 23	PRO	PRODUCT ID  	448
LABTBP22	TRANSFUSION BLOOD PRODUCT 23	SI	<<STATUS>>  	448
LABPCEG7O	"ISTAT EG7, OTHER"	TCO2A	"TCO2, (ISTAT)"	448
LABPCACT	ACTIVATED CLOTTING TIME (POCT)	ACT	"ACT,POCT"	439
LABPCACT	ACTIVATED CLOTTING TIME (POCT)	PCCOM	POCT COMMENT	438
LABFLCR	FREE LIGHT CHAIN RATIO	FREEK	FREE KAPPA LIGHT CHAIN	437
LABFLCR	FREE LIGHT CHAIN RATIO	FREEKL	FREE KAPPA/LAMBDA RATIO	437
LABFLCR	FREE LIGHT CHAIN RATIO	FREEL	FREE LAMBDA LIGHT CHAIN	437
LABURTP	"PROTEIN, URINE (RANDOM)"	UPROTTOT	"PROTEIN, TOTAL, URINE"	437
LABPCEG7O	"ISTAT EG7, OTHER"	CAION	"CALCIUM,ION, ISTAT"	436
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	CAOX	CA OXALATE CRYSTALS	436
LABPCEG7O	"ISTAT EG7, OTHER"	HCT	"HCT(CALC), ISTAT"	436
LABPCEG7O	"ISTAT EG7, OTHER"	HGB	"HGB(CALC), ISTAT"	436
LABPCEG7O	"ISTAT EG7, OTHER"	K	"POTASSIUM, ISTAT"	436
LABPCEG7O	"ISTAT EG7, OTHER"	NA	"SODIUM, ISTAT"	436
LABUA	URINALYSIS WITH MICROSCOPIC	HYST	PSEUDO-HYPHAE	434
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	C1656A	"CD3-/16+56(NK),ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	C1656P	CD3-/16+56(NK)%	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD19AB	"CD19 (PAN B), ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD19PC	CD19 (PAN B) %	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD3AB	"CD3 (PAN T), ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD3PC	CD3 (PAN T) %	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD4AB	"CD3+/CD4+, ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD4PC	CD3+/CD4+ %	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD8AB	"CD3+/CD8+, ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	CD8PC	CD3+/CD8+ %	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	HNS	"CD4+CD8 TOTAL, CD3+%"	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	HSABS	"CD4+CD8 TOTAL, CD3+ ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	HSRATIO	"CD4/CD8 RATIO, CD3+"	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	LYM	LYMPHOCYTES %	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	LYMAB	"LYMPHOCYTES, ABS."	432
LABTBLYM	"T SUBSETS AND B LYMPHOCYTES, BLOOD"	WBC	WBC COUNT	432
LABTBP13	TRANSFUSION BLOOD PRODUCT 14	XMR	UNIT CROSSMATCH  	430
LABERUFFP	EMERGENCY RELEASE PLASMA	FFP	FRESH FROZEN UNITS	428
LABMETHB	METHEMOGLOBIN	METHB	METHEMOGLOBIN	427
LABYHISTS	"HISTOPLASMA AG, SERUM"	YHISS5	"COMMENT,SERUM"	426
LAB11071R	MITOCHONDRIAL AB	YAMA	"MITOCHONDRIAL ANTIBODY, M2"	424
LABCMVRO	CMV RULE OUT	CMQDNA	CMV DNA	423
LABCMVRO	CMV RULE OUT	CMVDSV	TEST DESCRIPTION	423
LABCMVRO	CMV RULE OUT	CMVLIP	TEST DESCRIPTION	423
LABCMVRO	CMV RULE OUT	CMVQSP	SPECIMEN	423
LABCMVRO	CMV RULE OUT	CMVRC1	CMV DAY 1 RAPID CULTURE	423
LABCMVRO	CMV RULE OUT	CMVRC2	CMV DAY 2 RAPID CULTURE	423
LABCMVRO	CMV RULE OUT	CMVSPM	SPECIMEN	423
LABHIAB	HEPARIN INDUCED AB	HIARES	RESULT	421
LABTBP20	TRANSFUSION BLOOD PRODUCT 21	UBT	UNIT BLOOD TYPE  	421
LABTBP20	TRANSFUSION BLOOD PRODUCT 21	UNT	UNIT NUMBER  	421
LABHIAB	HEPARIN INDUCED AB	HIACOM	COMMENTS	420
LABEBVPAN	EPSTEIN-BARR VIRUS AB PANEL	EAGQNT	EAGQNT	418
LABCMVTSI	CMV AB TOTAL SOLID PHASE (GALILEO)	CMVTOT	CMV TOTAL ANTIBODY	414
LABDGHBP	DIAG. HEPATITIS B PANEL	HBCINT	INTERPRETATION	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBCR	IGM ANTI-HBC ANTIBODY	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBSAIN	INTERPRETATION	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBSAQL	HEP B SURF AB QUAL	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBSAQT	HEP B SURF AB QUANT	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBSINT	INTERPRETATION	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBSR	HEP B SURFACE ANTIGEN	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBTINT	INTERPRETATION	413
LABDGHBP	DIAG. HEPATITIS B PANEL	HBTR	ANTI-HBC ANTIBODY	413
LABTES	TESTOSTERONE	TESTOS	TESTOSTERONE	413
LABHIVQ2	HIV-1 RNA PCR QUANTITATIVE	HIVCP	RESULT	410
LABHIVQ2	HIV-1 RNA PCR QUANTITATIVE	HIVIPR	TEST DESCRIPTION	410
LABHIVQ2	HIV-1 RNA PCR QUANTITATIVE	HIVLO	RESULT LOG 10	410
LABHIVQ2	HIV-1 RNA PCR QUANTITATIVE	HIVRNA	HIV 1 RNA	410
LABHIVQ2	HIV-1 RNA PCR QUANTITATIVE	HIVSP	SPECIMEN	410
LABTBP23	TRANSFUSION BLOOD PRODUCT 24	PRO	PRODUCT ID  	410
LABTBP23	TRANSFUSION BLOOD PRODUCT 24	SI	<<STATUS>>  	410
LAB12631R	VORICONAZOLE LEVEL	12630R	VORICONAZOLE LEVEL	409
LABCRCL	"CREATININE CLEARANCE, URINE"	CORCL	CORRECTED CR. CLEAR.	404
LABCRCL	"CREATININE CLEARANCE, URINE"	COREXC	CORRECTED CR. EXC.	404
LABCRCL	"CREATININE CLEARANCE, URINE"	CR	"CREATININE, SERUM"	404
LABCRCL	"CREATININE CLEARANCE, URINE"	CRCL	CREATININE CLEARANCE	404
LABCRCL	"CREATININE CLEARANCE, URINE"	CRE	CREATININE EXCRETION	404
LABCRCL	"CREATININE CLEARANCE, URINE"	CRUCL	"CREATININE, URINE"	404
LABCRCL	"CREATININE CLEARANCE, URINE"	FLOWURN	URINE FLOW	404
LABCRCL	"CREATININE CLEARANCE, URINE"	HT	HEIGHT	404
LABCRCL	"CREATININE CLEARANCE, URINE"	UT3	COLLECTION PERIOD CREATININE	404
LABCRCL	"CREATININE CLEARANCE, URINE"	VOL3	VOLUME CREATININE	404
LABCRCL	"CREATININE CLEARANCE, URINE"	WT	WEIGHT	404
LABCRYST	"CRYSTAL ANALYSIS, SYNOVIAL FLUID"	CRYS	CRYSTAL AMOUNT	403
LABYA1AS	ALPHA - 1 - ANTITRYPSIN	YA1A	ALPHA 1 ANTITRYPSIN	403
LABCRYST	"CRYSTAL ANALYSIS, SYNOVIAL FLUID"	CXSOUR	FLUID SOURCE	402
LABC125	CANCER AG 125	C125	CANCER ANTIGEN 125	398
LABCMVIGT	CMV IGG (TRANSFUSION)	CMGTDS	TEST DESCRIPTION	398
LABCMVIGT	CMV IGG (TRANSFUSION)	CMGTQL	RESULT	398
LABT3	"T3, TOTAL"	T3	T3 TOTAL	398
10290R	HLA - TYPING	9013R	CELL DATE	397
10290R	HLA - TYPING	9014R	CELL SOURCE	397
10290R	HLA - TYPING	9080R	DISCLAIMER	397
10290R	HLA - TYPING	9448R	METHOD(S)	397
LABUA	URINALYSIS WITH MICROSCOPIC	FRFAT	FREE FAT	397
LABPTTINH	PTT INHIBITOR SCREEN	PTTINT	INTERPRETATION	397
10290R	HLA - TYPING	9015R	HLA-A ALLELE 1	395
10290R	HLA - TYPING	9016R	HLA-A ALLELE 2	395
10290R	HLA - TYPING	9017R	HLA-B ALLELE 1	395
10290R	HLA - TYPING	9018R	HLA-B ALLELE 2	395
10290R	HLA - TYPING	9019R	HLA-BW ALLELE 1	395
10290R	HLA - TYPING	9075R	HLA-MOLECULAR PT. SUMMARY	395
10290R	HLA - TYPING	9076R	HLA-SEROLOGICAL PT. SUMMARY	395
LABUA	URINALYSIS WITH MICROSCOPIC	OVFAT	OVAL FAT BODIES	395
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	HYST	PSEUDO-HYPHAE	394
LABTBP21	TRANSFUSION BLOOD PRODUCT 22	UBT	UNIT BLOOD TYPE  	394
LABTBP21	TRANSFUSION BLOOD PRODUCT 22	UNT	UNIT NUMBER  	394
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	BASO	BASOPHILS	389
LABHV6DNA	HERPES VIRAL 6 DNA QUALITATIVE	HVDNA	HERPES VIRUS 6 DNA	389
LABGIARS	GIARDIA SCREEN	CULT	CULT/OTHER RSLT:	386
LABGIARS	GIARDIA SCREEN	RPT	RPT	386
LABGIARS	GIARDIA SCREEN	SDES	SPECIMEN	386
LABGIARS	GIARDIA SCREEN	SREQ	COMMENTS	386
LABVZAB	VARICELLA ZOSTER VIRUS AB IGG	VZAB	VARICELLA ZOSTER AB IGG	386
LABBXTG	BIOPSY/TISSUE(GEN)GS	CULT	CULT/OTHER RSLT:	384
LABBXTG	BIOPSY/TISSUE(GEN)GS	GS	GRAM STAIN	384
LABBXTG	BIOPSY/TISSUE(GEN)GS	RPT	RPT	384
LABBXTG	BIOPSY/TISSUE(GEN)GS	SDES	SPECIMEN	384
LABBXTG	BIOPSY/TISSUE(GEN)GS	SREQ	COMMENTS	384
LABUUNT	"UREA NITROGEN, URINE (TIMED)"	TUNU	UREA EXCRETION	384
LABUUNT	"UREA NITROGEN, URINE (TIMED)"	UREAVOL	VOLUME UREA	384
LABUUNT	"UREA NITROGEN, URINE (TIMED)"	UT4	COLLECTION PERIOD UREA	384
LABUUNT	"UREA NITROGEN, URINE (TIMED)"	UURN	"UREA NITROGEN, URINE"	384
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	BASOAB	"BASO, ABS (MAN DIFF)"	381
LABPROTC	PROTEIN C ACTIVITY	PROTC	PROTEIN C ACTIVITY	381
LABHSVZL	"HSV/VZV PCR QUAL, LESION"	HSV1DN	HSV-1 DNA	380
LABHSVZL	"HSV/VZV PCR QUAL, LESION"	HSV2DN	HSV-2 DNA	380
LABHSVZL	"HSV/VZV PCR QUAL, LESION"	HSVZIP	TEST DESCRIPTION	380
LABHSVZL	"HSV/VZV PCR QUAL, LESION"	HSVZSP	SPECIMEN	380
LABHSVZL	"HSV/VZV PCR QUAL, LESION"	VZVDN	VZV DNA	380
LABSTOBGC	"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."	OCCGU	"STOOL SAMPLE1,GUAIAC"	379
10290R	HLA - TYPING	9021R	HLA-C ALLELE 1	377
10290R	HLA - TYPING	9022R	HLA-C ALLELE 2	377
10290R	HLA - TYPING	9023R	HLA-DRB1 ALLELE 1	377
10290R	HLA - TYPING	9024R	HLA-DRB1 ALLELE 2	377
10290R	HLA - TYPING	9029R	HLA-DQB1 ALLELE 1	377
10290R	HLA - TYPING	9030R	HLA-DQB1 ALLELE 2	377
LABSTOBGC	"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."	DATE1	DATE 1	377
LABFVARZ	"VARICELLA ZOSTER VIR. DNA,QUAL"	VZVDNA	VARICELLA ZOSTER VIRUS DNA	377
LABHITAB	HEPARIN (HIT) AB	PF4IGG	PF4 IGG ONLY OD	376
LAB11824R	BUSULFAN	11825R	CONCENT. AT STEADY STATE (CSS)	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	ADVR	ADENOVIRUS	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	INFAR	INFLUENZA A	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	INFBR	INFLUENZA B	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	MPVRR	METAPNEUMOVIRUS	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	P1R	PARAINFLUENZA 1	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	P2R	PARAINFLUENZA 2	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	P3R	PARAINFLUENZA 3	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	RSVR	RSV	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	RVRPIP	TEST DECRIPTION	375
LABDVERVR	RESP DFA PANEL-REFLEX PCR	RVRSP	SPECIMEN	375
LABTBP18	TRANSFUSION BLOOD PRODUCT 19	DI	ISSUE DATE/TIME	372
LABPROTS	PROTEIN S ACTIVITY	PROTS	PROTEIN S ACTIVITY	372
LABUA	URINALYSIS WITH MICROSCOPIC	URIC	URIC ACID CRYSTALS	371
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	BLASTS	BLASTS	368
LABLEVETL	LEVETIRACETAM LEVEL	LEVET	LEVET	367
LABLEVETL	LEVETIRACETAM LEVEL	LEVET1	LEVET1	367
LABLEVETL	LEVETIRACETAM LEVEL	LEVET2	LEVET2	367
LABLEVETL	LEVETIRACETAM LEVEL	LEVET3	LEVET3	367
LABLEVETL	LEVETIRACETAM LEVEL	LEVET4	LEVET4	367
LABHV6DNA	HERPES VIRAL 6 DNA QUALITATIVE	SOUR12	SOURCE	367
LABTT4	"T4, TOTAL"	T4	"THYROXINE (T4), TOTAL"	367
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	BLASTSAB	"BLASTS,ABS(MAN DIFF)"	365
10290R	HLA - TYPING	9027R	HLA-DQA1 ALLELE 1	361
10290R	HLA - TYPING	9028R	HLA-DQA1 ALLELE 2	361
LABANTIXA	LMWH ACTIVITY BY ANTIXA	ANTIXA	"LMW HEPARIN, ANTIXA U/ML"	361
LABARI	ABO/RH (ARI)	ARG	ABO/RH (AUTOMATION)	361
LABDVEVH	HSV/VZ DFA (DIRECT VIRAL EXAM)	DVE	RESULTS	360
LABSTPOLY	"WBC FOR IBD, STOOL"	EOSSTL	"EOSINOPHILS, STOOL"	360
LABSTPOLY	"WBC FOR IBD, STOOL"	POLYST	"PMNS, STOOL"	360
LABTBP24	TRANSFUSION BLOOD PRODUCT 25	PRO	PRODUCT ID  	360
LABDVEVH	HSV/VZ DFA (DIRECT VIRAL EXAM)	RPT	RPT	360
LABDVEVH	HSV/VZ DFA (DIRECT VIRAL EXAM)	SDES	SPECIMEN	360
LABTBP24	TRANSFUSION BLOOD PRODUCT 25	SI	<<STATUS>>  	360
LABDVEVH	HSV/VZ DFA (DIRECT VIRAL EXAM)	SREQ	COMMENTS	360
LABSTOBGC	"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."	DATE2	DATE 2	359
LABFVARZ	"VARICELLA ZOSTER VIR. DNA,QUAL"	SOUR13	SOURCE	358
LABCMVIGT	CMV IGG (TRANSFUSION)	CMGTQT	LEVEL	357
LABSTOBGC	"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."	DATE3	DATE 3	357
LABCMVM	CMV IGM	CMVIGM	CMV IGM AB	356
LABUTP	"PROTEIN, URINE (TIMED)"	TTPU	PROTEIN EXCRETION	355
LABUTP	"PROTEIN, URINE (TIMED)"	UPROTTOT	"PROTEIN, TOTAL, URINE"	355
LABUTP	"PROTEIN, URINE (TIMED)"	UT10	COLLECTION PERIOD PROTEIN	355
LABUTP	"PROTEIN, URINE (TIMED)"	VOL10	VOLUME PROTEIN	355
LABINSLF	INSULIN FASTING	INSF	"INSULIN, FASTING"	354
LABMALAR	MALARIA PREP	MAL	MALARIA PREP RESULT	352
LABTBP14	TRANSFUSION BLOOD PRODUCT 15	XMR	UNIT CROSSMATCH  	350
LABCMVQL	"CMV DNA PCR QUAL, NON-PLASMA"	CMQDNA	CMV DNA	347
LABCMVQL	"CMV DNA PCR QUAL, NON-PLASMA"	CMVLIP	TEST DESCRIPTION	347
LABCMVQL	"CMV DNA PCR QUAL, NON-PLASMA"	CMVQSP	SPECIMEN	347
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	MAOTH	"OTHER, ABS(MAN DIFF)"	347
LABNORW	"NOROVIRUS ANTIGEN, STOOL EIA"	NORW1	"NOROVIRUS,ELA (STOOL)"	346
LABCSFCT	"CELL COUNT AND DIFF, CSF"	COTHER	"OTHERS, CSF"	345
LAB11123R	"COCCI CF AB, CSF"	COCC	COCCI CF AB (CSF)	341
LABTHEOL	THEOPHYLLINE LEVEL	THEO	THEOPHYLLINE	341
LABTHEOL	THEOPHYLLINE LEVEL	THEO1	"PEAK, TROUGH, OR RANDOM"	341
LABTHEOL	THEOPHYLLINE LEVEL	THEO2	DATE & TIME OF LAST DOSE	341
LABTHEOL	THEOPHYLLINE LEVEL	THEO3	DOSAGE	341
LABTHEOL	THEOPHYLLINE LEVEL	THEO4	ADMINISTRATION ROUTE	341
LABTBP22	TRANSFUSION BLOOD PRODUCT 23	UBT	UNIT BLOOD TYPE  	339
LABTBP22	TRANSFUSION BLOOD PRODUCT 23	UNT	UNIT NUMBER  	339
LABTBP19	TRANSFUSION BLOOD PRODUCT 20	DI	ISSUE DATE/TIME	337
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	URENAL	RENAL CELLS	337
LABANTIM	ANTI - TPO AB	ATPO	ANTI-TPO ANTIBODY	335
LABUA	URINALYSIS WITH MICROSCOPIC	SPERM	SPERMATOZOA	333
LABTBP4	TRANSFUSION BLOOD PRODUCT 5	SPEXP	SPECIMEN EXPIRATION DATE/TIME	333
LAB11068R	ACE	ACE	ANGIOTESIN CONVERTING ENZYME	331
LABBFCT	"CELL COUNT AND DIFF, FLUID"	CILIA	BRONCH. LINING CELLS	331
LABBMT1	BMT PANEL 1	EGFR	EGFR	330
LABMMAS	"METHYLMALONIC ACID, SERUM"	MMA	"METHYLMALONIC ACID, SERUM"	329
LABCZPL	"CARBAMAZEPINE, SERUM"	CZP	CARBAMAZEPINE	326
LABCZPL	"CARBAMAZEPINE, SERUM"	CZP1	"PEAK, TROUGH, OR RANDOM"	326
LABCZPL	"CARBAMAZEPINE, SERUM"	CZP2	DATE & TIME LAST DOSE	326
LABCZPL	"CARBAMAZEPINE, SERUM"	CZP3	DOSAGE	326
LABCZPL	"CARBAMAZEPINE, SERUM"	CZP4	ADMINISTRATION ROUTE	326
LABTBP25	TRANSFUSION BLOOD PRODUCT 26	PRO	PRODUCT ID  	326
LABTBP25	TRANSFUSION BLOOD PRODUCT 26	SI	<<STATUS>>  	326
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	OTHER	OTHERS (DESCRIBE)	325
LABSTOBGC	"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."	OCCGU	"STOOL SAMPLE2,GUAIAC"	324
LABSTOBGC	"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."	OCCGU	"STOOL SAMPLE3,GUAIAC"	324
LAB11136R	HTLV AB	HTLVS	HTLV AB SCREEN	322
LABURCL	"CHLORIDE, URINE (RANDOM)"	UCL	"CHLORIDE, URINE"	320
LABEB	EBV AB PANEL	COM	COMMENT	319
