base_name	description	display_name	count
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Other Special Needs (Not an Order to Transfuse)	133
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells (crossmatch) (Not an Order to Transfuse)	105
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, All Transplant Donors (including BMT and Solid Organ Donors) (Not an Order to Transfuse)	88
LABBBPRBC	RED BLOOD CELLS	Prepare Red Blood Cells	70
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Kidney, Liver-Kidney, Pancreas, Heart, Lung, Heart-Lung Transplant	70
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Hematologic Disorders	58
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, All Transplant Donors (including BMT and Solid Organ Donors)	55
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Pt with HLA Antibodies 	34
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells (in units only)	31
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Pt with HLA Antibodies (Not an Order to Transfuse)	22
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Sickle Cell Anemia 	22
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Sickle Cell Anemia (Not an Order to Transfuse)	21
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells AUTOLOGOUS / DIRECTED ONLY	10
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, (SCID, Di George Syndrome, Immunodeficiency) (Not an Order to Transfuse)	8
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Bone Marrow Transplant - all ages	8
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, HIV/AIDS	7
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, HIV/AIDS (Not an Order to Transfuse)	6
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Cancer Pt > 18 yrs old (non-hematologic) 	5
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, (SCID, Di George Syndrome, Immunodeficiency) 	4
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Cancer Pt > 18 yrs old (non-hematological) 	4
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Pregnancy 	4
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Thalassemia (Not an Order to Transfuse)	4
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells (Cross Match)	2
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, All Transplant Donors (including BMT and Solid Organs)	2
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Hemoglobinopathies (Hemoglobin C, SC, E)	2
LABBBPRBC	RED BLOOD CELLS	Red Blood Cells, Thalassemia 	2
LABBBPRH	RHO(D) IMMUNE GLOB (RHOGAM)	Rho(D) Immune Glob (RhoGam)	8
LABBBPRH	RHO(D) IMMUNE GLOB (RHOGAM)		4
LABBCAA	BRANCHED CHAIN AMINO ACIDS	Branched Chain Amino Acids	4
LABBCGMIS	BIOCHEM GENETIC MISCELLANEOUS TEST	Biochem Genetic Miscellaneous Test	47
LABBCLON	B - CELL CLONALITY PCR	B-Cell Clonality PCR	10
LABBCLON	B - CELL CLONALITY PCR		6
LABBCRABL	BCR - ABL, BLOOD	BCR-ABL, Blood	424
LABBCRABL	BCR - ABL, BLOOD		152
LABBCRABL	BCR - ABL, BLOOD	BCR-ABL, Qualitative Blood (molecular diagnostic)	12
LABBCRABL	BCR - ABL, BLOOD	BCR-ABL Qualitative, Blood	2
LABBCRKDM	BCR - ABL KINASE DOMAIN MUTATION ANALYSIS	BCR-ABL Kinase Domain Mutation Analysis	63
LABBCRKDM	BCR - ABL KINASE DOMAIN MUTATION ANALYSIS		22
LABBCRKDM	BCR - ABL KINASE DOMAIN MUTATION ANALYSIS	BCR-ABL Kinase Domain Mutation Analysis  (molecular diagnostic)	8
LABBCRQT	BCR - ABL QUANTITATIVE, BLOOD	BCR-ABL Quantitative, Blood	326
LABBCRQT	BCR - ABL QUANTITATIVE, BLOOD		54
LABBCRQT	BCR - ABL QUANTITATIVE, BLOOD	BCR-ABL Quantitative, Blood (molecular diagnostic)	16
LABBCRQT	BCR - ABL QUANTITATIVE, BLOOD	BCR - ABL QUANTITATIVE, BLOOD	1
LABBFCT	CELL COUNT AND DIFF, FLUID	Cell Count and Diff, Fluid	9890
LABBFCT	CELL COUNT AND DIFF, FLUID		4354
LABBFCT	CELL COUNT AND DIFF, FLUID	Cell Count and Diff, Pleural Fluid	722
LABBFCT	CELL COUNT AND DIFF, FLUID	Cell Count and Diff, Peritoneal/Ascites Fluid	596
LABBFCT	CELL COUNT AND DIFF, FLUID	Cell Count and Diff, Synovial Fluid	272
LABBFCT	CELL COUNT AND DIFF, FLUID	Cell Count and Diff, Pericardial Fluid	72
LABBFCTS	CELL COUNT, BODY FLUID		40
LABBFCTS	CELL COUNT, BODY FLUID	Cell Count, Body Fluid	18
LABBHB	BETA-HYDROXYBUTYRATE	Beta-Hydroxybutyrate	799
LABBHCG	BETA HCG	Beta HCG	1827
LABBHCG	BETA HCG		150
LABBHCG	BETA HCG	Pregnancy Test, serum, Quantitative	40
LABBHCG	BETA HCG	Beta HCG, Quantitative	3
LABBHCG	BETA HCG	Pregnancy Test, serum, quantitive	2
LABBKDNA	BK VIRUS DNA PCR		2
LABBKVPC	BK VIRUS PCR, QUANT, PLASMA	BK Virus PCR, Quant, Plasma	424
LABBKVPC	BK VIRUS PCR, QUANT, PLASMA		103
LABBKVPC	BK VIRUS DNA QUANTITATION	BK Virus DNA Quantitation	8
LABBKVPC	BK VIRUS DNA QUANTITATION		2
LABBKVPCU	BK VIRUS PCR, QUANT, URINE	BK Virus PCR, Quant, Urine	535
LABBKVPCU	BK VIRUS PCR, QUANT, URINE		96
LABBKVQU	BK VIRUS DNA QUANTITATION	BK Virus DNA Quantitation	156
LABBKVQU	BK VIRUS DNA QUANTITATION		57
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Blood Culture (Aerobic & Anaerobic Bottles)	105610
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)		7586
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Blood Culture - 2 Aerobic Bottles	2516
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Blood Culture (Aero & Anaerobic bottles)	412
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	"Blood Culture (Aerobic &amp	 Anaerobic Bottles)"	147
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Blood culture (aero & anaerobic bottles)	76
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Blood Culture	21
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Blood culture	13
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	Blood Culture (2 Aerobic Bottles)	100791
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)		4794
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	Blood Cult - Aerobic & Anaerobic Bottles	2632
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	Blood Culture (2 Aerobic bottles)	75
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	Blood culture (2 aerobic bottles)	48
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	Blood culture	2
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	Blood Culture x 2	2
LABBLCA	AFB CULTURE, BLOOD	AFB Culture, Blood	756
LABBLCA	AFB CULTURE, BLOOD		54
LABBLCA	AFB CULTURE, BLOOD	AFB, Bone Marrow	24
LABBLCSTK	BLOOD CULT - FIRST SET, VIA PHLEBOTOMY	Blood Cult - first set, via phlebotomy	11584
LABBLCSTK	BLOOD CULT - FIRST SET, VIA PHLEBOTOMY	Blood Culture - Peripheral via phlebotomy	1275
LABBLCSTK	BLOOD CULT - FIRST SET, VIA PHLEBOTOMY		98
LABBLCSTK	BLOOD CULT - FIRST SET, VIA PHLEBOTOMY	Blood Cult - Peripheral via phlebotomy	20
LABBLCTIP	BLOOD CULT - 2ND SET VIA CATHETER	Blood Cult - 2nd set via catheter	12096
LABBLCTIP	BLOOD CULT CENTRAL LINE CATHETER BY NURSE	Blood Culture - Central line by NURSE	1326
LABBLCTIP	BLOOD CULT - 2ND SET VIA CATHETER		148
LABBLCTIP	BLOOD CULT CENTRAL LINE CATHETER BY NURSE	Blood Cult central line catheter by NURS	18
LABBLDCR	BLOOD FOR CREATININE CLEARANCE	Bld for Creatinine Clearance	2
LABBLDCR	BLOOD FOR CREATININE CLEARANCE	Blood for Creatinine Clearance	2
LABBM1114	"T(11	14) BY PCR,BONE MARROW"		26
LABBM1114	"T(11	14) BY PCR,BONE MARROW"	"T(11	14) By PCR,Bone Marrow (molecular diagnostic)"	10
LABBM1114	"T(11	14) BY PCR,BONE MARROW"	"T(11	14) By PCR,Bone Marrow"	4
LABBM1418	"T(14	18), BONE MARROW"		24
LABBM1418	"T(14	18), BONE MARROW"	"T(14	18), Bone Marrow"	16
LABBM1418	"T(14	18), BONE MARROW"	"T(14	18), Bone Marrow (molecular diagnostic)"	12
LABBM1517	"T(15	17) PML/RAR, BONE MARROW"	"T(15	17) PML/RAR, Bone Marrow (molecular diagnostic)"	46
LABBM1517	"T(15	17) PML/RAR, BONE MARROW"	"T(15	17) PML/RAR, Bone Marrow"	40
LABBM1517	"T(15	17) PML/RAR, BONE MARROW"		34
LABBMAML	AML PROGNOSIS ASSAY, BONE MARROW	AML Prognosis Assay, Bone Marrow	252
LABBMAML	AML PROGNOSIS ASSAY, BONE MARROW		154
LABBMAML	AML PROGNOSIS ASSAY, BONE MARROW	AML Prognosis Assay, Bone Marrow  (molecular diagnostic)	61
LABBMBCLO	B - CELL CLONALITY PCR, BONE MARROW	B-Cell Clonality PCR, Bone Marrow  (molecular diagnostic)	25
LABBMBCLO	B - CELL CLONALITY PCR, BONE MARROW		16
LABBMBCLO	B - CELL CLONALITY PCR, BONE MARROW	B-Cell Clonality PCR, Bone Marrow	8
LABBMBCLO	B - CELL CLONALITY PCR, BONE MARROW	B-Cell Clonality, PCR, Bone Marrow	1
LABBMBCR	BCR - ABL, BONE MARROW		182
LABBMBCR	BCR - ABL, BONE MARROW	BCR-ABL, Qualitative Bone Marrow (molecular diagnostic)	86
LABBMBCR	BCR - ABL, BONE MARROW	BCR-ABL, Bone Marrow	50
LABBMBCRQ	BCR - ABL QUANTITATIVE, BONE MARROW		110
LABBMBCRQ	BCR - ABL QUANTITATIVE, BONE MARROW	BCR-ABL Quantitative, Bone Marrow (molecular diagnostic)	78
LABBMBCRQ	BCR - ABL QUANTITATIVE, BONE MARROW	BCR-ABL Quantitative, Bone Marrow	44
LABBMBCRQ	BCR - ABL QUANTITATIVE, BONE MARROW	BCR-ABL Quant, Bone Marrow	2
LABBMC	BONE MARROW CULTURE	Bone Marrow Culture	52
LABBMC	BONE MARROW CULTURE		40
LABBMC	BONE MARROW CULTURE	Bone Marrow Culture + Gram Stain	27
LABBMCD34	CD34 PANEL, BONE MARROW		18
LABBMCD34	CD34 PANEL, BONE MARROW	CD34 Panel, Bone Marrow	8
LABBMCEBP	DETECTION OF CEBPA, BONE MARROW	Detection of CEBPA, Bone Marrow	304
LABBMCEBP	DETECTION OF CEBPA, BONE MARROW	Detection of CEBPA, Bone Marrow  (molecular diagnostic)	219
LABBMCEBP	DETECTION OF CEBPA, BONE MARROW		84
LABBMCEBP	DETECTION OF CEBPA, BONE MARROW	Detection of CEBPA, Bone Marrow (molecular diagnostic)	14
LABBMNPM1	NPM1, NUCLEOPHOSMIN 1 MUTATION, BM	NPM1, Nucleophosmin 1 Mutation, BM	282
LABBMNPM1	NPM1, NUCLEOPHOSMIN 1 MUTATION, BM	NPM1, NUCLEOPHOSMIN 1 MUTATION, BM	18
LABBMPTP	BMT PRETRANSPLANT PANEL	BMT Pretransplant Panel	41
LABBMPTP	BMT PRETRANSPLANT PANEL		4
LABBMS	BMT STERILITY SAMPLE		6
LABBMS	BMT STERILITY SAMPLE	BMT Sterility Sample	4
LABBMT1	BMT PANEL 1	BMT Panel 1	17569
LABBMT1	BMT PANEL 1		694
LABBMT1	BMT PANEL 1	Bmt Panel I	602
LABBMT1	BMT PANEL 1	BMT PANEL 1	13
LABBMT2	BMT PANEL 2	BMT Panel 2	16864
LABBMT2	BMT PANEL 2		408
LABBMT2	BMT PANEL 2	BMT PANEL 2	12
LABBMTCLO	T-CELL CLONALITY PCR, BONE MARROW	T-Cell Clonality PCR, Bone Marrow (molecular diagnostic)	41
LABBMTCLO	T-CELL CLONALITY PCR, BONE MARROW		34
LABBMTCLO	T-CELL CLONALITY PCR, BONE MARROW	T-Cell Clonality PCR, Bone Marrow	28
LABBMTP	BMT PRETRANSPLANT PANEL	BMT Pretransplant Panel	267
LABBMTP	BMT PRETRANSPLANT PANEL		32
LABBMTP2	BMT REPEAT TRANSPLANT PANEL	BMT Repeat Transplant Panel	2
LABBONC	BONE CULTURE AND GRAM STAIN		52
LABBONC	BONE CULTURE AND GRAM STAIN	Bone Culture And Gram Stain	42
LABBPERP	BORDETELLA PERTUSSIS PCR	Bordetella Pertussis PCR	197
LABBPERP	BORDETELLA PERTUSSIS PCR		34
LABBRAF	BRAF		58
LABBRAF	BRAF	BRAF	44
LABBRASP	BRONCHOPULMONARY ASPERGILLUS SCREEN	Bronchopulmonary Aspergillus Screen	183
LABBRASP	BRONCHOPULMONARY ASPERGILLUS SCREEN		8
LABBSME	BLOOD PARASITE EXAM (NOT MALARIA)	Blood Parasite Exam (Not Malaria)	239
LABBSME	BLOOD PARASITE EXAM (NOT MALARIA)		14
LABBTDASE	BIOTINIDASE	Biotinidase	1
LABBTHSQ	BETA THALASSEMIA SEQUENCING	Beta Thalassemia Sequencing	10
LABBTHSQ	BETA THALASSEMIA SEQUENCING		2
LABBUN	UREA NITROGEN, SERUM/PLASMA	Urea Nitrogen, Serum/Plasma	8341
LABBUN	UREA NITROGEN, SERUM/PLASMA		722
LABBUNCR	BUN / CREATININE		220
LABBUNCR	BUN / CREATININE	BUN/Creatinine	12
LABBXTG	BIOPSY / TISSUE CULTURE AND GRAM STAIN		6736
LABBXTG	BIOPSY / TISSUE CULTURE AND GRAM STAIN	Biopsy/Tissue Culture And Gram Stain	2513
LABBXTG	BIOPSY/TISSUE WITH GRAM STAIN	Biopsy/Tissue with Gram Stain	1554
LABBXTG	BIOPSY/TISSUE(GEN)GS	Biopsy/Tissue(Gen)GS	844
LABBXTG	BIOPSY / TISSUE CULTURE AND GRAM STAIN	Biopsy/Tissue(Gen)GS	52
LABC125	CANCER AG 125	Cancer Ag 125	888
LABC125	CANCER AG 125		80
LABC125	CANCER AG 125	Cancer Antigen 125	4
LABC153	CANCER AG 15-3	Cancer Ag 15-3	40
LABC1INHF	C1 ESTERASE INHIBITOR FN	C1 Esterase Inhibitor FN	4
LABC1Q	C1Q BINDING ASSAY	C1Q Binding Assay	2
LABC3	COMPLEMENT C3, SERUM	Complement C3, Serum	1726
LABC3	COMPLEMENT C3, SERUM		98
LABC3	COMPLEMENT C3, SERUM	Complement C3, serum	6
LABC4	COMPLEMENT C4, SERUM	Complement C4, Serum	1739
LABC4	COMPLEMENT C4, SERUM		92
LABC4	COMPLEMENT C4, SERUM	Complement C4, serum	6
LABC4C8	CD4 / CD8 PANEL, BLOOD	CD4/CD8 Panel, Blood	241
LABC4C8	CD4 / CD8 PANEL, BLOOD	CD4/CD8 panel, blood	20
LABC4C8	CD4 / CD8 PANEL, BLOOD		16
LABC4C8	CD4 / CD8 PANEL, BLOOD	CD4/CD8 Panel, Blood  [LABC4C8]	2
LABCA	CALCIUM, SERUM/PLASMA	Calcium, Serum/Plasma	25520
LABCA	CALCIUM, SERUM/PLASMA		700
LABCA	CALCIUM, SERUM/PLASMA	Calcium, serum/plasma	351
LABCA	CALCIUM, SERUM/PLASMA	Calcium, Serum/Plasma (LABCA)	11
LABCA199	CANCER AG 19-9	Cancer Ag 19-9	1899
LABCA199	CANCER AG 19-9		142
LABCA199	CANCER AG 19-9	Cancer Antigen 19-9	28
LABCACE	ANGIOTENSIN CONVERTING ENZYME, CSF		3
LABCAD	CADMIUM, WHOLE BLOOD	Cadmium, Whole Blood	9
LABCAD	CADMIUM, WHOLE BLOOD		4
LABCAI	CALCIUM IONIZED, SERUM/PLASMA	Calcium Ionized, Serum/Plasma	234235
LABCAI	CALCIUM IONIZED, SERUM/PLASMA		14012
LABCAI	CALCIUM IONIZED, SERUM/PLASMA	Calcium Ionized, Serum/Plasma in AM	7592
LABCAI	CALCIUM IONIZED, SERUM/PLASMA	Calcium Ionized, serum/plasma	493
LABCAI	CALCIUM IONIZED, SERUM/PLASMA	Calcium ionized, serum/plasma	16
LABCANNAB	NEURONAL NUCLEAR AB, CSF	Anti-Neuronal Nuclear Ab, CSF	42
LABCANNAB	NEURONAL NUCLEAR AB, CSF		14
LABCANNAB	NEURONAL NUCLEAR AB, CSF	Anti-neuronal nuclear Ab, CSF	2
LABCAPBG	CAPILLARY BLOOD GAS	Capillary Blood Gas	2
LABCARN	CARNITINE FREE AND TOTAL	Carnitine Free And Total	83
LABCARN	CARNITINE FREE AND TOTAL		2
LABCBCD	CBC WITH DIFF	CBC With Diff	524331
LABCBCD	CBC WITH DIFF	CBC with diff	154492
LABCBCD	CBC WITH DIFF		30776
LABCBCD	CBC WITH DIFF	CBC With Diff in AM	25030
LABCBCD	CBC WITH DIFF	CBC with Diff	2276
LABCBCD	CBC WITH DIFF	CBC With Diff (LABCBCD)	167
LABCBCD	CBC WITH DIFF	CBC With Diff (in purple top tube for special hematology)	100
LABCBCD	CBC WITH DIFF	CBC With Diff  [LABCBCD]  	2
LABCBCD	CBC WITH DIFF	CBC With Diff [LABCBCD]	2
LABCBCD	CBC WITH DIFF	Complete Blood Count (CBC With Diff)	2
LABCBCD	CBC WITH DIFF	Int CBC With Diff Every 3 Months	2
LABCBCD	CBC WITH DIFF	Int CBC With Diff Every 4 Weeks	2
LABCBCD	CBC WITH DIFF	CBC With Diff  [LABCBCD]	1
LABCBCD	CBC WITH DIFF	CBC WITH DIFF IN 1 MONTH	1
LABCBCD	CBC WITH DIFF	Ext CBC With Diff - 2 Times A Week	1
LABCBCO	CBC	CBC	412894
LABCBCO	CBC	CBC in AM	20472
LABCBCO	CBC		18224
LABCBCO	CBC	CBC: POD # 1	3918
LABCBCO	CBC	CBC: Evening of surgery	2469
LABCBCO	CBC	CBC (LABCBCO)	106
LABCBCO	CBC	CBC POD 1	58
LABCBCO	CBC	CBC [LABCBCO]	6
LABCBCO	CBC	CBC IN 1 MONTH	5
LABCBCO	CBC	CBC IN 3 MONTHS	2
LABCBCO	CBC	Int CBC - 2 Times A Week	2
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	CBC With Diff And Slide Review	18479
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW		1630
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	CBC with Diff and Slide Review	10
LABCBCS	CBC WITH DIFF AND SLIDE REVIEW	CBC With Diff And Slide Review [LABCDCS]	1
LABCCP	ANTI CCP	Anti CCP	5
LABCCT	CELL COUNT, CSF		30
LABCCT	CELL COUNT, CSF	Cell Count, CSF	14
LABCD34	CD34 PANEL, BLOOD	CD34 Panel, Blood	165
LABCD34	CD34 PANEL, BLOOD		14
LABCD3B	CD3, BLOOD	CD3, Blood	6
LABCD3B	CD3, BLOOD	CD3, BLOOD	2
LABCD3B	CD3, BLOOD		2
LABCD3F	CD3, FLUID	CD3, FLUID	10
LABCD4CT	CD4 COUNT	CD4 Count	493
LABCD4CT	CD4 COUNT		34
LABCDAS	CELIAC DISEASE SCREEN	Celiac Disease Screen	201
LABCDAS	CELIAC DISEASE SCREEN		10
LABCDH1	FAMILIAL GASTRIC CANCER I	Familial Gastric Cancer I	8
LABCDHPET	FAMILIAL GASTRIC CANCER, PET	Familial Gastric Cancer, PET	4
LABCDIFF	DIFFERENTIAL, CSF		30
LABCDIFF	DIFFERENTIAL, CSF	Differential, CSF	10
LABCDMLPA	CDH1 MLPA	CDH1 MLPA	4
LABCDPLI	COLD AGGLUTININ SCREEN		312
LABCDPLI	COLD AGGLUTININ SCREEN	Cold Agglutinin Screen	263
LABCDPLTI	COLD AGGLUTININ TITER	Cold Agglutinin Titer	123
LABCDPLTI	COLD AGGLUTININ TITER		6
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	C.diff Toxin B Gene, Qual. Real-Time PCR	40822
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR		9700
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	C Difficile Toxin B, Stool	516
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	Stool C Diff Toxin B	112
LABCDTPCR	C DIFFICILE TOXIN B, STOOL	C Difficile Toxin B, Stool	84
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	Stool C diff toxin B	44
LABCDTPCR	C DIFFICILE TOXIN B, STOOL		35
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	C.diff Toxin B Gene, Stool	14
LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	C. dificile toxin B, Stool	9
LABCDTPCR	C DIFFICILE TOXIN B, STOOL	Stool C diff toxin B	2
LABCDTPCR	C DIFFICILE TOXIN B, STOOL	Stool C Diff Toxin B	1
LABCEA	CEA	CEA	2056
LABCEA	CEA		176
LABCEA	CEA	CEA (LABCEA)	4
LABCEBPA	DETECTION OF CEBPA, BLOOD	Detection of CEBPA, Blood	407
LABCEBPA	DETECTION OF CEBPA, BLOOD		40
LABCEBPA	DETECTION OF CEBPA, BLOOD	Detection of CEBPA, Blood  (molecular diagnostic)	29
LABCELDIS	CELIAC DISEASE SYSTEM	Celiac Disease System	8
LABCELDIS	CELIAC DISEASE SYSTEM		2
LABCENABY	ANTI CENTROMERE ANTIBODY	Anti Centromere Antibody	243
LABCENABY	ANTI CENTROMERE ANTIBODY	Centromere Antibodies	12
LABCENABY	CENTROMERE ANTIBODIES	Centromere Antibodies	4
LABCENABY	ANTI CENTROMERE ANTIBODY		2
LABCENABY	CENTROMERE ANTIBODIES		1
LABCEPLUS	CELIAC PLUS	Celiac Plus	4
LABCF32	CYSTIC FIBROSIS MUTATION STUDY	Cystic Fibrosis Mutation Study	98
LABCF32	CYSTIC FIBROSIS MUTATION STUDY		6
LABCFDS	CFTR DIAGNOSTIC SEQUENCING	CFTR Diagnostic Sequencing	34
LABCFDS	CFTR DIAGNOSTIC SEQUENCING		8
LABCFMLPA	CFTR DELETION/DUPLICATION ANALYSIS BY MLPA	CFTR Deletion/Duplication Analysis by MLPA	2
LABCFMLPA	CFTR DELETION/DUPLICATION ANALYSIS BY MLPA	CFTR DELETION/DUPLICATION ANALYSIS BY MLPA	2
LABCFPT	CF POLY T ANALYSIS	CF Poly T Analysis	2
LABCFPT	CF POLY T ANALYSIS		2
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE	Cystic Fibrosis Respiratory Culture	1345
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE		398
LABCFRESP	CYSTIC FIBROSIS RESPIRATORY CULTURE	Respiratory Culture (Cystic fibrosis patient)	10
LABCFSS	CFTR SCREEN BY SEQUENCING	CFTR SCREEN BY SEQUENCING	14
LABCFSS	CFTR SCREEN BY SEQUENCING	CFTR Screen by Sequencing	2
LABCGD	NEUTROPHIL FUNC. OXI. BURST	Chronic Granulomatosis Disease (CGD)	39
LABCGMISC	MISCELLANEOUS TEST COAGULATION		6
LABCGMISC	MISCELLANEOUS TEST COAGULATION	Miscellaneous Test Coagulation	2
LABCHLAM	CHLAMYDIA TRACHOMATIS / PSITTACI CULTURE	Chlamydia Trachomatis/Psittaci Culture	46
LABCHMISC	MISCELLANEOUS CHEMISTRY		126
LABCHMISC	MISCELLANEOUS CHEMISTRY	Miscellaneous Chemistry	58
LABCHOHDL	CHOLESTEROL HDL / TOTAL	Cholesterol HDL/Total	114
LABCHOHDL	CHOLESTEROL HDL / TOTAL	Cholesterol, HDL/Tot	20
LABCHOHDL	CHOLESTEROL HDL / TOTAL		10
LABCHOL	CHOLESTEROL TOTAL, SERUM/PLASMA	Cholesterol Total, Serum/Plasma	431
LABCHOL	CHOLESTEROL TOTAL, SERUM/PLASMA		74
LABCHOL	CHOLESTEROL TOTAL, SERUM/PLASMA	Cholesterol, Total, Serum/Plasma	20
LABCHON	A/HYPOCHONDROPLASIA, SERUM	A/Hypochondroplasia, Peritoneal  Fluid	2
LABCHON	A/HYPOCHONDROPLASIA, SERUM	A/Hypochondroplasia, Pleural Fluid	2
LABCIGA	IGA, CSF	IgA, CSF	38
LABCIGA	IGA, CSF		8
LABCIGMT	IGM, CSF	IgM, CSF	44
LABCIGMT	IGM, CSF		10
LABCIMM	COCCI AB, ID, S	Coccidioides Immunodiffusion	60
LABCIMM	COCCI AB, ID, S		6
LABCIRCAI	CIRCUIT IONIZED CALCIUM	Circuit Ionized Calcium	4
LABCK	CREATINE KINASE, TOTAL	Creatine Kinase, Total	27765
LABCK	CREATINE KINASE, TOTAL	Creatin Kinase, Total	12706
LABCK	CREATINE KINASE, TOTAL	Creatin kinase, total	6046
LABCK	CREATINE KINASE, TOTAL		3408
LABCKITMU	DETECTION OF C-KIT MUTATIONS	Detection of C-KIT Mutations	380
LABCKITMU	DETECTION OF C-KIT MUTATIONS	Detection of C-KIT Mutations  (molecular diagnostic)	152
LABCKITMU	DETECTION OF C-KIT MUTATIONS		38
LABCL	CHLORIDE, SERUM/PLASMA		386
LABCL	CHLORIDE, SERUM/PLASMA	Chloride, Serum/Plasma	181
LABCLACT	LACTIC ACID, CSF	Lactic Acid, CSF	2412
LABCLACT	LACTIC ACID, CSF		672
LABCLAMP	CHLAMYDIA AB PANEL	CHLAMYDIA AB PANEL	2
LABCLCR2	CHLAMYDIA MOLECULAR DETECTION	Chlamydia Molecular Detection	84
LABCLCR2	CHLAMYDIA MOLECULAR DETECTION		4
LABCLGC2	CHLAMYDIA GC, MOLECULAR DETECTION	Chlamydia GC Molecular Detection	1169
LABCLGC2	CHLAMYDIA GC, MOLECULAR DETECTION		292
LABCLGC2	CHLAMYDIA GC, MOLECULAR DETECTION	CHLAMYDIA GC MOLECULAR DETECTION	177
LABCLGC2	CHLAMYDIA GC, MOLECULAR DETECTION	Chlamydia GC, Molecular Detection	14
LABCLGCT2	CHLAMYDIA GC, PAP FLUID	Chlamydia GC, Pap Fluid	8
LABCLGCT2	CHLAMYDIA GC, PAP FLUID		2
LABCLOMIP	CLOMIPRAMINE AND METABOLITE	Clomipramine And Metabolite	2
LABCLOMIP	CLOMIPRAMINE AND METABOLITE		2
LABCMV	CMV AB TOTAL	CMV Ab Total	557
LABCMV	CMV AB IGG	CMV AB IGG	453
LABCMV	CMV AB TOTAL	CMV Ab, Total	400
LABCMV	CMV AB IGG	CMV Ab, Total	343
LABCMV	CMV AB IGG		261
LABCMV	CMV AB TOTAL		128
LABCMV	CMV AB TOTAL	CMV Ab, total	58
LABCMV	CMV AB IGG	CMV Ab, total	43
LABCMV	CMV AB IGG	CMV Ab Total	2
LABCMV	CMV AB TOTAL	CMV AB Total	2
LABCMVAV	CMV IGG AVIDITY	CMV IgG Avidity	4
LABCMVG	CMV GENOTYPE	CMV Genotype	178
LABCMVG	CMV GENOTYPE		12
LABCMVIGG	CMV IGG	CMV IgG	1214
LABCMVIGG	CMV IGG	CMV Ab, Total	476
LABCMVIGG	CMV IGG		86
