Table,Code,Description,num_patient,Score
Diagnosis,FAC008,Encounter for screening mammogram for malignant neoplasm of breast,107343,55.64245027535656
Diagnosis,FAC008,Encounter for screening for malignant neoplasm of colon,103907,55.64245027535656
Diagnosis,FAC008,Encounter for screening for malignant neoplasm of cervix,78843,55.64245027535656
Diagnosis,FAC008,Screen for colon cancer,54135,55.64245027535656
Diagnosis,FAC008,Colon cancer screening,52102,55.64245027535656
Pocedure,482552,XR CHEST 2 VIEWS,160440,55.02106424231207
Lab result,MCV,MCV,975106,53.78208046018094
Lab result,MCV,MCV (MANUAL ENTRY) See EMR for details,6487,53.78208046018094
Lab result,AS,Antibody Screen,236027,53.75339693955407
Lab result,AS,Antibody Screen (Manual Entry) See EMR for details,4366,53.75339693955407
Lab result,AS,Antibody Screen Gel,3509,53.75339693955407
Lab result,AS,Ab Screen (Ind. Coombs),3475,53.75339693955407
Lab result,POCTSOURCE,Sample Type,51668,53.11909899137532
Lab result,GLOB,Globulin,749063,52.81269174629786
Lab result,GLOB,GAMMA GLOBULIN,5347,52.81269174629786
Lab result,GLOB,"Globulin, Total",125,52.81269174629786
Medication,C1H,MAGNESIUM SULFATE IV SCALE ,56765,52.66607858399225
Medication,C1H,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,30466,52.66607858399225
Medication,C1H,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,27374,52.66607858399225
Medication,C1H,MAGNESIUM PO,23947,52.66607858399225
Medication,C1H,MAGNESIUM SULFATE IN 0.9 %NACL 2 GRAM/50 ML IV PGBK,20058,52.66607858399225
Lab result,AST,"AST (SGOT), Ser/Plas",813935,51.173296162714806
Lab result,AST,AST (Manual Entry) See EMR for details,111398,51.173296162714806
Lab result,AST,AST,7194,51.173296162714806
Diagnosis,FAC010,Encounter for therapeutic drug level monitoring,22428,51.14478386789308
Diagnosis,FAC010,Medication monitoring encounter,22415,51.14478386789308
Diagnosis,FAC010,Encounter for other specified aftercare,21495,51.14478386789308
Diagnosis,FAC010,Encounter for palliative care,19165,51.14478386789308
Diagnosis,FAC010,Encounter for removal of sutures,11936,51.14478386789308
Medication,B62,IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,52936,47.633605268543285
Medication,B62,IPRATROPIUM-ALBUTEROL 18-103 MCG/ACTUATION INH AERO,5795,47.633605268543285
Medication,B62,IPRATROPIUM-ALBUTEROL 0.5-2.5 MG/3 ML INH NEBU,5352,47.633605268543285
Medication,B62,IPRATROPIUM-ALBUTEROL 20-100 MCG/ACTUATION INH MIST,4968,47.633605268543285
Medication,B62,IPRATROPIUM-ALBUTEROL 0.5MG-2.5MG BASE(3MG)/3ML INH NEB-PANEL USE ONLY,2064,47.633605268543285
Lab result,MCH,MCH,972430,46.027444217886135
Pocedure,147420,ECG PROCEDURE SCANNED REPORT,166301,45.836500862478346
Diagnosis,MUS038,Low back pain,82586,43.78143408154215
Diagnosis,MUS038,"Low back pain, unspecified back pain laterality, unspecified chronicity, with sciatica presence unspecified",6738,43.78143408154215
Diagnosis,MUS038,Muscle spasm of back,4029,43.78143408154215
Diagnosis,MUS038,"Low back pain without sciatica, unspecified back pain laterality",2296,43.78143408154215
Diagnosis,MUS038,"Low back pain, unspecified back pain laterality, with sciatica presence unspecified",1610,43.78143408154215
Pocedure,35073,DROPLET ISOLATION,53575,42.3521716057698
Diagnosis,MUS011,Cervicalgia,82048,40.80946865897897
Diagnosis,MUS011,Neck pain,37129,40.80946865897897
Diagnosis,MUS011,Lumbosacral spondylosis without myelopathy,25507,40.80946865897897
Diagnosis,MUS011,Degeneration of lumbar or lumbosacral intervertebral disc,19778,40.80946865897897
Diagnosis,MUS011,"Radiculopathy, lumbar region",19649,40.80946865897897
Pocedure,17678,FOLEY RETENTION CATHETER,107867,40.78000732057437
Pocedure,17678,"FOLEY, RETENTION CATHETER",17502,40.78000732057437
Diagnosis,END011,Dehydration,32749,40.68870743878677
Diagnosis,END011,Hypokalemia,28039,40.68870743878677
Diagnosis,END011,Hypo-osmolality and hyponatremia,23287,40.68870743878677
Diagnosis,END011,Acidosis,20466,40.68870743878677
Diagnosis,END011,Hyponatremia,15860,40.68870743878677
Pocedure,119055,AB SCREEN (ASI),149182,39.98758462593007
Lab result,LYMAB,"LYM, ABS",496919,39.74261713443685
Lab result,LYMAB,"Lymphocyte, Absolute",386943,39.74261713443685
Lab result,LYMAB,"Lymphocytes, ABS (man diff)",53200,39.74261713443685
Lab result,LYMAB,"Lym, ABS (man diff)",43787,39.74261713443685
Lab result,LYMAB,"Lymphocytes, Abs.",24480,39.74261713443685
Pocedure,25762,BLOOD CULTURE (2 AEROBIC BOTTLES),101072,38.33493239589684
Lab result,MCHC,MCHC,974473,37.9746996443706
Diagnosis,FAC014,Encounter for general adult medical examination without abnormal findings,278500,37.83607946733484
Diagnosis,FAC014,Routine general medical examination at a health care facility,184958,37.83607946733484
Diagnosis,FAC014,Encounter for other preprocedural examination,144380,37.83607946733484
Diagnosis,FAC014,Preventative health care,108293,37.83607946733484
Diagnosis,FAC014,Encounter for gynecological examination (general) (routine) without abnormal findings,100835,37.83607946733484
Medication,W2A,SULFAMETHOXAZOLE-TRIMETHOPRIM 800-160 MG PO TABS,57065,37.82910834015127
Medication,W2A,SULFAMETHOXAZOLE-TRIMETHOPRIM 400-80 MG PO TABS,12312,37.82910834015127
Medication,W2A,BACTRIM DS 800-160 MG PO TABS,7348,37.82910834015127
Medication,W2A,SULFAMETHOXAZOLE-TRIMETHOPRIM 200-40 MG/5 ML PO SUSP,4157,37.82910834015127
Medication,W2A,TRIMETHOPRIM-SULFAMETHOXAZOLE 160-800 MG PO TABS,3626,37.82910834015127
Lab result,ALT,"ALT (SGPT), Ser/Plas",815520,37.80229515399018
Lab result,ALT,ALT (Manual Entry) See EMR for details,112610,37.80229515399018
Lab result,ALT,ALT,8266,37.80229515399018
Pocedure,310,BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES),74559,37.5943169511685
Pocedure,310,BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLE),68870,37.5943169511685
Lab result,LYM,"LYM, %",512717,34.56528517200469
Lab result,LYM,Lymphocyte %,386962,34.56528517200469
Lab result,LYM,Lymphocytes,100957,34.56528517200469
Lab result,LYM,Lymphocytes %,24390,34.56528517200469
Lab result,IGABSWAM,"Imm. Granulocyte, Abs",225266,34.1949369211917
Pocedure,34544,OFFICE CONSLTJ 80 MIN,330608,33.80247948699804
Pocedure,34544,OFFICE CONSULTATION,728,33.80247948699804
Pocedure,34544,OP CONSULT/NEW OR EST PT/MOD/HIGH SEV/80 MIN,339,33.80247948699804
Pocedure,34544,EVAL/MGMT OF NEW PATIENT LEVEL 5,3,33.80247948699804
Pocedure,34544,REFERRAL TO GI ONCOLOGY,7,33.80247948699804
Medication,H7O,HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,22876,33.58672836764151
Medication,H7O,HALOPERIDOL 1 MG PO TABS,6100,33.58672836764151
Medication,H7O,HALOPERIDOL INTRAMUSCULAR INJECTION,4022,33.58672836764151
Medication,H7O,HALOPERIDOL 2 MG PO TABS,2630,33.58672836764151
Medication,H7O,HALOPERIDOL 0.5 MG PO TABS,2139,33.58672836764151
Lab result,NEUT,"NEUT, %",507163,33.56494157317013
Lab result,NEUT,Neutrophil %,384147,33.56494157317013
Lab result,NEUT,Neutrophils,75228,33.56494157317013
Lab result,NEUT,Segmented Neutrophils,53321,33.56494157317013
Lab result,NEUT,Seg neutrophils,50995,33.56494157317013
Diagnosis,MUS028,Osteopenia,25306,32.739599981856735
Diagnosis,MUS028,"Other specified disorders of bone density and structure, unspecified site",24536,32.739599981856735
Diagnosis,MUS028,"Osteopenia, unspecified location",15232,32.739599981856735
Diagnosis,MUS028,"Disorder of bone, unspecified",14122,32.739599981856735
Diagnosis,MUS028,"Other specified disorders of bone density and structure, other site",8258,32.739599981856735
Lab result,BASOAB,"BASOS, ABS",570478,32.27435557431515
Lab result,BASOAB,"Basophil, Absolute",386712,32.27435557431515
Lab result,BASOAB,"Basophils, ABS (man diff)",25934,32.27435557431515
Lab result,BASOAB,"Baso, ABS (man diff)",20844,32.27435557431515
Lab result,ALKP,"Alk P'TASE, Total, Ser/Plas",794773,31.96098841168085
Lab result,ALKP,"ALK P'TASE Total, Serum (Manual Entry) See EMR for details",75602,31.96098841168085
Lab result,ALKP,Alkaline Phosphatase,233,31.96098841168085
Lab result,ALKP,Total Alkaline Phosphatase,122,31.96098841168085
Medication,H2S,ESCITALOPRAM OXALATE 10 MG PO TABS,25867,31.800348482155563
Medication,H2S,SERTRALINE 50 MG PO TABS,25390,31.800348482155563
Medication,H2S,SERTRALINE 100 MG PO TABS,16025,31.800348482155563
Medication,H2S,CITALOPRAM 20 MG PO TABS,14520,31.800348482155563
Medication,H2S,FLUOXETINE 20 MG PO CAPS,14084,31.800348482155563
Diagnosis,GEN003,"Chronic kidney disease, unspecified",31611,31.645930633688245
Diagnosis,GEN003,"Chronic kidney disease, stage 3 (moderate)",23268,31.645930633688245
Diagnosis,GEN003,"Chronic kidney disease, stage 2 (mild)",13463,31.645930633688245
Diagnosis,GEN003,End stage renal disease (CMS-HCC),10264,31.645930633688245
Diagnosis,GEN003,End stage renal disease,9970,31.645930633688245
Lab result,EOS,"EOS, %",562503,30.87751302395001
Lab result,EOS,Eosinophil %,386735,30.87751302395001
Lab result,EOS,Eosinophils,73183,30.87751302395001
Lab result,BASO,"BASO, %",506797,30.796130621345075
Lab result,BASO,Basophil %,386735,30.796130621345075
Lab result,BASO,"BASOS, %",74681,30.796130621345075
Lab result,BASO,Basophils,49852,30.796130621345075
Lab result,MONO,"MONO, %",516214,30.211707939273044
Lab result,MONO,Monocyte %,386739,30.211707939273044
Lab result,MONO,Monocytes,170474,30.211707939273044
Lab result,MONO,Mono Titer,30,30.211707939273044
Lab result,MONO,Mono Antibody Titer,1,30.211707939273044
Pocedure,1001,GLUCOSE BY METER,223927,29.517822301549643
Pocedure,119815,POC GLUCOSE BY METER,187765,29.42063099984112
Medication,J2A,ATROPINE 0.1 MG/ML INJ SYRG,24962,28.727763197568017
Medication,J2A,ATROPINE 0.4 MG/ML INJ SOLN,4501,28.727763197568017
Medication,J2A,HYOSCYAMINE SULFATE 0.125 MG SL SUBL,3100,28.727763197568017
Medication,J2A,HYOSCYAMINE SULFATE 0.125 MG PO TABS,3020,28.727763197568017
Medication,J2A,ATROPINE 1 MG/ML INJ SOLN,2645,28.727763197568017
Medication,H3U,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,185292,28.705894143399583
Medication,H3U,HYDROCODONE-ACETAMINOPHEN 5-500 MG PO TABS,107101,28.705894143399583
Medication,H3U,OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,92328,28.705894143399583
Medication,H3U,HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,71846,28.705894143399583
Medication,H3U,ACETAMINOPHEN-CODEINE 300-30 MG PO TABS,28896,28.705894143399583
Medication,H3T,NALOXONE 0.4 MG/ML INJ SOLN,292371,28.653095236693837
Medication,H3T,NARCAN 4 MG/ACTUATION NASAL SPRY,14819,28.653095236693837
Medication,H3T,NALTREXONE 50 MG PO TABS,3655,28.653095236693837
Medication,H3T,NALOXONE 4 MG/ACTUATION NASAL SPRY,2008,28.653095236693837
Medication,H3T,NALOXONE 1 MG/ML INJ SYRG,1452,28.653095236693837
Pocedure,88985,DIET NPO AFTER MIDNIGHT,58813,27.99234110055478
Lab result,IGWAM,"Imm. Granulocyte, %",225268,27.938194760012664
Medication,H1U,GADOBENATE DIMEGLUMINE 529 MG/ML (0.1MMOL/0.2ML) IV SOLN,42702,27.92674930717823
Medication,H1U,GADOPENTETATE DIMEGLUMINE 2.5 MMOL/5 ML (469.01 MG/ML) IV SOLN,726,27.92674930717823
Medication,H1U,GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN 10 ML,294,27.92674930717823
Medication,H1U,GADOTERATE MEGLUMINE 0.5 MMOL/ML (376.9 MG/ML) IV SOLN,158,27.92674930717823
Medication,H1U,GADOTERATE MEGLUMINE 0.5 MMOL/ML (376.9 MG/ML) IV SOLN 15 ML,96,27.92674930717823
Medication,M9F,ALTEPLASE 2 MG INTRA-CATHET SOLR,34422,27.33683621191037
Medication,M9F,ALTEPLASE 2 MG INJ SOLR,11557,27.33683621191037
Medication,M9F,ALTEPLASE 100 MG IV SOLR,599,27.33683621191037
Medication,M9F,ALTEPLASE IV BOLUS FOR STROKE,446,27.33683621191037
Medication,M9F,ALTEPLASE IV INFUSION FOR STROKE,446,27.33683621191037
Pocedure,17918,PERIPHERAL IV INSERTION CARE,365683,27.27610082652597
Pocedure,17918,PERIPHERAL IV INSERTION/CARE,39224,27.27610082652597
Pocedure,2291,CARDIAC MONITOR,158041,26.64184687402991
Medication,W8F,SODIUM CHLORIDE 0.9 % IRRIG SOLN,70154,26.533688240724505
Medication,W8F,"WATER FOR IRRIGATION, STERILE IRRIG SOLN",25367,26.533688240724505
Medication,W8F,LACTATED RINGERS IRRIG SOLN,12644,26.533688240724505
Medication,W8F,PHYSIO. IRRIGATION COMB. NO.1 140-5-3-98 MEQ/L IRRIG SOLN,848,26.533688240724505
Medication,W8F,"NEOMYCIN-POLYMYXIN B GU 40 MG-200,000 UNIT/ML IRRIG SOLN",797,26.533688240724505
Lab result,MONOAB,"MONO, ABS",515767,26.50037732411664
Lab result,MONOAB,"Monocyte, Absolute",386715,26.50037732411664
Lab result,MONOAB,"Monocytes, ABS (man diff)",52778,26.50037732411664
Lab result,MONOAB,"Mono, ABS (man diff)",41047,26.50037732411664
Lab result,MONOAB,"MONOS, ABS",237,26.50037732411664
Medication,C5K,D5 %-0.45 % SODIUM CHLORIDE IV SOLP,30947,26.182577213851957
Medication,C5K,D5 % AND 0.9 % SODIUM CHLORIDE IV SOLP,19253,26.182577213851957
Medication,C5K,DEXTROSE 5%-1/2 NORMAL SALINE IV SOLP,5457,26.182577213851957
Medication,C5K,D5 %-0.9 % SODIUM CHLORIDE IV SOLP,2633,26.182577213851957
Medication,C5K,DEXTROSE 5% IN NORMAL SALINE IV SOLP,2076,26.182577213851957
Medication,D4J,PANTOPRAZOLE 40 MG PO TBEC,132876,26.131840734645504
Medication,D4J,OMEPRAZOLE 20 MG PO CPDR,84307,26.131840734645504
Medication,D4J,PANTOPRAZOLE 40 MG IV SOLR,65694,26.131840734645504
Medication,D4J,OMEPRAZOLE 40 MG PO CPDR,32383,26.131840734645504
Medication,D4J,PANTOPRAZOLE 20 MG PO TBEC,19654,26.131840734645504
Diagnosis,INJ031,"Dermatitis, unspecified",48986,25.433771951423523
Diagnosis,INJ031,Allergic rhinitis,48771,25.433771951423523
Diagnosis,INJ031,Dermatitis,42692,25.433771951423523
Diagnosis,INJ031,"Allergic rhinitis, cause unspecified",35002,25.433771951423523
Diagnosis,INJ031,"Allergic rhinitis, unspecified",33707,25.433771951423523
Lab result,PHOS,"Phosphorus, Ser/Plas",178767,24.66447184634755
Lab result,PHOS,PHOSPHORUS BLD (MANUAL ENTRY) See EMR for details,5734,24.66447184634755
Lab result,PHOS,Phosphorus,95,24.66447184634755
Lab result,PHOS,"Phosphorus, Serum",53,24.66447184634755
Diagnosis,INF002,"Sepsis, unspecified organism",17001,24.29250373829245
Diagnosis,INF002,Unspecified septicemia(038.9) (CMS-HCC),9289,24.29250373829245
Diagnosis,INF002,Sepsis (CMS-HCC),5718,24.29250373829245
Diagnosis,INF002,Severe sepsis with septic shock,5704,24.29250373829245
Diagnosis,INF002,Severe sepsis without septic shock,5151,24.29250373829245
Pocedure,1435,VITAL SIGNS,366348,24.19834171386336
Pocedure,1721,PTT PARTIAL THROMBOPLASTIN TIME,291092,23.41966204323209
Medication,D4D,PROBIOTIC PO,12621,23.39757598313153
Medication,D4D,LACTOBACILLUS RHAMNOSUS GG 15 BILLION CELL PO CPSP,9483,23.39757598313153
Medication,D4D,ACIDOPHILUS-L.B-BB-S.THERMOPHL 1 BILLION-250 CELL-MG PO TABS,7109,23.39757598313153
Medication,D4D,LACTOBACILLUS COMB NO.10 20 BILLION CELL PO CAPS,4763,23.39757598313153
Medication,D4D,PROBIOTIC COMPLEX PO,4420,23.39757598313153
Diagnosis,FAC022,Acquired absence of other specified parts of digestive tract,21778,23.17774765983491
Diagnosis,FAC022,Acquired absence of both cervix and uterus,18999,23.17774765983491
Diagnosis,FAC022,Other acquired absence of organ,7542,23.17774765983491
Diagnosis,FAC022,Acquired absence of other genital organ(s),5279,23.17774765983491
Diagnosis,FAC022,Acquired absence of breast and nipple,5224,23.17774765983491
Lab result,BE,"Base Excess, ISTAT",100791,22.668232050329557
Lab result,BE,Base Excess (vt),82068,22.668232050329557
Lab result,BE,Base Excess Arterial for POC,239,22.668232050329557
Lab result,BE,Base Excess,7,22.668232050329557
Pocedure,481797,"STAT 2019 CORONAVIRUS SARS-COV-2, RT-PCR",47517,22.21252619752716
Pocedure,37225,PT ONGOING TREATMENT,105077,22.032871332176985
Pocedure,1590,AMBULATE WITH ASSISTANCE,115301,21.928179964233323
Pocedure,474,CBC W/O DIFF,324995,21.89893649993972
Pocedure,474,CBC,262301,21.89893649993972
Pocedure,474,"CBC (H/H, RBC, INDICES, WBC, PLT)",36,21.89893649993972
Pocedure,703,DIET NPO,186079,20.904192522717643
Diagnosis,GEN004,"Urinary tract infection, site not specified",77256,20.86031946191417
Diagnosis,GEN004,Acute cystitis without hematuria,24015,20.86031946191417
Diagnosis,GEN004,UTI (lower urinary tract infection),17607,20.86031946191417
Diagnosis,GEN004,"Urinary tract infection without hematuria, site unspecified",17432,20.86031946191417
Diagnosis,GEN004,UTI (urinary tract infection),13012,20.86031946191417
Diagnosis,BLD007,"Elevated white blood cell count, unspecified",19019,20.72147841983473
Diagnosis,BLD007,"Leukocytosis, unspecified",10995,20.72147841983473
Diagnosis,BLD007,"Decreased white blood cell count, unspecified",7004,20.72147841983473
Diagnosis,BLD007,"Neutropenia, unspecified",6985,20.72147841983473
Diagnosis,BLD007,"Leukocytosis, unspecified type",6580,20.72147841983473
Pocedure,1368,"METABOLIC PANEL, BASIC",506927,20.41742023190381
Lab result,EOSAB,"EOS, ABS",570480,20.15848468014693
Lab result,EOSAB,"Eosinophil, Absolute",386713,20.15848468014693
Lab result,EOSAB,"Eosinophils, ABS (man diff)",39330,20.15848468014693
Lab result,EOSAB,"Eos, ABS (man diff)",29133,20.15848468014693
Medication,W1Y,CEFTRIAXONE 1 GRAM INJ SOLR,14140,19.64529149634527
Medication,W1Y,CEFTRIAXONE 1 GRAM/10 ML IV PUSH (VIAL ONLY),11238,19.64529149634527
Medication,W1Y,CEFDINIR 300 MG PO CAPS,6300,19.64529149634527
Medication,W1Y,CEFTRIAXONE 1 GRAM IV SOLR,6118,19.64529149634527
Medication,W1Y,CEFTRIAXONE 2 GRAM/20 ML IV PUSH (VIAL ONLY),5851,19.64529149634527
Pocedure,100966,SURGICAL PREPARATION,109675,19.607115480882022
Diagnosis,FAC006,Encounter for antineoplastic chemotherapy,16361,19.60121912238451
Diagnosis,FAC006,Encounter for antineoplastic immunotherapy,3547,19.60121912238451
Diagnosis,FAC006,Encounter for antineoplastic radiation therapy,2506,19.60121912238451
Diagnosis,FAC006,Radiotherapy,2412,19.60121912238451
Diagnosis,FAC006,Admission for antineoplastic chemotherapy,401,19.60121912238451
Pocedure,35000004791,TRANSFER PATIENT,55137,19.557681196220276
Pocedure,35000004791,CHANGE LEVEL OF CARE/TRANSFER PATIENT,31374,19.557681196220276
Pocedure,35000004791,TRANSFER PATIENT/CHANGE LEVEL OF CARE,12068,19.557681196220276
Pocedure,35000004791,CHANGE LEVEL OF CARE/TRANSFER INPATIENT,248,19.557681196220276
Lab result,K,"Potassium, Ser/Plas",918122,19.40187934632506
Lab result,K,"Potassium, Whole Bld",117286,19.40187934632506
Lab result,K,Potassium (Manual Entry) See EMR for details,113142,19.40187934632506
Lab result,K,"Potassium, ISTAT",71483,19.40187934632506
Lab result,K,"Potassium, serum/plasma",2284,19.40187934632506
Medication,H22,MIDAZOLAM 1 MG/ML INJ SOLN,245919,18.61280079900605
Medication,H22,MIDAZOLAM (PF) 1 MG/ML INJ SOLN,20604,18.61280079900605
Medication,H22,MIDAZOLAM 5 MG/ML INJ SOLN,4813,18.61280079900605
Medication,H22,MIDAZOLAM (PF) 2 MG/2 ML (1 MG/ML) INJ SYRG,1999,18.61280079900605
Medication,H22,MIDAZOLAM IN 0.9 % SOD CHLORID 1 MG/ML IV SOLN,402,18.61280079900605
Diagnosis,NVS010,Migraine,17781,18.306746839907152
Diagnosis,NVS010,"Migraine, unspecified, not intractable, without status migrainosus",15959,18.306746839907152
Diagnosis,NVS010,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",14995,18.306746839907152
Diagnosis,NVS010,"Migraine without aura, not intractable, without status migrainosus",9723,18.306746839907152
Diagnosis,NVS010,"Migraine with aura, not intractable, without status migrainosus",9449,18.306746839907152
Lab result,XUBLOOD,"Blood, urine",220887,18.27379715419509
Diagnosis,MUS025,Other specified soft tissue disorders,37468,18.03460615664851
Diagnosis,MUS025,Swelling of limb,20610,18.03460615664851
Diagnosis,MUS025,Plantar fascial fibromatosis,14518,18.03460615664851
Diagnosis,MUS025,Fibromyalgia,9533,18.03460615664851
Diagnosis,MUS025,"Neuralgia and neuritis, unspecified",8392,18.03460615664851
Medication,H6J,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,437292,17.45687205891732
Medication,H6J,ONDANSETRON 4 MG PO TBDL,197517,17.45687205891732
Medication,H6J,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,87264,17.45687205891732
Medication,H6J,ONDANSETRON HCL 4 MG PO TABS,51282,17.45687205891732
Medication,H6J,ONDANSETRON HCL 8 MG PO TABS,45132,17.45687205891732
Pocedure,1709,PROTHROMBIN TIME,354466,17.30970660319963
Diagnosis,MBD002,"Major depressive disorder, single episode, unspecified",76391,17.28009450353597
Diagnosis,MBD002,"Depressive disorder, not elsewhere classified",43564,17.28009450353597
Diagnosis,MBD002,Depressive disorder,12378,17.28009450353597
Diagnosis,MBD002,Dysthymic disorder,10713,17.28009450353597
Diagnosis,MBD002,"Major depressive disorder, recurrent, moderate",8078,17.28009450353597
Medication,W1D,AZITHROMYCIN 250 MG PO TABS,65492,17.067299793999016
Medication,W1D,ZITHROMAX Z-PAK 250 MG PO TABS,36463,17.067299793999016
Medication,W1D,AZITHROMYCIN 500 MG PO TABS,22118,17.067299793999016
Medication,W1D,CLARITHROMYCIN 500 MG PO TABS,12221,17.067299793999016
Medication,W1D,AZITHROMYCIN 200 MG/5 ML PO SUSR,7554,17.067299793999016
Diagnosis,SYM007,Other fatigue,91834,16.99429180787775
Diagnosis,SYM007,Other malaise,48115,16.99429180787775
Diagnosis,SYM007,"Fatigue, unspecified type",40799,16.99429180787775
Diagnosis,SYM007,Weakness,38481,16.99429180787775
Diagnosis,SYM007,Fatigue,25530,16.99429180787775
Diagnosis,SYM005,"Dysphagia, unspecified",30484,16.965234582534283
Diagnosis,SYM005,"Dysphagia, unspecified type",16426,16.965234582534283
Diagnosis,SYM005,"Dysphagia, unspecified(787.20)",14381,16.965234582534283
Diagnosis,SYM005,Dysphagia,13569,16.965234582534283
Diagnosis,SYM005,"Dysphagia, oropharyngeal phase",5457,16.965234582534283
Diagnosis,SYM017,Abnormal electrocardiogram (ECG) (EKG),159423,16.58482645161462
Diagnosis,SYM017,Other nonspecific abnormal finding of lung field,105956,16.58482645161462
Diagnosis,SYM017,Nonspecific abnormal electrocardiogram (ECG) (EKG),70046,16.58482645161462
Diagnosis,SYM017,Other specified abnormal findings of blood chemistry,45479,16.58482645161462
Diagnosis,SYM017,Prediabetes,43554,16.58482645161462
Medication,H3E,ACETAMINOPHEN 325 MG PO TABS,294951,16.469858341888493
Medication,H3E,ACETAMINOPHEN 500 MG PO TABS,186394,16.469858341888493
Medication,H3E,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",121238,16.469858341888493
Medication,H3E,TYLENOL PO,31882,16.469858341888493
Medication,H3E,ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,31618,16.469858341888493
Diagnosis,END007,Vitamin D deficiency,83075,15.953552306341416
Diagnosis,END007,"Vitamin D deficiency, unspecified",71879,15.953552306341416
Diagnosis,END007,Unspecified vitamin D deficiency,25190,15.953552306341416
Diagnosis,END007,Deficiency of other specified B group vitamins,11168,15.953552306341416
Diagnosis,END007,Vitamin D insufficiency,7044,15.953552306341416
Medication,W7C,FLU VAC QS 2014-15(36MOS+)(PF) 60 MCG (15 MCG X 4)/0.5 ML IM SYRG,9767,15.580612621292982
Medication,W7C,INFLUENZA 2009-10 VAC (PF) (FLUZONE) SYRG (FOR AGE > 36 MO),9077,15.580612621292982
Medication,W7C,FLU VAC TS 2013-14(36MOS+)(PF) 45 MCG (15 MCG X 3)/0.5 ML IM SYRG,8921,15.580612621292982
Medication,W7C,FLU VACC QS2019-20 6MOS UP(PF) 60 MCG (15 MCG X 4)/0.5 ML IM SYRG,4956,15.580612621292982
Medication,W7C,FLU VACC TS2019-20(65YR UP)PF 180 MCG/0.5 ML IM SYRG,3817,15.580612621292982
Diagnosis,FAC001,Encounter for other administrative examinations,98274,15.319539891029574
Diagnosis,FAC001,"Encounter for administrative examinations, unspecified",44697,15.319539891029574
Diagnosis,FAC001,Encounters for other specified administrative purpose(V68.89),33024,15.319539891029574
Diagnosis,FAC001,Encounters for administrative purposes,31929,15.319539891029574
Diagnosis,FAC001,Encounters for unspecified administrative purpose,28199,15.319539891029574
Diagnosis,BLD001,"Iron deficiency anemia, unspecified",36070,15.055627848226871
Diagnosis,BLD001,Iron deficiency anemia,17354,15.055627848226871
Diagnosis,BLD001,"Iron deficiency anemia, unspecified iron deficiency anemia type",15662,15.055627848226871
Diagnosis,BLD001,Iron deficiency anemia secondary to blood loss (chronic),15105,15.055627848226871
Diagnosis,BLD001,Other iron deficiency anemias,9978,15.055627848226871
Medication,H6H,CYCLOBENZAPRINE 10 MG PO TABS,43656,14.645221471347472
Medication,H6H,CYCLOBENZAPRINE 5 MG PO TABS,29974,14.645221471347472
Medication,H6H,BACLOFEN 10 MG PO TABS,23872,14.645221471347472
Medication,H6H,CARISOPRODOL 350 MG PO TABS,6413,14.645221471347472
Medication,H6H,TIZANIDINE 4 MG PO TABS,4210,14.645221471347472
Medication,C4L,METFORMIN 500 MG PO TABS,54818,14.264223343410864
Medication,C4L,"METFORMIN 1,000 MG PO TABS",29469,14.264223343410864
Medication,C4L,METFORMIN 500 MG PO TB24,17322,14.264223343410864
Medication,C4L,METFORMIN PO,9733,14.264223343410864
Medication,C4L,METFORMIN 850 MG PO TABS,6989,14.264223343410864
Lab result,XURBC,"RBC, urine",218650,14.207301482995856
Medication,S7D,SUGAMMADEX 100 MG/ML IV SOLN,57192,14.059206945269024
Medication,H7T,QUETIAPINE 25 MG PO TABS,16767,13.787065136406977
Medication,H7T,OLANZAPINE 5 MG PO TBDL,6787,13.787065136406977
Medication,H7T,OLANZAPINE 5 MG PO TABS,5156,13.787065136406977
Medication,H7T,QUETIAPINE 100 MG PO TABS,4378,13.787065136406977
Medication,H7T,QUETIAPINE 50 MG PO TABS,4372,13.787065136406977
Medication,C1D,POTASSIUM CHLORIDE 20 MEQ PO TBTQ,70016,13.769290144452013
Medication,C1D,POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,50889,13.769290144452013
Medication,C1D,POTASSIUM CHLORIDE 10 MEQ PO TBTQ,46113,13.769290144452013
