Type	Section	Name	Value	Name	Description	Comment
Recommendation	ChestPain	NICE-ChestPain	2	RXCUI4917	Nitroglycerin (Topical)	
Recommendation	ChestPain	NICE-ChestPain	2	RXCUI7052	Morphine (Intravenous)	
Recommendation	ChestPain	NICE-ChestPain	2	RXCUI3423	Hydromorphone (Intravenous)	
Recommendation	ChestPain	NICE-ChestPain	2	RXCUI1191	Aspirin (Oral)	
Recommendation	ChestPain	NICE-ChestPain	2	RXCUI1191	Aspirin (Rectal)	
Recommendation	ChestPain	NICE-ChestPain	3	LABNTBNP	NT - PROBNP	Not for ACS diagnosis
Recommendation	ChestPain	NICE-ChestPain	2	IMGDXCH1P	XR CHEST 1V PORTABLE	Exclude other diagnoses
Recommendation	ChestPain	NICE-ChestPain	2	IMGDXCH1	XR CHEST 1V	Exclude other diagnoses
Recommendation	ChestPain	NICE-ChestPain	2	IMGDXCH2	XR CHEST 2V	Exclude other diagnoses
Recommendation	ChestPain	NICE-ChestPain	2	IMGCTPEP	CT PULMONARY EMBOLISM & LOWER EXTREMITY	Exclude other diagnoses
Recommendation	ChestPain	NICE-ChestPain	2	IMGCTPE	CT PULMONARY EMBOLISM CHEST ONLY	Exclude other diagnoses
Recommendation	ChestPain	NICE-ChestPain	2	IMGCT3T	CT ANGIO CHEST	Exclude other diagnoses
Recommendation	ChestPain	NICE-ChestPain	2	LABPCCR	ISTAT CREATININE	Pre-req to CT Angio
Recommendation	ChestPain	NICE-ChestPain	2	POC17	POC ISTAT CREATININE	Pre-req to CT Angio
Recommendation	ChestPain	NICE-ChestPain	2	LABCBCO	CBC	Assess for exacerbating anemia
Recommendation	ChestPain	NICE-ChestPain	2	LABCBCD	CBC WITH DIFF	
Recommendation	ChestPain	NICE-ChestPain	2	LABHCTX	HEMATOCRIT	
Reference	ChestPain	NICE-ChestPain	1	EKG5	ECG 12-LEAD	
Reference	ChestPain	NICE-ChestPain	1	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	
Reference	ChestPain	NICE-ChestPain	1	NUR1043	NURSING PULSE OXIMETRY	
Reference	ChestPain	NICE-ChestPain	1	RT84	RESP - OXYGEN ADMINISTRATION	If low O2 sat Not routine
Reference	ChestPain	NICE-ChestPain	1	NUR4067	OXYGEN ADMINISTRATION	If low O2 sat Not routine
Reference	ChestPain	NICE-ChestPain	1	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	If low O2 sat Not routine
Reference	ChestPain	NICE-ChestPain	1	IMG11CCP	CAR CATH CORS POSSIBLE	High-risk patients
Reference	ChestPain	NICE-ChestPain	1	ECH29	ECHO - DOBUTAMINE STRESS ECHO	Intermediate Risk
Reference	ChestPain	NICE-ChestPain	1	IMGCTT	CT THORAX	Low risk CT calcium scoring specifically, may not be offered here
Reference	ChestPain	NICE-ChestPain	1	LABTNI	TROPONIN I	
Reference	ChestPain	NICE-ChestPain	1	POC24	POC ISTAT TROPONIN I	
Reference	ChestPain	NICE-ChestPain	1	LABPCTNI	ISTAT TROPONIN I	
Reference	ChestPain	NICE-ChestPain	1	RXCUI4917	Nitroglycerin (Sublingual)	Suspected ACS Beware sildenafil, vardenafil, tadalafil
Reference	ChestPain	NICE-ChestPain	1	RXCUI4917	Nitroglycerin (Topical)	
Reference	ChestPain	NICE-ChestPain	1	RXCUI7052	Morphine (Intravenous)	
Reference	ChestPain	NICE-ChestPain	1	RXCUI3423	Hydromorphone (Intravenous)	
Reference	ChestPain	NICE-ChestPain	1	RXCUI1191	Aspirin (Oral)	
Reference	ChestPain	NICE-ChestPain	1	RXCUI1191	Aspirin (Rectal)	
Reference	ChestPain	NICE-ChestPain	3	LABNTBNP	NT - PROBNP	Not for ACS diagnosis
Reference	ChestPain	NICE-ChestPain	1	IMGDXCH1P	XR CHEST 1V PORTABLE	Exclude other diagnoses
Reference	ChestPain	NICE-ChestPain	1	IMGDXCH1	XR CHEST 1V	Exclude other diagnoses
Reference	ChestPain	NICE-ChestPain	1	IMGDXCH2	XR CHEST 2V	Exclude other diagnoses
Reference	ChestPain	NICE-ChestPain	1	IMGCTPEP	CT PULMONARY EMBOLISM & LOWER EXTREMITY	Exclude other diagnoses
Reference	ChestPain	NICE-ChestPain	1	IMGCTPE	CT PULMONARY EMBOLISM CHEST ONLY	Exclude other diagnoses
Reference	ChestPain	NICE-ChestPain	1	IMGCT3T	CT ANGIO CHEST	Exclude other diagnoses
Reference	ChestPain	NICE-ChestPain	2	LABPCCR	ISTAT CREATININE	Pre-req to CT Angio
Reference	ChestPain	NICE-ChestPain	2	POC17	POC ISTAT CREATININE	Pre-req to CT Angio
Reference	ChestPain	NICE-ChestPain	2	LABCBCO	CBC	Assess for exacerbating anemia
Reference	ChestPain	NICE-ChestPain	2	LABCBCD	CBC WITH DIFF	
Reference	ChestPain	NICE-ChestPain	2	LABHCTX	HEMATOCRIT	
Reference	ChestPain	ICSI-ChestPainACS	1	EKG5	ECG 12-LEAD	
Reference	ChestPain	ICSI-ChestPainACS	2	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	
Reference	ChestPain	ICSI-ChestPainACS	2	NUR1043	NURSING PULSE OXIMETRY	
Reference	ChestPain	ICSI-ChestPainACS	1	RT84	RESP - OXYGEN ADMINISTRATION	Not routine
Reference	ChestPain	ICSI-ChestPainACS	1	NUR4067	OXYGEN ADMINISTRATION	Not routine
Reference	ChestPain	ICSI-ChestPainACS	1	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	Not routine
Reference	ChestPain	ICSI-ChestPainACS	1	IMG11CCP	CAR CATH CORS POSSIBLE	
Reference	ChestPain	ICSI-ChestPainACS	2	ECH29	ECHO - DOBUTAMINE STRESS ECHO	
Reference	ChestPain	ICSI-ChestPainACS	1	IMGCTT	CT THORAX	CT calcium scoring specifically, may not be offered here
Reference	ChestPain	ICSI-ChestPainACS	1	LABTNI	TROPONIN I	
Reference	ChestPain	ICSI-ChestPainACS	1	POC24	POC ISTAT TROPONIN I	
Reference	ChestPain	ICSI-ChestPainACS	1	LABPCTNI	ISTAT TROPONIN I	
Reference	ChestPain	ICSI-ChestPainACS	1	RXCUI4917	Nitroglycerin (Sublingual)	Beware sildenafil, vardenafil, tadalafil
Reference	ChestPain	ICSI-ChestPainACS	1	RXCUI4917	Nitroglycerin (Topical)	
Reference	ChestPain	ICSI-ChestPainACS	1	RXCUI4917	Nitroglycerin (Intravenous)	
Reference	ChestPain	ICSI-ChestPainACS	1	RXCUI7052	Morphine (Intravenous)	
Reference	ChestPain	ICSI-ChestPainACS	2	RXCUI3423	Hydromorphone (Intravenous)	
Reference	ChestPain	ICSI-ChestPainACS	1	RXCUI1191	Aspirin (Oral)	
Reference	ChestPain	ICSI-ChestPainACS	1	RXCUI1191	Aspirin (Rectal)	
Reference	ChestPain	ICSI-ChestPainACS	1	LABNTBNP	NT - PROBNP	Not for ACS diagnosis
Reference	ChestPain	ICSI-ChestPainACS	1	IMGDXCH1P	XR CHEST 1V PORTABLE	
Reference	ChestPain	ICSI-ChestPainACS	1	IMGDXCH1	XR CHEST 1V	
Reference	ChestPain	ICSI-ChestPainACS	1	IMGDXCH2	XR CHEST 2V	
Reference	ChestPain	ICSI-ChestPainACS	1	IMGCTPEP	CT PULMONARY EMBOLISM & LOWER EXTREMITY	
Reference	ChestPain	ICSI-ChestPainACS	1	IMGCTPE	CT PULMONARY EMBOLISM CHEST ONLY	
Reference	ChestPain	ICSI-ChestPainACS	1	IMGCT3T	CT ANGIO CHEST	
Reference	ChestPain	ICSI-ChestPainACS	2	LABPCCR	ISTAT CREATININE	
Reference	ChestPain	ICSI-ChestPainACS	2	POC17	POC ISTAT CREATININE	
Reference	ChestPain	ICSI-ChestPainACS	1	NUR1231	CARDIAC MONITOR	
Reference	ChestPain	ICSI-ChestPainACS	3	LABMB	CK, MB (MASS)	
Reference	ChestPain	ICSI-ChestPainACS	1	CON303	CONSULT TO CARDIOLOGY	
Reference	ChestPain	ICSI-ChestPainACS	1	ECH16	ECHO - TRANSESOPHAGEAL ECHO	Aortic imaging
Reference	ChestPain	ICSI-ChestPainACS	1	ECH15	ECHO - TRANSTHORACIC ECHO +DOPPLER	Pericarditis imaging
Reference	ChestPain	ICSI-ChestPainACS	2	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	Alternative diagnosis, PE workup
Reference	ChestPain	ICSI-ChestPainACS	1	LABABG	BLOOD GASES, ARTERIAL	Alternative diagnosis, PE workup
Reference	ChestPain	ICSI-ChestPainACS	2	POC22	POC ISTAT, ARTERIAL BLOOD GASES (G3+)	Alternative diagnosis, PE workup
Recommendation	ChestPain	ICSI-ChestPainACS	2	EKG5	ECG 12-LEAD	
Recommendation	ChestPain	ICSI-ChestPainACS	2	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	NUR1043	NURSING PULSE OXIMETRY	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RT84	RESP - OXYGEN ADMINISTRATION	Not routine
Recommendation	ChestPain	ICSI-ChestPainACS	2	NUR4067	OXYGEN ADMINISTRATION	Not routine
Recommendation	ChestPain	ICSI-ChestPainACS	2	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	Not routine
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMG11CCP	CAR CATH CORS POSSIBLE	
Recommendation	ChestPain	ICSI-ChestPainACS	2	ECH29	ECHO - DOBUTAMINE STRESS ECHO	
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGCTT	CT THORAX	CT calcium scoring specifically, may not be offered here
Recommendation	ChestPain	ICSI-ChestPainACS	2	LABTNI	TROPONIN I	
Recommendation	ChestPain	ICSI-ChestPainACS	2	POC24	POC ISTAT TROPONIN I	
Recommendation	ChestPain	ICSI-ChestPainACS	2	LABPCTNI	ISTAT TROPONIN I	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI4917	Nitroglycerin (Sublingual)	Beware sildenafil, vardenafil, tadalafil
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI4917	Nitroglycerin (Topical)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI4917	Nitroglycerin (Intravenous)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI7052	Morphine (Intravenous)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI3423	Hydromorphone (Intravenous)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI1191	Aspirin (Oral)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	RXCUI1191	Aspirin (Rectal)	
Recommendation	ChestPain	ICSI-ChestPainACS	2.5	LABNTBNP	NT - PROBNP	Not for ACS diagnosis
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGDXCH1P	XR CHEST 1V PORTABLE	
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGDXCH1	XR CHEST 1V	
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGDXCH2	XR CHEST 2V	
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGCTPEP	CT PULMONARY EMBOLISM & LOWER EXTREMITY	
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGCTPE	CT PULMONARY EMBOLISM CHEST ONLY	
Recommendation	ChestPain	ICSI-ChestPainACS	2	IMGCT3T	CT ANGIO CHEST	
Recommendation	ChestPain	ICSI-ChestPainACS	2	LABPCCR	ISTAT CREATININE	
Recommendation	ChestPain	ICSI-ChestPainACS	2	POC17	POC ISTAT CREATININE	
Recommendation	ChestPain	ICSI-ChestPainACS		LABCBCO	CBC	Assess for exacerbating anemia
Recommendation	ChestPain	ICSI-ChestPainACS		LABCBCD	CBC WITH DIFF	
Recommendation	ChestPain	ICSI-ChestPainACS		LABHCTX	HEMATOCRIT	
Recommendation	ChestPain	ICSI-ChestPainACS	2	NUR1231	CARDIAC MONITOR	
Recommendation	ChestPain	ICSI-ChestPainACS	3	LABMB	CK, MB (MASS)	
Recommendation	ChestPain	ICSI-ChestPainACS	2	CON303	CONSULT TO CARDIOLOGY	
Recommendation	ChestPain	ICSI-ChestPainACS	2	ECH16	ECHO - TRANSESOPHAGEAL ECHO	Aortic imaging
Recommendation	ChestPain	ICSI-ChestPainACS	2	ECH15	ECHO - TRANSTHORACIC ECHO +DOPPLER	Pericarditis imaging
Recommendation	ChestPain	ICSI-ChestPainACS	2	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	Alternative diagnosis, PE workup
Recommendation	ChestPain	ICSI-ChestPainACS	2	LABABG	BLOOD GASES, ARTERIAL	Alternative diagnosis, PE workup
Recommendation	ChestPain	ICSI-ChestPainACS	2	POC22	POC ISTAT, ARTERIAL BLOOD GASES (G3+)	Alternative diagnosis, PE workup
Reference	Pneumonia	IDSA-Pneumonia	1	LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Diagnostic tests may not help that much routinely, but may still help individual cases and offer epidemiologic information
Reference	Pneumonia	IDSA-Pneumonia	1	LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	
Reference	Pneumonia	IDSA-Pneumonia	2	RT76	RESP - SPUTUM INDUCTION	
Reference	Pneumonia	IDSA-Pneumonia	1	LABRESP	RESPIRATORY CULTURE	
Reference	Pneumonia	IDSA-Pneumonia	1	LABLEGU	LEGIONELLA AG, URINE	
Reference	Pneumonia	IDSA-Pneumonia	2	LABLEGDA	LEGIONELLA CULTURE	
Reference	Pneumonia	IDSA-Pneumonia	1	LABGRAM	GRAM STAIN	
Reference	Pneumonia	IDSA-Pneumonia	1	IMGDXCH1P	XR CHEST 1V PORTABLE	
Reference	Pneumonia	IDSA-Pneumonia	1	IMGDXCH1	XR CHEST 1V	
Reference	Pneumonia	IDSA-Pneumonia	1	IMGDXCH2	XR CHEST 2V	
Reference	Pneumonia	IDSA-Pneumonia	1	MED520039	AZITHROMYCIN IVPB	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI18631	Azithromycin (Oral)	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI3640	Doxycycline (Oral)	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI82122	Levofloxacin (Intravenous)	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI82122	Levofloxacin (Oral)	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI139462	Moxifloxacin (Oral)	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI723	Amoxicillin (Oral)	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI2193	Ceftriaxone (Intravenous)	
Reference	Pneumonia	IDSA-Pneumonia	1	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	
Reference	Pneumonia	IDSA-Pneumonia	1	MED520160	ERTAPENEM 1 G IVPB	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI1272	Aztreonam (Intravenous)	Penicillin allergy
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI8339	Piperacillin (Intravenous)	Pseudomonas
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI37617	Tazobactam (Intravenous)	Pseudomonas
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI2551	Ciprofloxacin (Intravenous)	Pseudomonas
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI2551	Ciprofloxacin (Oral)	Pseudomonas
Reference	Pneumonia	IDSA-Pneumonia	1	MED520103	CEFEPIME 1 GM IVPB	Pseudomonas
Reference	Pneumonia	IDSA-Pneumonia	1	MED520045	MEROPENEM IVPB	Pseudomonas
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI11124	Vancomycin (Intravenous)	MRSA
Reference	Pneumonia	IDSA-Pneumonia	2	LABVANPRL	VANCOMYCIN TROUGH LEVEL	
Reference	Pneumonia	IDSA-Pneumonia	1	RXCUI260101	Oseltamivir (Oral)	Influenza A
Reference	Pneumonia	IDSA-Pneumonia	1	ISO9	DROPLET ISOLATION	Suspect viral source
Reference	Pneumonia	IDSA-Pneumonia	2	LABDVERVR	RESP DFA PANEL-REFLEX PCR	
Reference	Pneumonia	IDSA-Pneumonia	2	LABDVERVP	RESPIRATORY DFA PANEL	
Reference	Pneumonia	IDSA-Pneumonia	2	RXCUI9863	Sodium Chloride (Intravenous)	Fluid resuscitation implied
Reference	Pneumonia	IDSA-Pneumonia	1	RT73	RESP - NON INVASIVE POS. PRESS VENT (BIPAP/CPAP)	Trial before need intubation
Reference	Pneumonia	IDSA-Pneumonia	2	LABCORT	CORTISOL, SERUM	Check adrenal insufficiency if in shock
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	Diagnostic tests may not help that much routinely, but may still help individual cases and offer epidemiologic information
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	
Recommendation	Pneumonia	IDSA-Pneumonia	2	RT76	RESP - SPUTUM INDUCTION	
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABRESP	RESPIRATORY CULTURE	
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABLEGU	LEGIONELLA AG, URINE	
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABLEGDA	LEGIONELLA CULTURE	
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABGRAM	GRAM STAIN	
Recommendation	Pneumonia	IDSA-Pneumonia	1	IMGDXCH1P	XR CHEST 1V PORTABLE	
Recommendation	Pneumonia	IDSA-Pneumonia	1	IMGDXCH1	XR CHEST 1V	
Recommendation	Pneumonia	IDSA-Pneumonia	1	IMGDXCH2	XR CHEST 2V	
Recommendation	Pneumonia	IDSA-Pneumonia	1	MED520039	AZITHROMYCIN IVPB	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI18631	Azithromycin (Oral)	
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI3640	Doxycycline (Oral)	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI82122	Levofloxacin (Intravenous)	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI82122	Levofloxacin (Oral)	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI139462	Moxifloxacin (Oral)	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI723	Amoxicillin (Oral)	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI2193	Ceftriaxone (Intravenous)	
Recommendation	Pneumonia	IDSA-Pneumonia	1	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	
Recommendation	Pneumonia	IDSA-Pneumonia	2	MED520160	ERTAPENEM 1 G IVPB	
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI1272	Aztreonam (Intravenous)	Penicillin allergy
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI8339	Piperacillin (Intravenous)	Pseudomonas
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI37617	Tazobactam (Intravenous)	Pseudomonas
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI2551	Ciprofloxacin (Intravenous)	Pseudomonas
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI2551	Ciprofloxacin (Oral)	Pseudomonas
Recommendation	Pneumonia	IDSA-Pneumonia	2	MED520103	CEFEPIME 1 GM IVPB	Pseudomonas
Recommendation	Pneumonia	IDSA-Pneumonia	2	MED520045	MEROPENEM IVPB	Pseudomonas
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI11124	Vancomycin (Intravenous)	MRSA
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABVANPRL	VANCOMYCIN TROUGH LEVEL	
Recommendation	Pneumonia	IDSA-Pneumonia	1	RXCUI260101	Oseltamivir (Oral)	Influenza A
Recommendation	Pneumonia	IDSA-Pneumonia	2	ISO9	DROPLET ISOLATION	Suspect viral source
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABDVERVR	RESP DFA PANEL-REFLEX PCR	
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABDVERVP	RESPIRATORY DFA PANEL	
Recommendation	Pneumonia	IDSA-Pneumonia	2	RXCUI9863	Sodium Chloride (Intravenous)	Fluid resuscitation implied
Recommendation	Pneumonia	IDSA-Pneumonia	2	RT73	RESP - NON INVASIVE POS. PRESS VENT (BIPAP/CPAP)	Trial before need intubation
Recommendation	Pneumonia	IDSA-Pneumonia	2	LABCORT	CORTISOL, SERUM	Check adrenal insufficiency if in shock
Reference	Pneumonia	IDSA-Pneumonia	1	LABRESPG	RESPIRATORY CULTURE AND GRAM STAIN	9
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	May omit if low severity disease
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	RT76	RESP - SPUTUM INDUCTION	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABRESP	RESPIRATORY CULTURE	Use if moderate severity disease and no prior antibiotics
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABLEGU	LEGIONELLA AG, URINE	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABLEGDA	LEGIONELLA CULTURE	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABGRAM	GRAM STAIN	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	IMGDXCH1P	XR CHEST 1V PORTABLE	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	IMGDXCH1	XR CHEST 1V	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	IMGDXCH2	XR CHEST 2V	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI18631	Azithromycin (Oral)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI3640	Doxycycline (Oral)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI82122	Levofloxacin (Intravenous)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI82122	Levofloxacin (Oral)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI139462	Moxifloxacin (Oral)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI723	Amoxicillin (Oral)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI2193	Ceftriaxone (Intravenous)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI8339	Piperacillin (Intravenous)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI37617	Tazobactam (Intravenous)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABDVERVR	RESP DFA PANEL-REFLEX PCR	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABDVERVP	RESPIRATORY DFA PANEL	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	POC22	POC ISTAT, ARTERIAL BLOOD GASES (G3+)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABABG	BLOOD GASES, ARTERIAL	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABVBG	BLOOD GASES, VENOUS	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	NUR1043	NURSING PULSE OXIMETRY	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABCBCO	CBC	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABCBCD	CBC WITH DIFF	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABMETB	METABOLIC PANEL, BASIC	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABMETC	METABOLIC PANEL, COMPREHENSIVE	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	LABHFP	HEPATIC FUNCTION PANEL A	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABCRP	C - REACTIVE PROTEIN	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	NUR4067	OXYGEN ADMINISTRATION	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RT84	RESP - OXYGEN ADMINISTRATION	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI5224	Heparin (Subcutaneous)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI67108	Enoxaparin (Subcutaneous)	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RT101	RESP - FLUTTER/PEP THERAPY	Need not be routine, but offer if difficulty expectorating
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	RT100	RESP - INTRAPULMONARY PERCUSSIVE VENTILATION	
Recommendation	Pneumonia	BritishThoracic-Pneumonia	3	RXCUI5492	Hydrocortisone (Intravenous)	Not routine
Recommendation	Pneumonia	BritishThoracic-Pneumonia	3	RXCUI68442	Filgrastim (Subcutaneous)	Not routine
Recommendation	Pneumonia	BritishThoracic-Pneumonia	2	CON310	CONSULT TO MEDICINE	Implied for admission
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	May omit if low severity disease
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RT76	RESP - SPUTUM INDUCTION	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABRESP	RESPIRATORY CULTURE	Use if moderate severity disease and no prior antibiotics
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABLEGU	LEGIONELLA AG, URINE	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABLEGDA	LEGIONELLA CULTURE	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABGRAM	GRAM STAIN	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	IMGDXCH1P	XR CHEST 1V PORTABLE	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	IMGDXCH1	XR CHEST 1V	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	IMGDXCH2	XR CHEST 2V	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI18631	Azithromycin (Oral)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI3640	Doxycycline (Oral)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI82122	Levofloxacin (Intravenous)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI82122	Levofloxacin (Oral)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI139462	Moxifloxacin (Oral)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI723	Amoxicillin (Oral)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RXCUI2193	Ceftriaxone (Intravenous)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI8339	Piperacillin (Intravenous)	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI37617	Tazobactam (Intravenous)	
