antibiotic_name,prescription_count
NEOSPORIN (NEO-BAC-POLYM) 3.5-400-5,45
000-10 MG-UNIT-MG/ML OPHT DRPS,45
NATAMYCIN 5 % OPHT DRPS,44
RIFAPENTINE 150 MG PO TABS,44
CEFIXIME 400 MG PO TABS,43
AZASITE 1 % OPHT DROP,43
TOBRAMYCIN IN 0.9 % NACL 60 MG/50 ML IV PGBK,43
ZOSYN IN DEXTROSE (ISO-OSM) 3.375 GRAM/50 ML IV PGBK,42
OFLOXACIN 400 MG PO TABS,41
CLEOCIN T 1 % TP SOLN,41
NUZYRA 150 MG PO TABS,41
DOXYCYCLINE HYCLATE 200 MG PO TBEC,41
CEFTIN 250 MG PO TABS,40
Cefotaxime,40
EMTRIVA 200 MG PO CAPS,40
NELFINAVIR 250 MG PO TABS,39
ELIMITE 5 % TP CREA,39
FLUCONAZOLE 10 MG/ML PO SUSR,39
THALIDOMIDE 100 MG PO CAPS,39
SULFAMETHOXAZOLE 500 MG PO TABS,39
ERYTHROMYCIN 2 % TP OINT,39
COMPLERA 200-25-300 MG PO TABS,39
MINOCYCLINE 80 MG PO TB24,39
TRIFLURIDINE 1 % OPHT DROP,38
ATAZANAVIR 100 MG PO CAPS,38
ZITHROMAX TRI-PAK 500 MG PO TABS,38
POLYSPORIN 500-10,38
EDURANT 25 MG PO TABS,37
DOXYCYCLINE CALCIUM 50 MG/5 ML PO SYRP,37
KERYDIN 5 % TP SOLA,36
DOLUTEGRAVIR-RILPIVIRINE 50-25 MG PO TABS,36
DAKLINZA 60 MG PO TABS,36
CEFIXIME 100 MG/5 ML PO SUSR,36
FUNGOID TINCTURE 2 % TP TINC,36
ZIAGEN 300 MG PO TABS,36
SUPRAX 400 MG PO TABS,36
ALINIA 500 MG PO TABS,36
ZITHROMAX 1 GRAM PO PACK,35
CEFEPIME 100 GRAM IV SOLR,35
TOLNAFTATE 1 % TP POWD,35
CEFOTETAN 2 GRAM INJ SOLR,35
GANCICLOVIR 0.15 % OPHT GEL,35
RIMANTADINE 100 MG PO TABS,35
CLEOCIN 2 % VAG CREA,34
AUGMENTIN ES-600 600-42.9 MG/5 ML PO SUSR,34
PREZISTA 800 MG PO TABS,34
AMPICILLIN SODIUM 125 MG INJ SOLR,34
CEFEPIME 1 GRAM IV PGBK,34
CEFTIBUTEN 400 MG PO CAPS,33
ETRAVIRINE 100 MG PO TABS,33
BACTROBAN NASAL 2 % NASAL OINT,32
SMZ-TMP DS 800-160 MG PO TABS,32
AZITHROMYCIN 2 GRAM/60 ML PO SSRR,32
ERYTHROMYCIN 500 MG PO TBEC,32
POSACONAZOLE 300 MG PO SUDR,32
ZOSYN 40.5 GRAM IV SOLR,32
VANCOCIN 250 MG PO CAPS,31
PENLAC 8 % TP SOLN,31
KETOCONAZOLE 2 % TP GEL,31
ZOVIRAX 400 MG PO TABS,30
DOLUTEGRAVIR-LAMIVUDINE 50-300 MG PO TABS,30
CICLOPIROX 0.77 % TP SUSP,30
DARUNAVIR-COBI-EMTRI-TENOF ALA 800-150-200-10 MG PO TABS,30
TOBRADEX ST 0.3-0.05 % OPHT DRPS,30
ROSULA 10-5-10 % TP CLSR,30
SEPTRA 200-40 MG/5 ML PO SUSP,30
SULFACETAMIDE SODIUM-SULFUR 10-5 % TP FOAM,30
ZYMAXID 0.5 % OPHT DROP,29
ARIKAYCE 590 MG/8.4 ML INH NBSP,29
ATAZANAVIR 200 MG PO CAPS,29
ERYTHROMYCIN ETHYLSUCCINATE 400 MG PO TABS,29
ERYTHROMYCIN WITH ETHANOL 2 % TP GEL,28
SYMTUZA 800-150-200-10 MG PO TABS,28
AZTREONAM 500 MG INJ SOLR,28
DARUNAVIR 300 MG PO TABS,28
TERAZOL 3 80 MG VAG SUPP,28
SUSTIVA 600 MG PO TABS,27
CEFOTETAN 1 GRAM INJ SOLR,27
000 UNIT VAG TABS,27
OFLOXACIN 300 MG PO TABS,27
TOBRAMYCIN-LOTEPRED 0.3-0.5 % OPHT DRPS,27
FOSAMPRENAVIR 700 MG PO TABS,26
SECURA ANTIFUNGAL 2 % TP CREA,26
SULFATRIM 200-40 MG/5 ML PO SUSP,26
CEFIXIME 500 MG/5 ML PO SUSR,26
TELBIVUDINE 600 MG PO TABS,25
MICONAZOLE NITRATE 2 % TP AERP,25
REYATAZ 300 MG PO CAPS,25
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,25
TOLNAFTATE 1 % TP SOLN,25
CEFTAROLINE FOSAMIL 400 MG IV SOLR,25
METROGEL VAGINAL 0.75 % (37.5MG/5 GRAM) VAG GEL,25
ZYMAR 0.3 % OPHT DROP,25
LOPROX 1 % TP SHAM,24
NYSTATIN 500 MILLION UNIT PO POWD,24
CHLORAMPHENICOL SOD SUCCINATE 1 GRAM IV SOLR,24
AUGMENTIN 400-57 MG/5 ML PO SUSR,24
CNL 8 NAIL 8 % TP KIT,24
SOFOSBUVIR-VELPATAS-VOXILAPREV 400-100-100 MG PO TABS,24
MARIBAVIR 200 MG PO TABS,23
EMTRICITABINE 10 MG/ML PO SOLN,23
VIRACEPT 625 MG PO TABS,22
ISONIAZID 50 MG/5 ML PO SOLN,22
LOTRIMIN ULTRA 1 % TP CREA,22
AVELOX ABC PACK 400 MG PO TABS,22
LEVOFLOXACIN 0.5 % OPHT DROP,22
COMBIVIR 150-300 MG PO TABS,22
MYCOLOG II 100,22
SOLODYN 55 MG PO TB24,22
LAMIVUDINE 300 MG PO TABS,21
DOXYCYCLINE HYCLATE 50 MG PO TABS,21
CEFDINIR 125 MG/5 ML PO SUSR,21
CLOTRIMAZOLE 3 DAY 2 % VAG CREA,21
METHENAMINE-SODIUM SALICYLATE 162-162.5 MG PO TABS,21
BIAXIN 250 MG PO TABS,21
LAGEVRIO (EUA) 200 MG PO CAPS,20
PEGASYS 180 MCG/ML SC SOLN,20
AUGMENTIN 125-31.25 MG/5 ML PO SUSR,20
NORFLOXACIN 400 MG PO TABS,20
BEDAQUILINE 100 MG PO TABS,20
NAFCILLIN 2 GRAM IV PGBK,20
CORTISPORIN 1 % TP OINT,20
AMBISOME 50 MG IV SUSR,20
ABREVA 10 % TP CREA,20
NAFTIFINE 2 % TP CREA,20
MONISTAT 3 200 MG/5 GRAM (4 %) VAG CREA,20
ABACAVIR 20 MG/ML PO SOLN,20
ERY-TAB 333 MG PO TBEC,19
LAMISIL AT 1 % TP CREA,19
FUNGOID TINCTURE 2 % TP KIT,19
NAFTIN 1 % TP GEL,19
NYSTATIN-EMOLLIENT COMBO NO.54 100,19
OXISTAT 1 % TP CREA,19
GENTAK 0.3 % (3 MG/GRAM) OPHT OINT,19
EFAVIRENZ-LAMIVU-TENOFOV DISOP 600-300-300 MG PO TABS,19
MONISTAT 3 200 MG- 2 % (9 GRAM) VAG KIT,19
PREDNISOLONE-MOXIFLOX-BROMFEN 1-0.5-0.075 % OPHT DRPS,19
UNASYN 3 GRAM IV PGBK,18
RIFADIN 300 MG PO CAPS,18
DOCOSANOL 10 % TP CREA,18
GYNAZOLE-1 2 % VAG CREA,18
LOPINAVIR-RITONAVIR 400-100 MG/5 ML PO SOLN,18
NIZORAL 2 % TP CREA,18
SELZENTRY 300 MG PO TABS,18
CLINDAGEL 1 % TP GLQD,18
BREXAFEMME 150 MG PO TABS,18
SULFACETAMIDE SODIUM-SULFUR 10-5 % TP SUSP,18
CUBICIN 500 MG IV SOLR,17
SOVALDI 400 MG PO TABS,17
LAMISIL 1 % TP CREA,17
MINOCIN 100 MG PO CAPS,17
VALCYTE 50 MG/ML PO SOLR,17
BLEPH-10 10 % OPHT DROP,17
BESIFLOXACIN 0.6 % OPHT DRPS,17
DOXYCYCLINE HYCLATE 50 MG PO TBEC,17
RIFAMYCIN 194 MG PO TBEC,17
CLEOCIN T 1 % TP SWAB,17
MICONAZOLE-7 2 % VAG CREA,17
AZO URINARY TRACT DEFENSE 162-162.5 MG PO TABS,17
BALOXAVIR MARBOXIL 40 MG PO TABS,17
MICONAZOLE NITRATE 4 % (200 MG)- 2 % (9 GRAM) VAG CPFC,17
FURADANTIN 25 MG/5 ML PO SUSP,17
SPECTAZOLE 1 % TP CREA,16
AMPICILLIN SODIUM 250 MG INJ SOLR,16
REYATAZ 200 MG PO CAPS,16
CORTISPORIN-TC 3.3-3-10-0.5 MG/ML OTIC DRPS,16
VIEKIRA PAK 12.5 MG-75 MG -50 MG/250 MG PO DSPK,16
PENCICLOVIR 1 % TP CREA,15
MICAFUNGIN 100 MG IV SOLR,15
ZIDOVUDINE 100 MG PO CAPS,15
GANCICLOVIR 500 MG PO CAPS,15
CLINDAMYCIN HCL 75 MG PO CAPS,15
MICONAZOLE NITRATE 2 % TP TINC,15
SULCONAZOLE 1 % TP SOLN,15
CEFADROXIL 500 MG/5 ML PO SUSR,15
PREDNISOLONE ACET-GATIFLOXACIN 1-0.5 % OPHT DRPS,15
METHEN-SOD PHOS-METH BLUE-HYOS 81.6-40.8-0.12 MG PO TABS,15
DURICEF 500 MG PO CAPS,14
CLOFAZIMINE 100 MG PO CAPS,14
LEVOFLOXACIN 1.5 % OPHT DROP,14
BACITRACIN-POLYMYXIN B OPHT OINT,14
BOCEPREVIR 200 MG PO CAPS,14
ACYCLOVIR SODIUM 1,14
000 MG IV SOLR,14
ACYCLOVIR 200 MG/5 ML (5 ML) PO SUSP,14
OXISTAT 1 % TP LOTN,14
ILOTYCIN 5 MG/GRAM (0.5 %) OPHT OINT,14
SERTACONAZOLE 2 % TP CREA,14
MONISTAT 3 200 MG VAG SUPP,14
TAZICEF 2 GRAM INJ SOLR,14
CILOXAN 0.3 % OPHT OINT,13
BUTENAFINE 1 % TP CREA,13
MOLNUPIRAVIR 200 MG PO CAPS,13
CLOTRIM ANTIFUNGAL 1 % TP CREA,13
ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5 ML PO SUSP,13
ACYCLOVIR SODIUM 500 MG IV SOLR,13
TETRACYCLINE 500 MG PO TABS,13
TRIMETHOPRIM 50 MG/5 ML PO SOLN,13
STAVUDINE 40 MG PO CAPS,13
ZOVIRAX 800 MG PO TABS,13
CANCIDAS 50 MG IV SOLR,12
PREZISTA 600 MG PO TABS,12
MYAMBUTOL 400 MG PO TABS,12
NEVIRAPINE 400 MG PO TB24,12
NEOMYCIN 25 MG/ML PO SOLN,12
KEFLEX 750 MG PO CAPS,12
VFEND 50 MG PO TABS,12
HYOPHEN 81.6-0.12-10.8 MG PO TABS,12
LOTRIMIN AF 2 % TP POWD,12
NORVIR SOFT GELATIN 100 MG PO CAPS,12
MICATIN 2 % TP CREA,12
MARAVIROC 150 MG PO TABS,12
FAMVIR 250 MG PO TABS,12
EPIVIR 300 MG PO TABS,11
ZITHROMAX 600 MG PO TABS,11
CIPRO I.V. 400 MG/40 ML IV SOLN,11
INVANZ 1 GRAM INJ SOLR,11
HEPSERA 10 MG PO TABS,11
VIBRAMYCIN 100 MG PO CAPS,11
DACLATASVIR 60 MG PO TABS,11
PEGINTERFERON ALFA-2B 50 MCG/0.5 ML SC KIT,11
ERYTHROMYCIN 1.5 % TP SOLN,11
CLOFAZIMINE 50 MG PO CAPS,10
OXICONAZOLE 1 % TP LOTN,10
000 MG-UNIT-UNIT/G TP OINT,10
CEFACLOR 500 MG PO TB12,10
MYCAMINE 100 MG IV SOLR,10
VIRAMUNE 200 MG PO TABS,10
ANIDULAFUNGIN 100 MG IV SOLR,10
LOPROX 0.77 % TP GEL,10
ZOVIRAX 200 MG PO CAPS,10
STAVUDINE 30 MG PO CAPS,10
INVANZ 1 GRAM IV SOLR,9
CABOTEGRAVIR-RILPIVIRINE 400 MG/2 ML- 600 MG/2 ML IM SPSR,9
GENTIAN VIOLET 1 % TP SOLN,9
MUPIROCIN 2 % TP OKIT,9
DAPTOMYCIN (RF) 500 MG IV SOLR,9
Streptomycin,9
CEFEPIME IN DEXTROSE 5 % 2 GRAM/50 ML IV PGBK,9
NAFCILLIN 1 GRAM IV SOLR,9
EPIVIR 150 MG PO TABS,9
CLINDESSE 2 % VAG CMSR,9
NEOMYCIN-POLYMYXIN-GRAMICIDIN 1.75 MG-10,9
000 UNIT-0.025MG/ML OPHT DROP,9
NEOMYCIN-POLYMYXIN-HC (BUF) 3.5-10,9
000-1 MG-UNIT/ML-% OTIC DRPS,9
TIOCONAZOLE 6.5 % VAG OINT,9
CLINDAMYCIN PHOSPHATE 1 % TP FOAM,9
VANTIN 200 MG PO TABS,9
CORTISPORIN 3.5-10,9
GATIFLOXACIN 400 MG PO TABS,9
NELFINAVIR 625 MG PO TABS,9
AMOXICILLIN 250 MG PO CHEW,8
ELBASVIR-GRAZOPREVIR 50-100 MG PO TABS,8
AVELOX IN NACL (ISO-OSMOTIC) 400 MG/250 ML IV PGBK,8
NEOMYCIN-POLYMYXIN 3.5-10,8
000 MG-UNIT/G TP CREA,8
OLYSIO 150 MG PO CAPS,8
DAPTOMYCIN 350 MG IV SOLR,8
CLINDAMYCIN IN 0.9 % SOD CHLOR 600 MG/50 ML IV PGBK,8
ZEASORB (MICONAZOLE) 2 % TP POWD,8
SULFACETAMIDE SODIUM-SULFUR 10-5 % (W/V) TP LOTN,8
TAMIFLU 45 MG PO CAPS,8
AMPICILLIN-SULBACTAM 1.5 GRAM IV SOLR,8
CEFIXIME 200 MG PO CHEW,8
TRIPLE ANTIBIOTIC (PRAM) EXTRA 3.5-500-10,8
UNASYN 3 GRAM INJ SOLR,8
MONISTAT 7 100 MG VAG SUPP,8
ERYPED 200 MG/5 ML PO SUSR,8
SELZENTRY 150 MG PO TABS,8
GRISEOFULVIN MICROSIZE 500 MG PO TABS,7
ABELCET 5 MG/ML IV SUSP,7
IQUIX 1.5 % OPHT DROP,7
MINOCIN 50 MG PO CAPS,7
LEVAQUIN LEVA-PAK 750 MG PO TABS,7
TOBREX 0.3 % OPHT OINT,7
QUIXIN 0.5 % OPHT DROP,7
CLOTRIMAZOLE 1 % TP LOTN,6
AMOXICILLIN 400 MG PO CHEW,6
CLINDA-DERM 1 % TP SOLN,6
OCUFLOX 0.3 % OPHT DROP,6
ABACAVIR-LAMIVUDINE-ZIDOVUDINE 300-150-300 MG PO TABS,6
POLY BACITRACIN (ZINC) 500-10,6
TRUVADA 100-150 MG PO TABS,6
PREZISTA 400 MG PO TABS,6
CLOTRIMAZOLE AF 1 % TP CREA,6
SEROMYCIN 250 MG PO CAPS,6
AMPICILLIN-SULBACTAM 3 GRAM IV PGBK,6
PEGINTERFERON ALFA-2B 120 MCG/0.5 ML SC KIT,6
PLEXION 10-5 % (W/W) TP CLSR,6
KALETRA 100-25 MG PO TABS,6
ZOSYN IN DEXTROSE (ISO-OSM) 4.5 GRAM/100 ML IV PGBK,6
MONISTAT 7 2 % (100 MG)- 2 % (9 GRAM) VAG CPFC,6
LOPROX (AS OLAMINE) 0.77 % TP CREA,6
ANTIFUNGAL (MICONAZOLE) 2 % TP CREA,6
INTELENCE 100 MG PO TABS,6
CLOTRIMAZOLE-BETAMETH DIP-ZINC 1-0.05-20 % TP CMPK,6
NEOMYCIN-POLYMYXIN-HC OTIC SOLN,6
OMADACYCLINE 100 MG IV SOLR,6
CLOTRIMAZOLE 200 MG VAG TABS,6
MICAFUNGIN 50 MG IV SOLR,5
DOXYCYCLINE HYCLATE 150 MG PO TBEC,5
VEREGEN 15 % TP OINT,5
NOROXIN 400 MG PO TABS,5
VICTRELIS 200 MG PO CAPS,5
MYCOBUTIN 150 MG PO CAPS,5
MONODOX 100 MG PO CAPS,5
DORYX 150 MG PO TBEC,5
RIBAVIRIN 400-400 MG (28)-MG (28) PO DSPK,5
GENTAK 0.3 % OPHT DROP,5
IBREXAFUNGERP 150 MG PO TABS,5
THALOMID 100 MG PO CAPS,5
CEFEPIME IN DEXTROSE 5 % 1 GRAM/50 ML IV PGBK,5
GEMIFLOXACIN 320 MG PO TABS,5
MOXEZA 0.5 % OPHT DRPV,5
BARACLUDE 0.05 MG/ML PO SOLN,5
PEGASYS 180 MCG/0.5 ML SC SYRG,5
METHEN-HYOS-ME BLUE-BA-SALICYL 81.6-0.12-10.8 MG PO TABS,5
TOBRAMYCIN IN 0.9 % NACL 80 MG/100 ML IV PGBK,5
NYSTATIN 150 MILLION UNIT PO POWD,5
AMPHOTERICIN B 3 % TP CREA,4
EMTRICITABINE-TENOFOVIR (TDF) 100-150 MG PO TABS,4
DIFLUCAN IN NACL (ISO-OSM) 200 MG/100 ML IV PGBK,4
TECOVIRIMAT 200 MG PO CAPS,4
BIKTARVY 30-120-15 MG PO TABS,4
DOXYCYCLINE-BENZOYL PEROXIDE 100-4.4 MG-% MISC KCLT,4
SAQUINAVIR MESYLATE 200 MG PO CAPS,4
CYCLOSERINE 250 MG PO CAPS,4
ANTIFUNGAL (MICONAZOLE) 2 % TP POWD,4
TOBRAMYCIN-DEXAMETHASONE 0.3-0.05 % OPHT DRPS,4
CLINDAMYCIN PHOSPHATE 600 MG/4 ML IV SOLN,4
OSELTAMIVIR 45 MG PO CAPS,4
CLEOCIN 100 MG VAG SUPP,4
ERTACZO 2 % TP CREA,4
CABOTEGRAVIR-RILPIVIRINE 600 MG/3 ML- 900 MG/3 ML IM SPSR,4
AUGMENTIN 250-125 MG PO TABS,4
DORAVIRINE 100 MG PO TABS,4
XERESE 5-1 % TP CREA,4
GYNAZOLE-1 2 % VAG CMSR,4
COLY-MYCIN S 3.3-3-10-0.5 MG/ML OTIC DRPS,4
PEGASYS CONVENIENCE PACK 180 MCG/0.5 ML SC KIT,4
CABENUVA 400 MG/2 ML- 600 MG/2 ML IM SPSR,4
POLY BACITRACIN 500-10,4
OMNICEF 300 MG PO CAPS,4
ATAZANAVIR-COBICISTAT 300-150 MG PO TABS,4
TELAPREVIR 375 MG PO TABS,4
200-2 MG-% VAG KIT,4
NYATA 100,4
PRIMAXIN IV 250 MG IV SOLR,4
MINOCYCLINE 75 MG PO CAPS,4
NATACYN 5 % OPHT DRPS,4
CIPRO IN D5W 200 MG/100 ML IV PGBK,4
GANCICLOVIR SODIUM 50 MG/ML IV SOLN,4
DOUBLE ANTIBIOTIC (B.TRACN ZN) 500-10,4
SULFACETAMIDE SODIUM-SULFUR 10-2 % TP CREA,4
BICILLIN L-A 1,4
200,4
000 UNIT/2 ML IM SYRG,4
CEFIXIME 200 MG/5 ML PO SUSR,4
LEXIVA 700 MG PO TABS,4
JULUCA 50-25 MG PO TABS,4
CYSTEX PLUS (METHENAMINE-SAL) 162-162.5 MG PO TABS,4
CLEANSING WASH 10-4-10 % TP CLSR,3
CLEOCIN HCL 300 MG PO CAPS,3
PRETOMANID 200 MG PO TABS,3
DENAVIR 1 % TP CREA,3
MAFENIDE ACETATE 50 GRAM TP PACK,3
CIPRO I.V. 200 MG/20 ML IV SOLN,3
TAVABOROLE 5 % TP SOLA,3
ANTIFUNGAL (TERBINAFINE) 1 % TP CREA,3
SEYSARA 100 MG PO TABS,3
SULFANILAMIDE 15 % VAG CREA,3
SIRTURO 100 MG PO TABS,3
ROMYCIN 5 MG/GRAM (0.5 %) OPHT OINT,3
NAFTIN 1 % TP CREA,3
PRIFTIN 150 MG PO TABS,3
MONISTAT 7 CREAM,3
APPL,3
WIPES 2 % (100 MG)- 2 % VAG KIT,3
CLEOCIN HCL 150 MG PO CAPS,3
CEFPROZIL 250 MG PO TABS,3
GYNE-LOTRIMIN 2 % VAG CREA,3
DOVATO 50-300 MG PO TABS,3
RIBAVIRIN 500 MG PO TABS,3
PEGINTERFERON ALFA-2A 180 MCG/0.5 ML SC KIT,3
MICONAZOLE NITRATE 200 MG/5 GRAM (4 %) VAG CREA,3
TOBREX 0.3 % OPHT DROP,3
MYCOSTATIN 100,3
TINACTIN 1 % TP CREA,3
FAMCICLOVIR 125 MG PO TABS,3
GANCICLOVIR 250 MG PO CAPS,3
MONISTAT 1 COMBO PACK 1,3
SPORANOX PULSEPAK 100 MG PO CAPS,3
SIVEXTRO 200 MG PO TABS,3
NIZORAL 200 MG PO TABS,3
MINOCYCLINE 75 MG PO TABS,3
VIROPTIC 1 % OPHT DROP,3
SULFACETAMIDE SOD-SULFUR-UREA 10-5-10 % TP CLSR,3
ERYTHROMYCIN 2 % TP SOLN,3
NEOSPORIN ORIGINAL 3.5-400-5,3
000 MG-UNIT-UNIT/G TP PACK,3
NITAZOXANIDE 100 MG/5 ML PO SUSR,3
DIDANOSINE 250 MG PO CPDR,3
NEOMYCIN-POLYMYXIN-HC OTIC DRPS,3
LINEZOLID IN DEXTROSE 5% 200 MG/100 ML IV PGBK,3
NEOMYCIN-COLISTIN-HC OTIC DRPS,3
THALOMID 150 MG PO CAPS,2
CEFOXITIN IN DEXTROSE 2.2 % 2 GRAM/50 ML IV PGBK,2
MONISTAT 1 (TIOCONAZOLE) 6.5 % VAG OINT,2
ERYTHROMYCIN 250 MG PO CPDR,2
PALIVIZUMAB 50 MG/0.5 ML IM SOLN,2
CEFEPIME 2 GRAM IV PGBK,2
XOLEGEL 2 % TP GEL,2
CEFOTETAN IN DEXTROSE,2
TELITHROMYCIN 400 MG PO TABS,2
OFLOXACIN 0.3 % OTIC DPET,2
DECLOMYCIN 150 MG PO TABS,2
FIDAXOMICIN 40 MG/ML PO SUSR,2
NEOSPORIN-PAIN ITCH SCAR 3.5-500-10,2
DOXYCYCLINE HYCLATE 120 MG PO TBEC,2
RIBATAB DOSE PACK 400-400 MG (28)-MG (28) PO DSPK,2
FLAGYL 375 MG PO CAPS,2
DYNACIN 100 MG PO TABS,2
DOXYCYCLINE HYCLATE 150 MG PO TABS,2
DOXY-100 100 MG IV SOLR,2
MAXIPIME 2 GRAM IV PGBK,2
EPIVIR HBV 25 MG/5 ML (5 MG/ML) PO SOLN,2
VIREAD 150 MG PO TABS,2
TRIPLE PASTE AF 2 % TP OINT,2
ENFUVIRTIDE 90 MG SC SOLR,2
ACTICLATE 150 MG PO TABS,2
UTA (WITH PHENYL SALICYLATE) 120-0.12 MG PO CAPS,2
BAZA ANTIFUNGAL 2 % TP CREA,2
EMTRIVA 10 MG/ML PO SOLN,2
LULICONAZOLE 1 % TP CREA,2
TOLNAFTATE 1 % TP AERP,2
REYATAZ 150 MG PO CAPS,2
E.E.S. 200 200 MG/5 ML PO SUSR,2
SULFACETAMIDE SODIUM-SULFUR 10-5 % TP LOTN,2
REYATAZ 100 MG PO CAPS,2
LOTRISONE 1-0.05 % TP LOTN,2
CUBICIN RF 500 MG IV SOLR,2
CENTANY 2 % TP OINT,2
ERYTHROMYCIN STEARATE 250 MG PO TABS,2
CLEOCIN IN 5 % DEXTROSE 900 MG/50 ML IV PGBK,2
UNDECYLENIC ACID 25 % TP SOLN,2
BACITRACIN 500 UNIT/GRAM TP PACK,2
DOXYCYCLINE HYCLATE 100 MG PO CPDR,2
AMZEEQ 4 % TP FOAM,2
SOLODYN 115 MG PO TB24,2
3-DAY VAGINAL 2 % VAG CREA,2
BENZAMYCIN 3-5 % TP GEL,2
LINDANE 1 % TP LOTN,2
ISONIAZID 100 MG/ML INJ SOLN,2
WAL-SPORIN 500-10,2
EVUSHELD (EUA) 150 MG/1.5 ML- 150 MG/1.5 ML IM SOLN,2
ETHIONAMIDE 250 MG PO TABS,2
DARUNAVIR 75 MG PO TABS,2
PASER 4 GRAM PO GRPS,2
TEFLARO 600 MG IV SOLR,2
ZEASORB AF 2 % TP POWD,2
OXACILLIN 2 GRAM IV SOLR,2
REBETOL 200 MG PO CAPS,2
ZIDOVUDINE 10 MG/ML PO SYRP,2
FEMSTAT 3 2 % VAG CREA,2
SOLODYN 80 MG PO TB24,2
SKLICE 0.5 % TP LOTN,2
RELENZA DISKHALER 5 MG/ACTUATION INH DSDV,2
PIFELTRO 100 MG PO TABS,2
REMEDY PHYTOPLEX ANTIFUNGAL 2 % TP OINT,2
TETRACYCLINE 125 MG/5 ML PO SUSP,2
CEFOXITIN 100 GRAM INJ SOLR,2
CLINDAMYCIN PHOSPHATE 900 MG/6 ML IV SOLN,2
VFEND 200 MG/5 ML (40 MG/ML) PO SUSR,2
MYCELEX 1 % TP CREA,2
VOCABRIA 30 MG PO TABS,2
ANTIFUNGAL (TOLNAFTATE) 1 % TP POWD,2
CLINDAMYCIN PHOSPHATE 2 % VAG CMSR,2
ATHLETE'S FOOT (TERBINAFINE) 1 % TP CREA,2
SAQUINAVIR MESYLATE 500 MG PO TABS,2
MINOCYCLINE 105 MG PO TB24,2
DESENEX 2 % TP POWD,2
TOBRAMYCIN SULFATE 80 MG IV SOLR,2
DORIPENEM 500 MG IV SOLR,2
MINOCYCLINE 90 MG PO TB24,2
MERREM 500 MG IV SOLR,2
RIBASPHERE 200 MG PO CAPS,2
NEOMYCIN-FLUOCINOLONE 0.5 % (0.35 % BASE)-0.025 % TP CREA,2
LUZU 1 % TP CREA,2
AVIDOXY 100 MG PO TABS,2
SOTROVIMAB 500 MG/8 ML (62.5 MG/ML) IV SOLN,2
NYSTATIN 200,2
000 UNIT MM LOZG,2
SULFACETAMIDE SODIUM-SULFUR 10-5 % (W/W) TP CREA,2
MAXIPIME 1 GRAM INJ SOLR,2
AUGMENTIN 400-57 MG PO CHEW,2
EXELDERM 1 % TP CREA,2
RIBAVIRIN 200 MG (7)- 400 MG (7) PO DSPK,2
UNASYN 3 GRAM IV SOLR,2
CICLODAN 8 % TP SOLN,2
CLOTRIMAZOLE-7 1 % VAG CREA,2
CLOTRIMAZOLE FOOT 1 % TP CREA,2
PREZISTA 300 MG PO TABS,2
OTOVEL 0.3-0.025 % (0.25 ML) OTIC SOLN,2
CRESEMBA 372 MG IV SOLR,2
AUGMENTIN 125-31.25 MG PO CHEW,2
NYSTATIN 50 MILLION UNIT PO POWD,1
ZALCITABINE 0.375 MG PO TABS,1
LAMISIL (AEROSOL) 1 % TP SPRA,1
LAMISIL 1 % TP SPRY,1
ROCEPHIN 250 MG INJ SOLR,1
MICONAZOLE-3 PREFIL,1
CREAM,1
WIPE 4 % (200 MG)- 2 % (9 GRAM) VAG KIT,1
CLINDAMYCIN PHOSPHATE 1 % TP GLQD,1
TYGACIL 50 MG IV SOLR,1
ROCEPHIN 2 GRAM IV SOLR,1
MINOCYCLINE 90 MG PO CP24,1
ANTIBIOTIC (BACITRACIN ZINC) 500 UNIT/GRAM TP OINT,1
ANTIFUNGAL 25 % TP SOLN,1
MINOCYCLINE 115 MG PO TB24,1
SULFACETAMIDE SODIUM 10 % OPHT OINT,1
PALIVIZUMAB 100 MG/ML IM SOLN,1
MICONAZOLE-7 100 MG VAG SUPP,1
AMPICILLIN 125 MG/5 ML PO SUSR,1
MINOCYCLINE 135 MG PO TB24,1
ACYCLOVIR 50 MG BUCCAL MABT,1
ERYC 250 MG PO CPDR,1
MINOCYCLINE 45 MG PO CP24,1
GRISEOFULVIN ULTRAMICROSIZE 250 MG PO TABS,1
MYCOSTATIN 500,1
ERY-TAB 500 MG PO TBEC,1
OFLOXACIN 200 MG PO TABS,1
LAMISIL AT 1 % TP SPRY,1
FLOXIN 0.3 % OTIC DROP,1
TINACTIN 1 % TP POWD,1
CEFTIN 125 MG/5 ML PO SUSR,1
NYSTATIN 1 BILLION UNIT PO POWD,1
DOXYCYCLINE HYCLATE 75 MG PO TABS,1
POSACONAZOLE 300 MG/16.7 ML IV SOLN,1
RALTEGRAVIR 100 MG PO PWPK,1
MALATHION 0.5 % TP LOTN,1
ATHLETE'S FOOT (CLOTRIMAZOLE) 1 % TP CREA,1
ROCEPHIN 1 GRAM IV SOLR,1
AMINOSALICYLIC ACID 4 GRAM PO GRPS,1
AMOXICILLIN 200 MG PO TBDP,1
TEFLARO 400 MG IV SOLR,1
FUZEON 90 MG SC SOLR,1
NAFTIN 2 % TP CREA,1
NEVIRAPINE 50 MG/5 ML PO SUSP,1
ROCEPHIN 2 GRAM INJ SOLR,1
