Rotation,Role,Provider_ID,Date,Chart_Review_Time,Note_Review_Time,Note_Entry_Time,Order_Entry_Time,Navigator_Time,Results_Review_Time,Total_Time,Number_EHR_Actions,Number_EHR_Actions_Accessed_Remotely,Number_Unique_Patient_Records_Accessed
Intensive Care Unit,PGY2+,S0181081,2016-09-23,3:02:02,1:11:37,0:06:09,0:53:36,0:41:26,0:05:03,6:58:56,2290,0,18
Intensive Care Unit,PGY2+,S0181081,2016-09-28,1:03:41,0:48:02,0:01:05,0:09:49,0:21:31,0:05:01,2:54:06,1121,0,24
Intensive Care Unit,PGY2+,S0181081,2016-09-29,1:51:06,0:59:01,0:03:09,0:18:12,0:18:33,0:01:48,4:04:10,1416,0,13
Emergency Medicine,PGY2+,S0169394,2016-07-30,4:33:51,1:11:49,0:04:11,0:36:06,1:03:37,0:16:47,8:51:22,3327,276,31
Emergency Medicine,PGY2+,S0169394,2016-07-31,3:19:02,0:44:38,0:02:24,0:39:53,1:01:20,0:06:31,6:42:25,2429,0,21
Night Team,PGY1,S0181069,2016-02-05,0:24:49,0:35:57,0:27:57,0:35:09,0:10:33,0:17:49,2:41:00,999,81,22
Night Team,PGY1,S0181069,2016-02-04,1:00:21,0:28:27,0:03:33,0:35:42,0:27:45,0:22:11,3:17:19,1448,0,62
Night Team,PGY1,S0181069,2016-02-07,0:49:09,0:26:52,0:10:23,0:28:31,0:22:48,0:21:47,2:57:09,1115,0,33
Night Team,PGY1,S0181069,2016-02-06,2:07:26,0:47:31,1:27:11,1:09:35,0:19:45,0:31:45,6:50:07,1910,0,41
Night Team,PGY1,S0181069,2016-02-01,1:12:23,0:36:05,0:51:12,0:48:37,0:34:24,0:15:33,4:35:05,1533,0,40
Night Team,PGY1,S0181069,2016-02-03,1:49:24,0:51:11,1:24:43,1:09:10,0:30:34,0:39:21,6:54:10,2527,255,70
Night Team,PGY1,S0181069,2016-02-02,1:41:29,0:51:49,2:04:41,0:51:02,0:23:33,0:48:25,7:29:14,2431,24,43
Night Team,PGY1,S0181069,2016-02-09,1:15:17,0:56:43,1:12:59,0:48:28,0:30:13,0:35:04,5:54:04,2398,227,32
Night Team,PGY1,S0181069,2016-02-08,0:23:42,0:18:06,0:04:18,0:29:41,0:17:25,0:17:49,2:04:25,958,0,72
General Medicine,PGY1,S0169384,2015-02-14,1:19:10,0:04:35,1:43:05,0:07:04,0:02:50,0:08:27,3:43:29,1528,1520,21
General Medicine,PGY2+,S0172085,2016-10-08,0:00:00,0:00:00,0:00:00,0:00:08,0:00:00,0:00:00,0:00:08,6,0,3
Night Team,PGY2+,S0172085,2016-10-09,0:41:45,0:15:48,0:00:01,0:27:48,0:04:19,0:00:10,2:09:56,473,0,9
General Medicine,PGY2+,S0172085,2016-10-06,1:23:52,0:50:25,0:00:06,0:08:32,0:11:43,0:08:42,3:03:39,1230,10,11
General Medicine,PGY2+,S0172085,2016-10-07,0:06:26,0:18:19,0:00:00,0:00:29,0:01:46,0:00:20,0:30:51,154,108,12
General Medicine,PGY2+,S0172085,2016-10-04,1:49:14,1:37:30,0:00:03,0:23:54,0:23:18,0:10:23,4:58:21,1912,0,18
General Medicine,PGY2+,S0172085,2016-10-05,2:16:22,1:28:33,0:00:00,0:07:35,0:04:00,0:08:00,4:49:55,2392,0,25
General Medicine,PGY2+,S0172085,2016-10-02,1:28:35,0:59:00,0:00:00,0:10:25,0:13:56,0:01:48,3:13:52,992,0,17
General Medicine,PGY2+,S0172085,2016-10-03,3:00:16,1:41:01,0:00:19,0:24:20,0:08:10,0:11:47,5:50:43,3246,141,33
General Medicine,PGY2+,S0172085,2016-10-01,0:17:28,0:01:18,0:00:00,0:00:09,0:00:00,0:00:00,0:20:03,87,0,14
Night Team,PGY1,S0182038,2016-09-09,0:46:07,0:35:46,0:00:05,0:12:57,0:09:59,0:00:07,1:57:20,396,0,19
Night Team,PGY1,S0182038,2016-09-08,1:12:31,0:49:12,0:00:00,0:24:34,0:09:44,0:05:03,3:10:28,651,0,20
Night Team,PGY1,S0182038,2016-09-05,1:11:15,0:17:24,0:00:00,0:23:31,0:11:48,0:03:41,2:26:08,553,404,20
Night Team,PGY1,S0182038,2016-09-04,1:01:30,0:06:39,0:00:00,0:20:51,0:13:33,0:00:03,2:11:57,605,257,25
Night Team,PGY1,S0182038,2016-09-07,1:53:22,0:46:34,0:00:01,0:41:50,0:24:04,0:00:34,4:35:18,1059,0,42
Night Team,PGY1,S0182038,2016-09-06,0:45:37,1:01:07,0:01:20,0:25:01,0:19:12,0:00:07,2:45:12,580,286,17
General Medicine,PGY1,S0195229,2016-08-19,0:17:35,0:36:38,0:00:30,0:03:32,0:00:51,0:00:05,1:03:44,358,318,5
General Medicine,PGY1,S0195229,2016-08-18,2:04:45,0:23:45,0:00:08,1:15:25,0:24:26,0:00:24,4:51:50,1704,9,13
Night Team,PGY2+,S0172645,2016-07-13,0:39:53,0:37:21,0:00:04,0:14:18,0:07:53,0:00:22,1:45:10,777,0,21
General Medicine,PGY1,S0195229,2016-08-10,2:42:21,0:39:05,0:00:01,0:50:02,0:34:12,0:02:00,5:05:26,1262,0,8
General Medicine,PGY1,S0195229,2016-08-13,1:52:55,0:38:32,0:04:59,0:59:59,0:30:26,0:08:37,4:59:22,1277,0,9
Night Team,PGY2+,S0172645,2016-07-10,1:56:03,1:28:47,0:00:01,0:24:27,0:07:42,0:08:06,4:36:20,1927,283,41
General Medicine,PGY1,S0195229,2016-08-15,2:42:33,0:31:25,0:00:09,1:03:40,0:33:52,0:00:20,5:19:57,1391,0,10
Night Team,PGY2+,S0172645,2016-07-16,0:31:06,0:41:21,0:00:02,0:20:04,0:07:59,0:03:25,1:49:33,714,23,9
General Medicine,PGY1,S0195229,2016-08-17,1:17:50,0:35:43,0:00:15,0:54:26,0:26:15,0:00:36,3:41:00,1329,20,5
Night Team,PGY2+,S0172645,2016-07-14,1:33:35,1:10:06,0:00:05,0:38:03,0:09:04,0:05:22,4:06:22,1278,0,16
General Medicine,PGY1,S0195201,2016-10-01,3:17:56,2:29:29,0:01:47,0:42:03,0:23:47,0:01:56,7:49:27,3607,0,36
General Medicine,PGY1,S0195201,2016-10-03,1:50:57,1:28:55,0:00:15,0:15:11,0:11:12,0:01:57,4:10:04,1653,0,10
General Medicine,PGY1,S0195201,2016-10-02,2:14:35,1:15:47,0:00:15,0:46:59,0:03:59,0:09:22,5:11:54,2231,0,13
General Medicine,PGY1,S0195201,2016-10-05,0:40:05,0:24:24,0:00:01,0:00:23,0:00:14,0:10:52,1:20:06,508,275,15
General Medicine,PGY1,S0195201,2016-10-04,4:22:24,1:44:50,0:00:17,0:44:40,0:21:54,0:09:27,7:58:39,2603,33,27
General Medicine,PGY1,S0195201,2016-10-07,2:17:24,1:33:59,0:00:58,0:34:50,0:09:31,0:01:06,5:07:46,2074,11,10
General Medicine,PGY1,S0195201,2016-10-06,4:33:27,2:17:25,0:01:53,0:38:37,0:13:58,0:09:17,8:27:12,3387,0,14
General Medicine,PGY1,S0195201,2016-10-09,4:12:41,2:33:21,0:02:10,1:07:50,0:07:15,0:05:01,9:04:28,3687,0,18
General Medicine,PGY1,S0195201,2016-10-08,2:02:36,0:55:37,0:00:11,0:25:24,0:02:20,0:00:15,3:44:44,1139,0,5
Intensive Care Unit,PGY2+,S0169394,2015-11-30,2:20:24,0:50:47,0:05:27,0:34:42,0:40:24,0:51:20,5:46:55,1594,96,15
General Medicine,PGY2+,S0169406,2016-03-01,1:41:10,0:14:23,0:00:00,0:02:41,0:02:14,0:01:12,2:20:25,977,0,21
Emergency Medicine,PGY1,S0181088,2016-02-04,1:07:41,0:44:41,3:01:41,0:41:46,0:25:27,0:53:02,8:32:23,2663,0,16
Emergency Medicine,PGY1,S0181088,2016-02-05,0:31:02,0:12:11,0:56:26,0:09:02,0:15:44,0:16:21,2:53:43,1049,0,7
Emergency Medicine,PGY1,S0181088,2016-02-06,1:22:22,0:31:39,2:53:26,0:17:13,0:40:44,0:35:26,7:25:42,2508,0,21
Emergency Medicine,PGY1,S0181088,2016-02-07,1:13:32,0:21:33,4:09:32,0:28:24,0:34:00,0:29:26,7:58:12,1994,0,16
General Medicine,PGY1,S0106952,2015-03-30,3:55:03,0:29:56,2:10:31,0:37:42,0:47:07,0:26:42,9:05:01,2464,652,13
Emergency Medicine,PGY1,S0181088,2016-02-01,0:42:32,0:15:56,2:33:51,0:27:49,0:23:21,0:24:55,5:26:20,1562,0,9
Emergency Medicine,PGY1,S0181088,2016-02-03,0:50:06,0:25:41,2:37:06,0:13:16,0:37:04,0:44:21,6:05:05,1528,0,10
Emergency Medicine,PGY1,S0181088,2016-02-08,1:30:26,0:15:22,1:21:32,0:10:21,0:21:50,0:43:29,5:15:48,1822,0,9
Night Team,PGY1,S0109179,2014-08-02,0:56:04,0:09:03,0:03:44,0:16:01,0:05:29,0:19:01,2:01:17,626,52,40
Night Team,PGY1,S0109179,2014-08-01,1:53:04,0:04:35,0:08:55,0:33:54,0:21:35,0:14:43,3:36:23,1244,17,67
General Medicine,PGY1,S0169400,2015-05-04,1:21:52,0:05:54,1:28:34,0:20:23,0:09:48,0:16:17,4:18:13,1068,31,12
Night Team,PGY2+,S0074196,2016-10-06,2:13:13,0:46:00,0:00:21,0:29:08,0:05:40,0:00:09,3:57:14,985,9,20
Night Team,PGY2+,S0074196,2016-10-07,2:00:53,0:59:16,0:00:03,0:22:36,0:07:12,0:06:46,4:04:18,1224,25,20
Night Team,PGY2+,S0074196,2016-10-04,1:32:57,1:23:02,0:00:11,0:22:45,0:06:55,0:00:11,3:48:30,1452,0,17
Night Team,PGY2+,S0074196,2016-10-05,0:41:33,0:16:52,0:00:06,0:14:19,0:13:28,0:04:06,1:37:17,530,0,13
Night Team,PGY2+,S0074196,2016-10-02,1:01:34,0:24:40,0:00:11,0:36:49,0:08:45,0:05:02,2:41:21,973,0,20
Night Team,PGY2+,S0074196,2016-10-03,1:52:58,0:57:07,0:02:22,0:38:33,0:06:36,0:02:11,4:30:53,1483,0,18
Night Team,PGY2+,S0074196,2016-10-01,0:20:07,0:23:02,0:00:00,0:09:48,0:07:16,0:00:14,1:09:21,407,0,12
General Medicine,PGY1,S0195206,2016-10-19,2:21:26,1:21:49,0:06:24,0:34:31,0:17:59,0:12:53,6:07:19,2071,277,18
General Medicine,PGY1,S0195206,2016-10-18,2:27:20,1:43:33,0:00:06,0:17:48,0:24:28,0:12:23,5:49:02,2153,134,18
Night Team,PGY2+,S0074196,2016-10-08,0:42:08,0:22:39,0:00:04,0:10:16,0:01:40,0:00:05,1:22:48,331,0,9
General Medicine,PGY1,S0169400,2015-05-05,0:48:51,0:01:57,0:06:09,0:04:53,0:04:19,0:11:06,1:23:17,454,3,15
General Medicine,PGY1,S0169385,2014-10-30,3:48:19,0:10:28,0:10:19,0:28:02,0:19:58,0:39:03,6:03:48,2157,0,11
General Medicine,PGY1,S0169385,2014-10-31,0:51:45,0:00:18,0:13:57,0:00:08,0:01:40,0:01:25,1:13:51,551,544,13
Intensive Care Unit,PGY2+,S0181081,2016-10-04,0:08:29,0:00:19,0:00:00,0:00:04,0:00:00,0:00:37,0:10:17,49,0,6
Night Team,PGY1,S0195205,2016-09-30,2:25:04,0:51:53,0:00:05,0:56:38,0:27:55,0:03:30,5:23:18,1425,0,34
Intensive Care Unit,PGY2+,S0181081,2016-10-05,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:05,13,0,4
General Medicine,PGY2+,S0169401,2016-01-31,2:40:27,1:13:47,0:05:03,0:57:58,0:23:24,0:35:45,6:34:41,3323,284,39
General Medicine,PGY2+,S0169401,2016-01-30,1:17:17,0:56:10,0:55:10,0:38:21,0:15:12,0:34:51,5:13:58,2530,486,22
General Medicine,PGY1,S0094959,2014-11-30,6:24:16,0:07:39,0:29:58,0:33:57,0:29:22,0:28:45,8:57:04,4131,0,38
Intensive Care Unit,PGY2+,S0079337,2016-06-06,2:18:54,0:30:25,0:08:03,0:21:55,0:19:24,0:04:23,4:03:24,1129,18,16
Night Team,PGY1,S0169394,2014-10-27,3:19:08,0:07:49,0:17:50,0:36:35,0:30:32,0:27:36,5:35:09,1531,0,30
Night Team,PGY1,S0169394,2014-10-26,2:57:56,0:02:29,0:29:50,0:21:30,0:29:43,0:46:13,5:19:39,1228,0,36
Night Team,PGY1,S0169394,2014-10-29,3:03:54,0:04:35,0:03:09,0:16:19,0:30:17,0:16:21,4:27:44,1271,0,36
Night Team,PGY1,S0169394,2014-10-28,3:20:56,0:09:51,0:10:15,0:26:56,0:32:19,0:43:15,5:48:33,2044,89,34
General Medicine,PGY1,S0195203,2016-07-17,2:54:14,1:02:35,0:00:10,0:56:55,0:32:45,0:13:44,6:29:15,1866,160,11
Intensive Care Unit,PGY2+,S0181088,2016-09-30,0:15:22,0:03:30,0:00:00,0:00:19,0:00:00,0:00:00,0:23:31,84,0,12
Emergency Medicine,PGY1,S0169395,2014-11-18,1:03:43,0:00:36,1:24:19,0:11:24,0:24:19,0:20:15,3:59:24,1426,10,16
Emergency Medicine,PGY1,S0169395,2014-11-19,3:39:55,0:07:14,1:42:02,0:33:05,0:20:24,0:32:17,7:17:36,2142,0,50
Night Team,PGY2+,S0181069,2016-06-27,0:18:55,0:24:02,0:01:14,0:01:17,0:01:47,0:00:06,1:07:27,682,0,17
Night Team,PGY2+,S0181069,2016-06-26,1:29:38,1:06:56,0:00:22,0:40:54,0:11:41,0:14:21,4:41:13,1365,6,10
Night Team,PGY2+,S0181069,2016-06-29,2:41:20,1:47:24,0:00:05,0:51:39,0:18:12,0:05:12,6:30:49,2666,0,24
Night Team,PGY2+,S0181069,2016-06-28,1:47:19,0:42:37,0:00:11,0:36:07,0:15:49,0:07:51,4:03:13,1466,56,17
Emergency Medicine,PGY2+,S0106952,2016-10-01,0:34:24,0:35:06,0:01:07,0:00:00,0:03:36,0:00:27,1:16:01,565,565,119
Emergency Medicine,PGY2+,S0106952,2016-10-02,4:46:15,0:41:22,0:10:07,0:26:01,0:13:57,0:03:11,7:05:12,2625,106,62
Emergency Medicine,PGY2+,S0106952,2016-10-03,5:48:25,1:06:23,0:32:21,0:21:26,0:23:06,0:08:09,9:08:08,3095,251,85
Emergency Medicine,PGY2+,S0106952,2016-10-04,1:01:07,0:36:57,0:02:29,0:00:00,0:00:29,0:00:06,1:51:05,983,868,99
General Medicine,PGY1,S0195220,2016-07-27,1:50:24,0:40:50,0:00:30,0:32:24,0:15:14,0:00:04,3:43:27,1018,117,7
Emergency Medicine,PGY2+,S0106952,2016-10-06,4:30:02,0:58:07,0:22:57,0:20:06,0:10:43,0:01:28,7:09:55,2510,138,78
Emergency Medicine,PGY2+,S0106952,2016-10-07,3:20:08,0:25:31,0:04:04,0:05:32,0:05:38,0:06:40,4:42:04,1464,11,45
Emergency Medicine,PGY2+,S0106952,2016-10-08,0:18:39,0:29:38,0:00:00,0:00:00,0:00:08,0:00:01,0:49:24,436,436,43
General Medicine,PGY1,S0195220,2016-07-28,2:54:53,1:46:39,0:00:04,0:49:54,0:27:02,0:02:45,6:37:24,1875,362,10
General Medicine,PGY1,S0195220,2016-07-29,0:13:11,0:02:45,0:00:01,0:01:09,0:00:27,0:00:03,0:18:51,128,117,9
Emergency Medicine,PGY1,S0169395,2014-11-16,2:47:15,0:04:55,2:19:20,0:46:52,0:55:19,0:45:22,8:20:06,2535,0,20
General Medicine,PGY2+,S0163662,2015-12-31,2:42:07,1:03:45,0:21:26,1:44:15,0:54:24,0:43:55,8:03:18,2878,209,15
Emergency Medicine,PGY1,S0169395,2014-11-17,2:42:40,0:07:22,1:58:15,0:42:14,0:28:25,0:52:03,7:43:34,2571,0,25
General Medicine,PGY2+,S0163662,2015-12-30,1:46:11,0:28:55,0:03:18,0:11:14,0:20:26,0:22:45,3:41:21,1450,0,19
Emergency Medicine,PGY1,S0169395,2014-11-10,0:05:35,0:00:00,0:10:23,0:00:00,0:00:00,0:00:00,0:16:00,27,25,4
General Medicine,PGY1,S0195203,2016-07-19,0:00:00,0:00:00,0:00:00,0:00:29,0:00:00,0:00:00,0:00:29,14,0,5
General Medicine,PGY2+,S0169402,2016-06-30,2:05:31,0:50:52,0:00:01,0:35:06,0:14:13,0:13:33,4:47:34,2311,387,24
Night Team,PGY1,S0169398,2015-05-24,2:57:45,0:33:06,1:47:24,0:23:57,0:19:32,0:55:16,7:16:05,1996,43,31
General Medicine,PGY1,S0181077,2015-12-31,0:06:57,0:19:21,0:21:50,0:09:34,0:04:10,0:00:22,1:07:53,579,553,12
General Medicine,PGY1,S0181077,2015-12-30,3:01:22,1:20:18,1:07:50,0:50:57,0:31:45,0:22:55,7:44:56,3242,14,32
Emergency Medicine,PGY2+,S0172645,2016-11-04,0:00:41,0:00:06,0:00:00,0:00:00,0:00:00,0:00:00,0:01:07,20,0,5
Emergency Medicine,PGY2+,S0172645,2016-11-03,3:23:45,0:38:32,0:00:35,0:37:52,0:45:31,0:01:09,6:00:56,1660,0,49
Emergency Medicine,PGY2+,S0172645,2016-11-02,1:57:10,0:12:11,0:01:00,0:25:55,0:48:33,0:02:27,3:57:52,1224,0,20
Emergency Medicine,PGY2+,S0172645,2016-11-01,2:57:15,0:32:51,0:01:29,0:22:20,0:21:59,0:06:46,4:44:27,1150,0,57
General Medicine,PGY1,S0181070,2015-09-11,2:43:49,0:01:51,1:37:25,0:10:10,0:10:30,0:06:54,5:26:10,1419,0,13
General Medicine,PGY1,S0169386,2014-12-24,0:00:00,0:02:10,0:00:00,0:00:00,0:00:00,0:05:36,0:08:04,64,58,6
General Medicine,PGY1,S0169386,2014-12-25,2:27:15,0:16:05,2:21:40,0:33:55,0:25:35,1:08:09,8:01:33,2828,18,16
General Medicine,PGY1,S0169386,2014-12-26,2:33:51,0:21:18,1:11:38,0:53:14,0:23:04,0:56:43,7:06:53,2205,78,16
General Medicine,PGY1,S0169386,2014-12-27,0:00:00,0:00:00,0:00:00,0:03:36,0:00:00,0:00:01,0:05:09,17,9,5
General Medicine,PGY1,S0169386,2014-12-20,2:29:48,0:06:11,2:50:38,0:56:50,0:34:29,0:30:57,7:59:56,2180,0,12
General Medicine,PGY1,S0169386,2014-12-21,1:24:36,0:03:09,0:27:13,0:21:42,0:16:30,0:48:22,3:43:05,1581,171,11
General Medicine,PGY1,S0169386,2014-12-22,1:50:14,0:06:06,0:51:50,0:19:58,0:12:13,0:25:31,4:21:13,1305,54,23
General Medicine,PGY1,S0169386,2014-12-23,2:49:40,0:08:48,2:21:49,1:08:28,0:26:07,0:52:15,8:33:23,2653,32,13
General Medicine,PGY1,S0169386,2014-12-28,3:00:41,0:21:09,1:28:02,0:43:43,0:32:39,0:31:10,7:05:14,2972,81,15
General Medicine,PGY1,S0169386,2014-12-29,2:42:07,0:13:30,0:50:11,0:51:06,0:23:53,0:32:08,6:09:37,2490,80,8
Night Team,PGY1,S0172056,2016-02-27,1:12:08,0:59:09,0:00:04,0:28:49,0:19:03,0:03:05,3:27:26,1271,0,22
Night Team,PGY1,S0172056,2016-02-26,0:59:56,0:13:11,0:00:00,0:22:33,0:24:23,0:02:30,2:13:48,867,40,30
Night Team,PGY1,S0172056,2016-02-25,1:40:48,0:35:27,0:00:00,0:19:26,0:37:56,0:02:09,3:33:55,1591,207,38
Night Team,PGY1,S0172056,2016-02-24,1:08:39,0:10:24,0:00:00,0:24:58,0:24:32,0:05:46,2:40:17,1088,0,25
Night Team,PGY1,S0172056,2016-02-23,1:41:43,1:01:32,0:00:04,0:47:42,0:16:25,0:05:06,4:09:20,1705,105,33
Night Team,PGY1,S0172056,2016-02-22,1:52:02,0:45:30,0:00:04,0:33:29,0:19:48,0:01:03,3:49:56,1199,0,39
Night Team,PGY1,S0172056,2016-02-21,0:42:11,0:13:34,0:00:00,0:20:54,0:10:39,0:00:27,1:38:07,501,0,14
Night Team,PGY1,S0172056,2016-02-20,0:24:23,0:27:19,0:00:14,0:25:28,0:07:41,0:00:00,1:33:24,656,0,9
Emergency Medicine,PGY1,S0169389,2014-10-09,5:45:52,0:24:34,1:26:54,0:41:22,0:48:22,0:37:58,10:38:16,3023,0,43
Emergency Medicine,PGY1,S0169389,2014-10-08,4:37:56,0:08:07,0:42:11,0:16:03,0:22:36,0:23:38,6:47:53,1952,29,46
Emergency Medicine,PGY1,S0169389,2014-10-05,0:16:34,0:00:02,0:00:36,0:00:00,0:00:02,0:00:00,0:19:42,140,140,11
Emergency Medicine,PGY1,S0169389,2014-10-04,5:10:33,0:04:04,1:09:03,0:22:06,0:33:28,0:29:01,8:31:31,2718,0,37
Emergency Medicine,PGY1,S0169389,2014-10-07,2:54:05,0:11:25,0:34:27,0:12:09,0:17:47,0:21:50,4:47:39,1434,0,33
Emergency Medicine,PGY1,S0169389,2014-10-06,2:32:51,0:04:19,0:33:22,0:03:32,0:07:09,0:11:31,3:41:39,1127,0,38
Emergency Medicine,PGY1,S0169389,2014-10-01,0:46:04,0:00:00,0:05:25,0:10:42,0:10:05,0:09:00,1:55:35,490,411,14
Emergency Medicine,PGY1,S0169389,2014-10-03,5:24:09,0:14:43,0:48:26,0:29:13,0:29:53,0:33:38,8:54:09,2841,0,44
Emergency Medicine,PGY1,S0169389,2014-10-02,7:10:13,0:19:23,0:49:24,0:22:59,0:27:18,0:29:29,10:22:04,2575,0,48
Night Team,PGY2+,S0169400,2015-11-12,3:24:24,1:01:51,1:01:12,0:25:44,0:16:31,0:29:43,6:57:56,1656,22,46
Night Team,PGY2+,S0169400,2015-11-13,3:11:03,1:02:11,2:01:56,0:11:39,0:06:34,0:34:24,7:31:59,1929,53,78
Night Team,PGY2+,S0169400,2015-11-10,2:09:55,1:10:23,2:27:07,0:28:37,0:07:49,0:30:13,7:16:07,1780,93,44
Night Team,PGY2+,S0169400,2015-11-11,3:44:07,0:55:08,1:28:01,0:19:51,0:12:43,0:22:18,7:18:29,1821,0,64
Emergency Medicine,PGY1,S0195210,2016-07-21,1:16:22,0:02:42,0:05:02,0:14:05,0:05:17,0:00:03,2:09:55,503,0,5
Emergency Medicine,PGY1,S0195210,2016-07-20,0:05:08,0:00:58,0:00:00,0:00:00,0:00:01,0:00:00,0:07:55,44,16,2
Emergency Medicine,PGY1,S0195210,2016-07-23,0:00:00,0:00:42,0:00:00,0:00:00,0:00:00,0:00:00,0:00:51,15,15,2
Emergency Medicine,PGY1,S0195210,2016-07-22,0:20:55,0:00:48,0:01:24,0:00:46,0:00:01,0:00:17,0:29:09,126,126,7
General Medicine,PGY2+,S0169384,2016-07-10,2:33:35,1:24:55,0:00:16,1:05:43,0:31:54,0:05:25,6:21:57,1732,540,16
Emergency Medicine,PGY1,S0181082,2016-03-14,1:22:00,0:26:53,0:02:06,0:24:18,0:31:29,0:01:10,3:08:30,1086,1,9
Night Team,PGY1,S0106952,2014-12-15,2:45:30,0:10:43,4:07:06,0:26:38,0:32:20,0:41:35,8:57:38,1726,177,53
General Medicine,PGY1,S0195220,2016-07-31,1:35:32,0:58:16,0:00:05,0:29:39,0:16:45,0:01:36,3:53:18,1008,162,23
Emergency Medicine,PGY1,S0181057,2015-08-10,5:31:05,0:24:28,1:44:36,0:10:42,0:34:39,0:13:31,9:01:54,2771,0,36
General Medicine,PGY1,S0195220,2016-07-30,2:44:51,1:45:46,0:00:01,1:20:39,0:16:56,0:00:43,6:47:45,1841,79,10
Emergency Medicine,PGY1,S0181063,2016-06-15,1:44:31,1:51:56,0:00:36,0:30:03,0:39:26,0:39:15,6:04:50,2214,319,16
General Medicine,PGY1,S0181088,2015-07-28,1:30:44,0:14:43,2:11:07,0:54:25,0:31:07,0:20:38,6:35:07,1990,10,11
Emergency Medicine,PGY1,S0181063,2016-06-17,0:07:15,0:44:34,0:00:04,0:12:59,0:04:29,0:00:11,1:27:46,454,454,6
Emergency Medicine,PGY1,S0181063,2016-06-10,1:10:36,1:25:07,0:00:45,0:25:01,0:54:24,0:42:09,5:16:33,2479,426,13
Emergency Medicine,PGY1,S0181063,2016-06-11,0:47:22,1:11:24,0:03:12,0:21:17,0:27:05,0:18:58,3:33:58,1288,200,17
Emergency Medicine,PGY1,S0181063,2016-06-12,1:16:25,1:06:32,0:04:13,0:27:23,0:48:01,0:34:14,4:49:27,1935,0,26
Emergency Medicine,PGY1,S0181063,2016-06-13,1:01:58,0:49:28,0:03:25,0:38:42,0:35:33,0:13:48,3:35:42,2069,960,29
General Medicine,PGY1,S0181088,2015-07-22,1:43:45,0:06:52,2:03:51,0:40:37,0:23:31,0:17:38,5:41:26,1152,56,6
General Medicine,PGY1,S0181088,2015-07-23,1:22:09,0:05:08,2:43:26,0:30:36,0:13:58,0:16:39,5:41:27,1333,43,6
General Medicine,PGY1,S0181088,2015-07-20,0:54:27,0:01:21,1:20:02,0:35:31,0:25:53,0:14:18,3:57:26,1151,162,8
General Medicine,PGY1,S0181088,2015-07-21,2:26:20,0:12:59,1:46:04,0:38:58,0:27:12,0:15:12,6:20:54,1664,76,6
Emergency Medicine,PGY1,S0181063,2016-06-18,1:18:19,1:30:17,0:07:35,0:28:18,0:34:46,0:33:05,5:33:45,2627,243,18
Emergency Medicine,PGY1,S0181063,2016-06-19,0:05:04,0:49:34,0:00:00,0:02:58,0:00:00,0:00:07,1:01:13,916,916,16
General Medicine,PGY1,S0181088,2015-07-24,0:08:28,0:00:00,0:02:02,0:00:00,0:00:04,0:00:00,0:10:58,69,67,4
General Medicine,PGY1,S0181088,2015-07-25,0:37:40,0:00:34,1:00:14,0:25:26,0:21:38,0:06:32,2:58:20,632,38,3
Night Team,PGY2+,S0169385,2016-08-17,2:03:36,1:03:35,0:00:11,0:20:31,0:10:35,0:23:14,4:36:51,1795,60,31
General Medicine,PGY2+,S0169384,2016-07-16,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,12,0,2
General Medicine,PGY1,S0181081,2016-06-10,0:05:05,0:00:44,0:00:00,0:00:43,0:00:00,0:00:00,0:06:40,38,24,7
Intensive Care Unit,PGY2+,S0169386,2016-07-15,0:00:54,0:00:04,0:00:00,0:00:00,0:00:00,0:00:00,0:01:05,16,0,4
Intensive Care Unit,PGY2+,S0169386,2016-07-14,1:15:55,0:17:17,0:06:54,0:14:22,0:06:21,0:01:37,2:15:48,624,9,34
Intensive Care Unit,PGY2+,S0169386,2016-07-16,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,18,0,3
Intensive Care Unit,PGY2+,S0169386,2016-07-11,3:06:33,0:26:46,0:06:01,0:22:14,0:08:08,0:11:04,4:52:54,1600,0,38
Intensive Care Unit,PGY2+,S0169386,2016-07-10,4:39:58,0:46:24,0:04:03,1:17:39,0:25:22,0:30:43,8:29:59,2415,58,19
Intensive Care Unit,PGY2+,S0169386,2016-07-13,1:58:43,0:43:02,0:12:45,0:20:13,0:18:51,0:13:05,4:09:08,1518,187,20
Intensive Care Unit,PGY2+,S0169386,2016-07-12,3:41:33,0:39:34,0:14:15,0:28:10,0:27:04,0:11:33,7:04:54,2299,0,34
General Medicine,PGY1,S0181063,2015-12-30,0:01:05,0:05:27,0:01:17,0:00:17,0:00:12,0:01:00,0:10:55,358,358,7
General Medicine,PGY2+,S0169384,2016-07-15,2:28:06,1:53:53,0:00:39,0:40:52,0:20:34,0:12:26,6:03:54,2227,431,20
General Medicine,PGY1,S0181060,2015-11-23,1:34:05,0:38:35,1:39:33,0:40:11,0:28:13,0:19:29,5:51:16,1477,0,21
General Medicine,PGY1,S0181060,2015-11-22,1:03:08,0:52:26,1:15:15,0:34:49,0:13:34,0:15:39,4:50:48,1363,0,6
General Medicine,PGY1,S0181060,2015-11-21,1:58:51,1:38:14,2:28:05,0:48:21,0:22:50,0:17:01,8:23:00,2392,0,9
