,group_lab_name
"HIV 1 DNA PCR, Qual",16
Unlisted Lab: Clobazam level,16
Unlisted Lab: Hematologics quantitative PCR for CBFA2T3-GLIS2 fusion,16
Unlisted Lab: urine succinylacetone,16
"Protein S, Free",16
Unlisted Lab: ZnT8 antibody (Zinc Transporter Antibody),16
Unlisted Lab: Comprehensive Myositis Autoantibody Profile,16
Unlisted Lab: Emory cholestasis panel,16
Estradiol Level (Adult),16
"Hepatitis E Antibody, IgG",16
"Cocci ID, Serum (Initial Diagnosis)",15
"Cancer Somatic Mutation Pnl, Blood",15
HLA Crossmatch Summary,15
HLA Miscellaneous Test,15
Dehydroepiandrosterone,15
Unlisted Genetic Test,15
"Bilirubin Total, FLD",15
Ethosuximide Level,15
Ibuprofen Level,15
Arbovirus AB Panel,15
CD4 Count,15
Giardia Screen w/ Reflex O P,15
Unlisted Lab: C3a,14
Unlisted Lab: Please collect 1 ml blood into a gold top tube (SST).,14
Unlisted Lab: GeneDx Comprehensive Cardiomyopathy Panel (test #694),14
"PML/RARA, Quantitative, Non-Blood",14
Unlisted Lab: C4a,14
"Porphyrins, Fecal Fract",14
Unlisted Lab: Peritoneal fluid phosphate,14
Neutrophil and HLA Antibody Screen,14
"VMA and HVA, Pediatric, Urine",14
Unlisted Lab: Cunningham panel,14
HLA Wait List Status Change,14
Unlisted Lab: Super Coombs,14
"Unlisted Lab: Aspergillus real- time PCR panel from the blood to Viracor. Test code 8900, CPT 87798",14
Unlisted Lab: P155/140 by Western Blot,14
Unlisted Lab: Phosphorus - peritoneal fluid,14
Unlisted Lab: whole exome sequencing,14
Unlisted Lab: Humira (Adalimumab) level,14
"Aspergillus Precipitins ID, Serum",14
Unlisted Coagulation Lab Order,14
Unlisted Lab: Gene DX Epilepsy Panel,14
Cryoprotein,14
IBD SGI Diagnostic,14
Factor II Assay,14
"Unlisted Lab: 1,3 beta D glucan",14
Heme-STAMP NGS Panel,14
Thyroxine Total,14
Cholesterol HDL/Tot,14
Unlisted Lab: Peritoneal fluid phosphorus,14
"Unlisted Lab: Aspergillus PCR, send to FOCUS (code 87798)",14
Unlisted Lab: Mayo Clinic Autoimmune Encephalitis Panel,14
Unlisted Lab: aspergillus PCR,14
"Myeloid Panel, Blood",13
"Magnesium, Urine Timed",13
CSF Culture/GS --Tube #1,13
Anti RNP Antibody,13
Direct LDL Cholesterol,13
Immune Cell Function,13
Unlisted Hematology Lab Order,13
Chromogranin A,13
"Cocci CF AB, Serum",13
"Legionella Antigen, Urine",13
Soluable Transferrin Receptor,13
"Lipase, Fld",13
Factor XIII Assay,13
"Calcitriol (1,25-Dihydroxyvitamin D)",12
"N Methyl D Aspartate Receptor Ab, IgG",12
Androstenedione,12
Pancreatitis Panel,12
"Vitamin B3, Ser/Plas",12
Phosphatidylserine Ab Panel,12
Valproic Acid Level Free and Total,12
HIV Type 1 and Type 2 Antibody,12
Inflammatory Bowel Disease Panel,12
"Heme-STAMP NGS Panel, Blood",12
Miscellaneous Special Coagulation,12
"BCR ABL Quant, Non-Blood",12
"ALPHA FETOPROTEIN, TOTAL&L3%",12
"Calreticulin, Blood",12
"Zika Virus Qualitative, RT-PCR, Blood",12
Heparin Induced Thrombocytopenia Panel,12
"Phosphorus, Urine Timed",12
Oxcarbazepine Metabolite Level,12
"Copper, 24Hour, Urine",12
"Minimal Residual Disease, BM",12
"Adenovirus DNA, PCR Quantitative",12
"Cortisol Level, Post Op",12
CAH Ped Profile 6 Comp SCN,12
"5 OH Indoleacetic AC, Urine",12
CD4 CD8 Panel,11
Creatin Kinase and CKMB,11
Hemochromatosis Genotyping Analysis,11
"Drug Screen, Prescrip/OTC",11
ABO Discrepancy,11
"Occult bld, Guaiac Colorectal Scn",11
"Pyruvic Acid, CSF",11
Worm ID,11
Zinc Transporter 8 Antibody,11
"Dengue Virus RT-PCR, Blood",11
HLA Addl Specimen Recipient-Ab Scn/XM,11
"Electrolyte Panel, UR",11
"AFP, CSF",11
"Fatty Acids, Free",11
Neuron Antibody,10
Factor XII Assay,10
"Angiotensin Covert Enz, CSF",10
Malaria Screen by Nucleic Acid Amplification,10
Anti Neutrophil Antibody,10
"Heavy Metals Panel, Urine",10
Blood Parasite Exam (not malaria),10
"Bicarbonate, Urine",10
"Hgb S, Quant",10
"Pediatric Testosterone, Total",10
GQ1B AB,10
"Herpes Virus 6 IgG IgM, AB",10
"Leptospira Ab, IgM",10
Busulfan Start of Infusion + 5 Hours,10
"Bile Acids, Fractionated and Total",10
Ristocetin Co-Factor,10
HLA Prospective Crossmatch Testing,10
HIV-1/2 Antibody Differentiation,10
"5 Methyltetrahydrofolate Level, CSF",10
Donor HIV1 HIV2 AB Scn w/reflex,10
"Chloride, FLD",10
"HCG Beta-Subunit QN, CSF",10
"GBM Antibody, IgG",10
Fluconazole Level,10
PT Inhibitor Screen,10
Anti-Mullerian Hormone Level,9
Neuron Spec Enolase,9
AML Prognosis Assay,9
APC Resistance Profile,9
"Hematocrit, Fluid",9
"Istat CG4, Circuit",9
Busulfan Start of Infusion + 6 Hours,9
Cold Panel Screen,9
"Istat CG4, Mixed Venous",9
C4a Level,9
Busulfan End of Infusion,9
"Viral Culture, Fluid",9
Humoral Immunity Panel,9
Busulfan 15 Min Post Infusion,9
Busulfan Start of Infusion + 4 Hours,9
"Complement C4, Functional",9
GC Culture Screen,9
Mycoplasma Antibody IgG IgM,9
"Myelin Basic Protein, CSF",9
"Potassium, Urine Timed",9
"Porphyrins, Serum",9
Hypersensitivity Pneumonitis Pnl,9
Drug Abuse Survey 9 w/Confirmation,9
Unlisted Genetic Test: Hereditary Myeloid Malignancy and Inherited Bone Marrow Fiailure Panel (UChicago),8
Unlisted Lab: Hold for possible confirmatory lead testing wth the state lab.  Draw in Royal blue top tube and save at 4 degrees C in lab.,8
Unlisted Lab: 19727 quest HHV7,8
Unlisted Lab: T cell degranulation assay to Cincinnati Children's.  See requisition.,8
Unlisted Lab: MRD peripheral blood to UW send out. CRA to bring requisition. 3-4 mL in purple (EDTA). Draw during day shift,8
Unlisted Genetic Test: Peripheral blood MRD day 8 Adaptive-NGS,8
Unlisted Genetic Test: Liver gylcogen storage disorder panel (sendout to Invitae),8
Unlisted Lab: Invitae Epilepsy panel,8
Unlisted Lab: Pancreatic enzyme determination to KaleidaHealth Buffalo,8
Unlisted Lab: Porphobilinogen deaminase (PBGD) to Mayo.  See attached form for instructions.,8
"Unlisted Lab: ENS1 Encephalopathy, Autoimmune Evaluation, Serum - Mayo Clinic",8
Unlisted Lab: Sendout MAYO Test ID: ENC1; Neurology Specialty Testing REQ (T732),8
Unlisted Lab: Pleximmune Test,8
"Unlisted Lab: Send-out to Cincinnati Children's: TMA Complement Panel. 1mL serum in red-top tube, spun, separated, frozen within 2 hours of collection; ship on dry ice.",8
Unlisted Lab: Aspergillus PCR (Quest test code 18873),8
Unlisted Lab: Please send cocci antgent to Mayo/Mirvista,8
Unlisted Genetic Test: 3-5ml in EDTA  (provided). Deletion-duplication test SLC29A3. Order requisition in chart.,8
Unlisted Lab: TH17 Enumeration 2-3ml sodium heparin tube,8
Unlisted Lab: Dissacharidase Assay Intestinal biopsy,8
Unlisted Lab: C3G Functional Panel to be sent to University of Iowa Lab,8
Unlisted Genetic Test: Emory neonatal cholestasis panel.,8
"Unlisted Lab: Coccidioides Quantitative Ag EIA, MiraVista Diagnostics",8
Unlisted Lab: Ganglioside antibody panel,8
Unlisted Lab: Perforin / Granzyme B,8
Unlisted Lab: urine coccidiodes antigen send out to Mira Vista,8
Unlisted Genetic Test: Machaon Diagnostics aHUS Genetic Panel. Please draw 3mLs in EDTA tube.,8
Unlisted Lab: serum oxalate,8
Unlisted Genetic Test: Very long chain fatty acids,8
Unlisted Lab: Aspergillus PCR for speciation on BAL fluid,8
Unlisted Lab: Please draw red plain or green top heparin tube and send for clobazam level,8
"Unlisted Lab: Send-out to Cincinnati Children's: SC5b-9 (MAC Complex). 0.5mL plasma in EDTA, spun, separated, frozen within 2 hours of collection; ship on dry ice.",8
Unlisted Lab: Urine carbohydrate sendout to Mayo Clinic,8
Unlisted Lab: Fungal Isolator Culture,8
"Unlisted Lab: Porphyrins, feces to Mayo.  See attached form for instructions.",8
Unlisted Lab: 11 beta prostaglandin F2 alpha,8
Unlisted Lab: CMV Stool PCR,8
Unlisted Lab: Measles IgG and IgM from CSF,8
Unlisted Lab: Cincinatti Childrens: Pancreatis Panel 10 gene,8
Unlisted Lab: ZNT8 (Zinc transportor 8),8
Unlisted Genetic Test: Hereditary Sarcoma Panel,8
Unlisted Lab: Urine sample - Mayo send out test ID: CHOU,8
Unlisted Lab: Invitae cardiomyopathy and neuromuscular genetic test,8
Platelet Antibody ID Panel,8
Unlisted Genetic Test: Atypical HUS genetic panel to send to Machaon Diagnostics,8
Unlisted Lab: Pleximmune: Send 5mL NA heparin mint top tube with paperwork to lab,8
"Unlisted Lab: Perforin/granzyme B, CD107a functional testing, to be sent to Cincinatti lab along with NK Function",8
Unlisted Lab: 3 mL purple top,8
Unlisted Lab: NP swab for enterovirus,8
"Unlisted Lab: Porphobilinogen Quant, Urine RANDOM",8
Unlisted Lab: Invitae epilepsy genetics panel. 3cc whole blood in purple top tube.,8
"Unlisted Lab: MOGFS: Myelin Oligodendrocyte Glycoprotein (MOG IgG1) Fluorescence-Activated Cell Sorting (FACS) Assay, Serum",8
Unlisted Lab: Cocci antigen,8
Unlisted Lab: aHUS Genetic Panel,8
Unlisted Lab: Autoimmune encephalopathy panel-ENS1,8
Unlisted Lab: CD107a - Cincinnati Children's Diagnostic Immunology Lab (see accompanying lab requisition form for complete send out information,8
Unlisted Lab: IgG index,8
"Unlisted Lab: Adenosine Deaminase, Pleural Fluid , Order Code : 12721R",8
Unlisted Lab: Zinc transporter 8 antibody,8
Unlisted Genetic Test: Familial Hypertriglyceridemia NGS Panel,8
Unlisted Genetic Test: Pancreas Panel by Next-Generation Sequencing at Cincinatti Children's,8
"Unlisted Genetic Test: Custom Panel, send out to Prevention Genetics",8
Unlisted Genetic Test: Hereditary cancer panel,8
Unlisted Lab: Focus Diagnostics Rickettsial Panel,8
"Unlisted Lab: C2 level by RID sent to Advanced Diagnostic Laboratories National Jewish Health, Complement Laboratory. Test code: C2L",8
Unlisted Lab: anti liver cytosol antibody (LC-1),8
Unlisted Genetic Test: Whole exome sequencing to Baylor. Test requisition form scanned and in chart.,8
"Unlisted Lab: 10mL peripheral blood in EDTA, keep at room temperature, to be sent to send out lab with requisition form (Repeat Dx) in green binder",8
Unlisted Lab: Clobazam serum level. ARUP test code: 2008597,8
"Unlisted Lab: Aspergillus PCR sendout, EDTA lavender tube 3 ml of whole blood",8
Unlisted Lab: bone marrow to UW for MRD,8
"Unlisted Genetic Test: GeneDx send out lab test # 941 hereditary spastic paraplegia panel, please draw 2-5 mL Blood - Lavender Top Tube and send with requisiton form provided",8
Unlisted Genetic Test: MTHFR,8
Unlisted Lab: MRD for Day 8 (please draw on 10/14): RN to Draw 5 ml peripheral blood (EDTA) purple Top Tube. DRAW BLOOD PRIOR TO ADMINISTRATION OF ANY CHEMO OR IT MEDS,8
Unlisted Lab: calcium,8
Unlisted Lab: Blood sendout to Mayo - ENS1,8
"Unlisted Lab: Aminolevulinic Acid, Urine RANDOM",8
"Cocci CF AB, Serum (Follow-up Only)",8
Unlisted Lab: Test ID: ENC1,8
"Unlisted Genetic Test: Bartter Syndrome Genetic Testing through CTGT, CPT 5393.",8
Unlisted Genetic Test: Send-out Cincinnati Children's: CD107a Mobilization (NK Cell Degran),8
"Unlisted Lab: Urine bile acids, send out to Cincinnati Children's.",8
Unlisted Lab: ZnT8,8
"Unlisted Lab: Add-On TesT for GeneDx: IKBKG (exon level coverage of exons 1 and 2, the remainder of the gene is large events only",8
"Histoplasma Antigen, CSF",8
Unlisted Lab: Send out to University of Chicago: Comprehensive congenital hyperinsulinsim panel,8
Unlisted Lab: CDS1 panel,8
Unlisted Lab: ZnT8 (Zn Transporter),8
"Unlisted Genetic Test: Prevention Genetics Custom Gene Panel CPT Codes: 81408x1, 81479x4, 81479x5.  ICD-10 code: Q04.6.",8
Unlisted Genetic Test: CSF neopterin. Sendout to MNG NC02,8
carBAMazepine Level,8
Unlisted Lab: Anti-liver cytosol (anti-LC1),8
Unlisted Lab: Invitae Congenital Heart Disease Panel,8
Unlisted Lab: To be sent to Invitae for inherited arrhytmia and cardiomyopathy panel. Paper order to be delivered with sample,8
"Unlisted Lab: mayo, test code FCLBZ",8
Unlisted Lab: Send out Specialty Lab to Kaleida Health Women and Children's Hospital Buffalo Pancreatic Enzyme Analysis,8
Unlisted Lab: ZNT8 antibody --zinc transferase antibody as part of AI diabetes workup,8
Unlisted Lab: Mayo Medical Lab ENCEC - CSF encephalopathy autoimmune panel,8
Unlisted Lab: Cincinatti Children's CD107a,8
Unlisted Lab: CSF EBV Quantative PCR,8
Unlisted Lab: breakage studies for fanconi anemia to be sent to inpatient lab,8
Unlisted Genetic Test: GeneDx: Comprehensive Brain Malformation Panel  (Test code 691),8
Unlisted Genetic Test: NGS peripheral blood MRD,8
inFLIXimab Antibodies,8
Unlisted Genetic Test: Rhabdoid tumor panel sent to Invitae,8
Unlisted Genetic Test: TP53 Genetic Test through Invitae,8
Unlisted Lab: Tacrolimus level,8
Unlisted Lab: Mayo panel ENC1,8
Unlisted Lab: Lyme PCR from CSF,8
Unlisted Lab: Onfi serum level,8
Unlisted Genetic Test: send out test to iowa (kidney seq),8
Unlisted Genetic Test: S-C5B9 at Machaon Diagnostics,8
Filaria IgG4 Antibody,8
Unlisted Genetic Test: Invitae Gene Panel PR01101.05 and PR01106.02. ICD-10 Code: Z15.09,8
Unlisted Lab: Mayo autoimmune encephalopathy panel (test code ENS1),8
Unlisted Lab: Day 8 peripheral blood MRD send out to University of Washington Clinical Lab,8
Unlisted Lab: CD33 Single Nucleotide Polymorphism Analysis for Gemtuzumab Ozogamicin,8
Unlisted Genetic Test: Peripheral blood MRD to Adaptive,8
Unlisted Lab: DAT NEGATIVE HEMOLYTIC ANEMIA EVALUATION,8
Unlisted Genetic Test: Peripheral blood MRD for NGS,8
Unlisted Lab: 5mL peripheral blood in EDTA,8
Unlisted Genetic Test: clonoSEQ Next Generation Sequencing,8
"Unlisted Genetic Test: Blueprint genetics. Order ID 63270, test code PU0501. Please obtain 2ml blood in EDTA tube. Order form to be with sample with DOB, name, MRN",8
Unlisted Lab: bone marrow to UW from MRD,8
Unlisted Lab: MMP7,8
Unlisted Genetic Test: CSF 5- Methyltetrahydrofolate send out to MNG. NC01,8
Unlisted Genetic Test: Craniosynostosis code 5087; Draw 2-3 ML in purple with requisition attached,8
"Unlisted Lab: Toxoplasmosis IgM- please sent to PAMF, do not do in house test",8
Unlisted Lab: Invitae Congenital Heart Diseease and Heterotaxy Panel,8
Unlisted Genetic Test: hereditary cancer panel,8
"Unlisted Lab: SIALIC ACID (CSF) SENDOUT TO MNG LABS, TEST CODE NC07",8
"Unlisted Lab: NEUROTRANSMITTER METABOLITES (5HIAA, HVA, 3OMD) (CSF), sendout to MNG labs, test code NC04",8
"Unlisted Lab: PYRIDOXAL 5'-PHOSPHATE (CSF), SENDOUT TO MNG LABS, TEST CODE NC05",8
"Unlisted Lab: SUCCINYLADENOSINE (CSF), SENDOUT TO MNG LABS, TEST CODE NC06",8
"Unlisted Lab: 5-Methyltetrahydrofolate (CSF) , sendout to MNG labs, text code NC01",8
"Unlisted Lab: Mayo autoimmune encephalitis panel, test code ENC1. sendout to Mayo labs",8
"Unlisted Lab: Unlisted Lab: SC5b-9 Level (MAC), sendout",8
Unlisted Lab: Mayo panel ENS1,8
Unlisted Lab: 3mL in EDTA x2 (total of 6mL separated into 2 tubes) - send out to Invitae,8
Unlisted Lab: Anti Enteroctye Antibody from Children's Hospital of Philadelphia,8
"Unlisted Genetic Test: Creatine Panel, send out to Baylor Laboratories",8
"ACT, Istat Kaolin Other",8
Unlisted Lab: HemePath to Univ of Washington (MRD Day 29),8
Unlisted Lab: epilepsy genetic testing; sendout to invitae test code 03401,8
Unlisted Lab: tracking test,8
Unlisted Lab: coccidioidomycosis antigen from the urine to miravista laboratory,8
Unlisted Lab: Mayo Clinic  Autoimmune Encephalitis Panel (from serum) Test ID: ENCEC,8
Unlisted Genetic Test: Peripheral blood MRD for Adaptive NGS,8
Unlisted Lab: onfi serum level,8
Unlisted Lab: MTHFR mutation,8
Unlisted Genetic Test: Cincinnati Children's Heritable Pancreatic Disease Testing,8
Unlisted Genetic Test: Dual Genome Panel by Massively Parallel Sequencing (BCM-MitomeNGSSM)- send to Baylor Genetics with paper requisition,8
Unlisted Lab: phenylbutyrate metabolite analysis- blood; send out to Baylor,8
Unlisted Lab: phenylbutyrate metabolite analysis; urine; send out to Baylor,8
Unlisted Genetic Test: C3 Glomerulopathy Genetic Panel (Machaon Diagnostics),8
Sex Hormone Binding Globulin,8
Unlisted Lab: SERUM - Autoimmune encephalopathy panel to Mayo Clinic.  Test ID ENS1.  NEEDS 4 mL serum in RED TOP TUBE,8
Unlisted Genetic Test: NUD/CEP/TMPT Panel,8
Unlisted Genetic Test: send out test to Prevention Genetics,8
Unlisted Lab: zinc transporter ab (ZNT8),8
Unlisted Lab: 3-5mL Na Green Top for Pleximmune,8
Unlisted Lab: perforin sendout to cincinnati 1ml pink tube,8
Unlisted Genetic Test: Invitae Epilepsy Panel- sendout,8
Unlisted Lab: Rickettsia Antibody Panel,8
Unlisted Genetic Test: Craniosynostosis NGS Panel ( Sequencing and del/dup) to CTGT,8
Unlisted Lab: ultrasensitive DAT (super coombs),8
Unlisted Genetic Test: Invitae Cancer panel order #01101,8
Unlisted Lab: CSF sendout to Mayo - ENC1,8
Unlisted Lab: ganglioside antibody panel to ARUP 0051033,8
Unlisted Lab: anti-ganglioside ab panel: mayo GM1B,8
Unlisted Lab: CSF send out to Mayo - ENC1,8
Unlisted Lab: confirmatory testing for THC and Benzodiazepine,8
Unlisted Lab: soluble CD163 1ml pink top tube sendout to Cincinnati,8
"Unlisted Lab: Coccidioides Quantitative Ag EIA, MiraVista Diagnostics.",8
Unlisted Lab: Creatine and Guanidinoacetate (Urine),8
"Unlisted Lab: Lymphocytic Choriomeningitis (LCM) Virus Antibodies, IgG & IgM",8
Unlisted Lab: Karius test,8
Unlisted Genetic Test: Cincinnati Children's molecular genetics,8
Unlisted Lab: calcium level on peritoneal fluid,8
Unlisted Lab: arborvirus (Mayo ID: ABOPC),8
Unlisted Lab: Comprehensive Myositis Autoantibody Profile to Oklahoma Medical Research Foundation.  MINIMUM 2 mL serum,8
Unlisted Genetic Test: clonoSEQ; MRD for ALL,8
Unlisted Lab: Dried Blood Spot- galactocerebrosidase; send out to Greenwood Genetic Center,8
Unlisted Genetic Test: Hereditary Cancer Panel,8
Unlisted Lab: EBV DNA PCR send out to Quest.,8
"Unlisted Lab: Urine random Mercury level, HGRU",8
Unlisted Lab: Urine aminolevulinic acid to Mayo clinic.  See attached form.,8
Unlisted Lab: WashU Peripheral Neuropathy Panel,8
Unlisted Lab: Please send to MAYO test code MYCO,8
Unlisted Lab: dissacharidase testing,8
Unlisted Lab: ClonoSeq,8
Unlisted Lab: Biotin (B7) - Red top tube (full tube of blood needed)  - sendout to Mayo,8
Unlisted Lab: Zinc Transporter 8 Ab,8
Unlisted Lab: 3-5mL Na green top for pleximmune test,8
Unlisted Genetic Test: foundation one heme (STAT),8
Unlisted Lab: Guinea Pig Epithelia (e6) IgE [2606X],8
Unlisted Lab: invitae bone marrow failure PR05301.01,8
Unlisted Lab: ISAC panel,8
"Unlisted Lab: Encephalopathy, Autoimmune Evaluation, Spinal Fluid",8
"Unlisted Lab: Anti-Myelin Oligodendroccyte Glycoprotein , serum",8
"Unlisted Lab: Aquaporin4, serum",8
Unlisted Genetic Test: Send out tacrolimus level to confirm critically high level,8
Unlisted Lab: Autoimmune encephalitis panel (to be sent to Mayo),8
Unlisted Genetic Test: Developmental & Neurogenetics Laboratory,8
Unlisted Lab: Invitae epilepsy panel; please keep Invitae requisition form with sample,8
"Unlisted Lab: Circulating Immune Complexes (C1q-binding and C3d) sent to Advanced Diagnostic Laboratories National Jewish Health, Complement Laboratory. Test code: CIC",8
Unlisted Genetic Test: Unlisted Genetic Test: clonoSEQ; possible new diagnosis of ALL,8
Unlisted Lab: CD40L to Cincinnati,8
Unlisted Lab: anti-cytosol antibody,8
Unlisted Lab: ZnT8 send out lab,8
Unlisted Genetic Test: Invitae Arrhythmia and Cardiomyopathy Comprehensive Panel; CPT 02101,8
"Unlisted Lab: Folate metabolites, CSF",8
Unlisted Lab: Clobazam Level,8
Unlisted Lab: fk506 confirmation,8
Unlisted Lab: GeneDx test 109 - Shwachman Diamond,8
Unlisted Lab: serum test for enterovirus,8
Unlisted Lab: PID panel Invitae; please send with paperwork,8
"Unlisted Lab: UW Hematopathology - 3ml in EDTA, paper requisition provided to IR - request draw with line placement in IR",8
Unlisted Lab: pleximmune,8
Unlisted Genetic Test: Invitae Monogenic IBD,8
Unlisted Lab: Coccidiodes antigen send out to Mira Vista,8
Unlisted Lab: Oklahoma Myositis Panel,8
Unlisted Lab: send out to Mayo labs test code ENC1,8
Unlisted Genetic Test: Mitochondrial DNA sequencing to Baylor Genetics,8
Unlisted Lab: sC5b-9 level. Send out test to Quest. 3ml Blood in Lavender tube.,8
Unlisted Lab: Nocardia PCR and culture,8
Unlisted Lab: Mayo Autoimmune encephalitis panel (unlisted ENC1),8
Unlisted Lab: clobazam level send out,8
Unlisted Lab: Autoimmue encephalopathy panel- MAYO send out code ENC1,8
Unlisted Lab: TCR V-Beta Repertoire Analysis by Spectratyping (Sendout to Mayo),8
Unlisted Genetic Test: Branchiootorenal Syndrome Sequencing Panel with Del/Dup analysis from PreventionGenetics,8
Unlisted Lab: anti liver cytosol,8
Unlisted Genetic Test: Hereditary Melanoma Panel,8
"Unlisted Lab: Pleximmune, please send 5 ml whole blood in NA heparin tube. Send to lab with pleximmune paperwork (in front of chart)",8
Unlisted Lab: Paracoccidioides titers,8
Unlisted Lab: auto-immune epilepsy panel (Mayo ID: EPC1),8
Unlisted Lab: Fractionated alkaline phosphatase,8
Unlisted Lab: send out test to cincinnati childrens IL18,8
Unlisted Lab: prostaglandin D2,8
Unlisted Lab: send out: disaccharides,8
"Unlisted Lab: Phospholipase A2 Receptor antibody, serum.",8
Unlisted Lab: secretin pancreatic stimulation test,8
Unlisted Lab: Mayo myomarker panel,8
Unlisted Genetic Test: Send out whole exome sequencing to GeneDx,8
Unlisted Lab: Global Metabolomic Assisted Pathway Screen to Baylor (test code 4902),8
Unlisted Lab: Bactericidal Assay- Sendout to National Jewish Health.,8
Unlisted Lab: Please send cocci antigen to Mayo/Mirvista,8
Unlisted Genetic Test: 4 ml peripheral blood in EDTA (lavendar top) to send out to Developmental and Neurogenetics Laboratory (DNL) at Medical College of Wisconsin,8
Unlisted Lab: Fluid calcium,8
"Unlisted Lab: Serum send out for Mayo Clinic research testing. Draw 5ml SST tube at collection site-- Prefer 3 mL purified serum (fully spun down per lab standards, aliquoted off and immediately frozen serum ONLY), and shipped on dry ice.",8
"Unlisted Lab: Send out to Mayo, test code CDS1 CNS Demyelinating Disease Evaluation, Serum",8
"Unlisted Lab: send out lab to Mayo, autoimmune encephalitis serum, test code ENS1",8
Unlisted Lab: AUTOIMMUNE ENCEPHALITIS PANEL,8
Unlisted Lab: Bone Marrow Failure Panel to Invitae,8
Unlisted Genetic Test: InVitae Behind the Seizure Epilepsy Panel send out,8
Unlisted Lab: CSF Cocci antigen,8
Unlisted Genetic Test: send out genetic test to U Chicago (OK to draw from central line),8
Unlisted Lab: Encephalopathy Autoimmune Evaluation,8
Unlisted Lab: Repeat Dx - Telomere length 6 panel assay,8
Unlisted Genetic Test: Trio Whole Exome Sequencing through Baylor Genetics Laboratory,8
Unlisted Lab: S100 B send out to ARUP,8
Unlisted Lab: Repeat Dx Telomere Length Measurement  EDTA tube 5-10mL,8
Unlisted Lab: ZnT8 - zinc transporter,8
Unlisted Lab: Mayo clinic Test code ENC1 CSF encephalitis panel. Please send off 2mL,8
Unlisted Lab: Genetic testing for WAS (GeneDx; test code 505),8
Unlisted Lab: Mayo autoimmune encephalitis panel (send out) Test ID: ENCEC,8
Rapid HIV Antigen/Antibody,8
Unlisted Lab: SMARCB1 and SMARCA4 gene analysis,8
Unlisted Lab: Send out to UW Hematopathology: MRD draw 3 mL in EDTA (purple) on 3/1/18. Tina Baggott to bring requisition to send to lab,8
Unlisted Lab: Test code ENS1- send out lab to Mayo. 4mL in red top tube,8
Unlisted Lab: zinc transporter 8 antibody,8
Unlisted Genetic Test: Nephrotic syndrome/FSGS sequencing panel 1335- to Prevention Genetics,8
Unlisted Lab: send out to Invitae test code 03401 -- collect 3 mL in purple top tube,8
Unlisted Lab: send out to MNG labs - CSF pyruvate,8
Unlisted Genetic Test: Hereditary brain tumor panel,8
Unlisted Lab: Telomere Length Testing,8
Unlisted Lab: Ribosomal P antibody,8
Unlisted Lab: Aspergillus PCR send out,8
Unlisted Lab: vigabatrin level,8
Unlisted Genetic Test: Baylor Genetics - Trio Whole Exome Sequencing and Comprehensive mtDNA Analysis,8
"Unlisted Lab: CDS1 - CNS Demyelinating Disease Evaluation, Serum - Mayo Send out - Red top tube 3mL",8
Unlisted Lab: Rickettsia (LAB1264),8
Unlisted Lab: Urine reducing substances,8
Unlisted Lab: BK IgG  send out to Viracor,8
"Unlisted Lab: Cytochrome P450 3A5 Genotyping, CYP3A5, 2 Variants 2012740. Sendout to ARUP Labs.",8
Unlisted Lab: 3-5 mL NA heparin tube for Pleximmune,8
Unlisted Lab: urine D-lactate to quest 15970X,8
Unlisted Genetic Test: send out Invitae epilepsy panel TEST CODE: 03401,8
Unlisted Lab: CSF glycine,8
Unlisted Lab: Spinal Fluid Autoimmune Encephalopathy Evaluation Panel to Mayo Clinic. Test code #: ENC1,8
Unlisted Genetic Test: Dual Genome Panel (BCM-MitomeNGS) code 2085 to be sent to Baylor with paper requisition form. Draw 3-5mlml in laventder tube EDTA tube,8
Streptococcal Ab Profile,8
Unlisted Lab: liver cytosol antibody send out,8
"Mercury, Urine",8
Unlisted Lab: Coccidiodes serum antigen,8
TSH Receptor Ab,8
Unlisted Lab: Zika IgM,8
Unlisted Lab: Anti-MOG antibody,8
"Unlisted Lab: C3a, C5a, CH50, and SC5b-9 Level",8
"Unlisted Lab: Invitate Gata2 testing, PID panel",8
Unlisted Lab: 5mL PB in EDTA,8
"Unlisted Genetic Test: Comprehensive mtDNA Analysis by Massively Parallel Sequencing, Test code 2055, 81460x1, 81465x1, please send sample to Baylor Genetics Lab with test requisition form",8
"Unlisted Lab: Viracor Lab: aGvHD Post Treatment Algorithm, Test Number 403573P",8
"Unlisted Lab: Methylenetetrahydrofolate Reductase (MTHFR) Thermolabile Variant, DNA Analysis",8
Unlisted Lab: Mycoplasma pneumoniae IgG IgM,8
Unlisted Lab: Rufinamide level,8
Unlisted Lab: Thomas Jefferson urine sulfatides  test 82542,8
Unlisted Lab: TCR V beta spectratyping (send out to Mayo),8
Unlisted Lab: SEND OUT INVITAE EPILEPSY PANEL PR03401.04,8
Unlisted Lab: MICA antibody and Endothelial Cell Crossmatch,8
Transfusion Svc Prod 12,8
Unlisted Lab: IL-18 (send out to Cincinnati),8
"Triglycerides, (Non Pleural)",8
Unlisted Lab: CSF Neurochemical tests from MNG labs,8
Unlisted Lab: Adult and neonatal cholestasis sequencing panel: mm340. Send to Emory,8
Unlisted Lab: Mannose-Binding Lectin (MBL). Please draw 1ml (0.3 ml minimum) in a Gold or Red top tube. Do not use a glass tube.,8
Unlisted Genetic Test: Next generation sequencing for Bartter/ Gitelman Syndromes,8
Ictotest,8
Unlisted Lab: beta thalassemia PCR,8
