Name,Description
DIET135,DIET POST SURGICAL - STEP TWO
RXCUI9384,Rifampin
LABHCTX,HEMATOCRIT
DIET103,DIET LOW SODIUM
LABC4,"COMPLEMENT C4, SERUM"
RXCUI221147,Polyethylene Glycol 3350
LABBBPPLT,PLATELET APHERESIS PRODUCT
LABANER2,"ANAEROBIC CULTURE, SHORT BATTERY"
LABVCULT,"VIRAL CULTURE, TISSUE"
LABSPLAC,SEPSIS PROTOCOL LACTATE
LABROMRS,MRSA SCREEN
RXCUI4832,Glucagon
RXCUI9881,Sodium Hypochlorite
RXCUI7417,Nifedipine
RXCUI4249,Factor Ix
IMGMRSLWWO,MR L-SPINE WITH AND WITHOUT CONTRAST
RXCUI274783,Insulin Glargine
LABRESPCR,RESPIRATORY VIRUS PCR PANEL
LABPTH,PARATHYROID HORMONE
CON341,REQUEST FOR LANGUAGE SVS
DIET117,DIET CALORIE CONTROLLED
RT107,RESP - ABG PUNCTURE
IMGCTTW,CT THORAX W CONTRAST
DC1,DISCHARGE DIET
RT81,RESP - PEAK EXPIRATORY FLOW
RXCUI746741,Pramipexole
LAB11824R,BUSULFAN
LABHAVT,ANTI-HAV
LABVPAL,VALPROIC ACID
RXCUI703,Amiodarone
IMGNINDWBCS,NUC INDIUM WHITE CELL SCAN
LABAMY,"AMYLASE, SERUM"
LABVZAB,VARICELLA ZOSTER VIRUS AB IGG
RXCUI1901,Calcium Chloride
LABCO2,"CO2, SERUM/PLASMA"
RXCUI704,Amitriptyline
LABURNA,"SODIUM, URINE"
LABPHOS,"PHOSPHORUS, SERUM/PLASMA"
RXCUI10438,Theophylline
LAB11024R,EB VIRAL CAPSID AG IGM AB
IMGMRSROF,"MR C, T, OR L-SPINE OUTSIDE STUDY FOR REFERENCE ONLY"
LABFLUAPX,FLU A PCR REFLEX TO 2009 H1N1
RXCUI40790,Pantoprazole
10150R,HLA ORDER - SUMMARIES
CON318,CONSULT TO VASCULAR
LABBCRABL,"BCR - ABL, BLOOD"
RXCUI8410,Alteplase
RXCUI10156,Sucralfate
RXCUI3002,Cyclophosphamide
IMGDXFT3RT,XR FOOT 3V RT
LABUTP,"PROTEIN, URINE"
IMGIRCHESTRT,IR CHEST TUBE PCMT W FLUORO RT
LABFTP,"PROTEIN TOTAL, FLUID"
POC19,"POC ISTAT, VENOUS NA, K, GLUCOSE, HCT, HEMOGLOBIN"
PRE1,ASSAULT PRECAUTIONS
IMGDXPEL3,XR PELVIS 3V
"RXCUI733,10167",Ampicillin-Sulbactam
CON321,CONSULT TO ORTHOPEDICS
LABYSTOSM,"OSMOLALITY, STOOL"
REF41,REFERRAL TO RENAL/NEPHROLOGY
ISO9,DROPLET ISOLATION
RT997,RESP - LUNG PROTECTIVE VENTILATION PROTOCOL
RXCUI72302,Ropinirole
LABBLC,BLOOD CULTURE
IMGDXFEMLT,XR FEMUR LT
RXCUI4278,Famotidine
RXCUI3628,Dopamine
LABERURBC,EMERGENCY RELEASE RBC
DIET115,DIET FAT RESTRICTED
LABERUPLT,EMERGENCY RELEASE PLT
RXCUI384455,Tigecycline
IMGDXEL2RT,XR ELBOW 2V RT
LABGCCR2,GC MOLECULAR DETECTION
RXCUI2890,Cosyntropin
LABMB,"CK, MB"
LABFK506L,TACROLIMUS
RXCUI40048,Carboplatin
MED5940,Acetaminophen-Oxycodone
RXCUI10600,Timolol
CR132,CAST ROOM UNLISTED
LABFLDH,"LDH TOTAL, FLUID"
IMGUSPEP,US RENAL ARTERY
IMGMRP,MR PELVIS
LABNH3,"AMMONIA, PLASMA"
RXCUI183379,Rivastigmine
CON302,CONSULT TO SOCIAL WORK
LABLIDOL,LIDOCAINE
2109394,CHEST TUBE
LABHELAG,"HELICOBACTER PYLORI AG, STOOL"
RXCUI139825,Insulin Detemir
LABC125,CANCER AG 125
LABACTHO,ADRENOCORTICOTROPIC HORMONE
LABPALB,PREALBUMIN
LABPT,PROTHROMBIN TIME
RXCUI5552,Hydroxyurea
DIET137,DIET NPO AFTER MIDNIGHT FOR SURGERY
CON363,NSG REFERRAL TO DIABETES CNS
RXCUI9947,Sotalol
RXCUI6754,Meperidine
RT998,RN/RT PERFORM SAFETY SCREEN
ECH16,ECHO - TRANSESOPHAGEAL ECHO
LABCSMPBM,"CANCER SOMATIC MUTATION PNL, BM"
LEG3,LEGAL STATUS: DENIAL OF PATIENT RIGHTS
RXCUI25025,Finasteride
RXCUI281,Acyclovir
PATH10,SURGICAL GENERAL
LABK,"POTASSIUM, SERUM/PLASMA"
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Zinc Chloride"
DIET136,"DIET GRAFT VERSUS HOST DISEASE, LOW MICROBIAL"
LABDIGL,"DIGOXIN, SERUM"
MED15882,Glucose-Sodium Chloride
RXCUI11248,Vitamin B 12
RXCUI17767,Amlodipine
RXCUI40254,Valproate
MED14858,Glucose-Potassium Chloride-Sodium Chloride
LABHCVA,HEPATITIS C AB IGG
IMGIRIVCPMT,IR IVC FILTER PLACEMENT
"RXCUI426,1091,4850,4919,5340,6033,6308,6536,6585,6837,89905,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308","Alanine-Arginine-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1"
RXCUI8782,Propofol
IMGMRST,MR T-SPINE
RXCUI38404,Topiramate
IMGCT3D,CT RECONSTRUCTION
REF24,REFERRAL TO PULMONARY MEDICINE
RXCUI19666,Nesiritide
RT98,RESP - MIF AND VITAL CAPACITY
RXCUI4955,Glycopyrrolate
IMGDXSH1RT,XR SHOULDER 1V RT
RXCUI6963,Midodrine
RXCUI3827,Enalapril
"RXCUI3264,4850,26225",Dexamethasone-Glucose-Ondansetron
"RXCUI426,1091,1908,21032,21579,4278,4850,4919,5224,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Famotidine-Glucose-Glycine-Heparin-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
RXCUI2062,Carboxymethylcellulose
PATH11,DERMATOPATHOLOGY
RXCUI190376,Linezolid
LABFLCR,FREE LIGHT CHAIN RATIO
NEUR25,EPILEPSY MONITORING EPM-EEG
RXCUI2105,Carmustine
NUR818,TRANSFUSE CRYO
IMGDXAB1,XR ABDOMEN 1V
RXCUI26225,Ondansetron
LABISOF,ISOLATOR FUNGUS
IMGDXELROF,XR LOWER EXTREMITY OUTSIDE STUDY FOR REFERENCE ONLY
RXCUI237159,Levalbuterol
RXCUI3418,Dihydroergotamine
LABSSBABY,ANTI-LA ANTIBODY
REF33,REFERRAL TO HEPATOLOGY
LABPCG3V,"ISTAT G3+, VENOUS"
IMGDXKN3RT,XR KNEE 3V RT
LABLPDC,LIPID PANEL WITH CALCULATED LDL
LABYCOPPR,"COPPER, SERUM"
MED36063,Potassium Chloride-Sodium Chloride
RT105,RESP - TRACHEOSTOMY WEAN/DECANNULATION PROTOCOL
RXCUI39998,Zonisamide
IMGDXFT2LT,XR FOOT 2V LT
RXCUI298869,Eplerenone
LABANCA,NEUTROPHIL CYTOPLASMA REFLEX AB PANEL
MED93483,Hydrochlorothiazide-Losartan
RXCUI42386,"Immunoglobulins, Intravenous"
IMGDXAN3LT,XR ANKLE 3V LT
RXCUI119565,Tolterodine
REF44,REFERRAL TO PAIN CLINIC
DIET122,DIET NUTRITIONAL SUPPLEMENTS
RXCUI1347,Beclomethasone
RXCUI7676,Opium
RXCUI35780,Ropivacaine
DIET105,DIET LIVER
RXCUI5640,Ibuprofen
PFT54,SPIROMETRY WITH DLCO
PRE3,ASPIRATION PRECAUTIONS
LABTBPCRS,"M. TUBERCULOSIS PCR, SPECIMEN"
RXCUI2396,Chlorothiazide
RXCUI6058,Isosorbide Dinitrate
RXCUI25789,Glimepiride
RXCUI4316,Felodipine
IMGCT3TAP,CT ANGIO CHEST ABDOMEN PELVIS
SLP6,SLP PASSY MUIR VALVE EVALUATE AND TREAT
RXCUI2193,Ceftriaxone
LABEBPCRQ,EBV BY PCR QUANTITATIVE
RXCUI49276,Doxazosin
LABFCUL,FUNGAL CULTURE
IMGCTPAN,CT PANCREAS
LABCL,"CHLORIDE, SERUM/PLASMA"
IMGUSIN,US INTRAOPERATIVE
RXCUI2556,Citalopram
IMGCTA,CT ABDOMEN
LAB12631R,VORICONAZOLE LEVEL
RXCUI26237,Granisetron
IMGMRSF,MR SPINE FULL
LABEB,EBV AB PANEL
MED15955,Epinephrine-Lidocaine
LABHV6DNA,HERPES VIRAL 6 DNA QUALITATIVE
IMGDXHUMRT,XR HUMERUS 2V RT
LABTSHFT4,TSH W/ REFLEX FT4
LABUSPG,"SPECIFIC GRAVITY, URINE"
LABTRFS,TRANSFERRIN SATURATION
GIVCE,VIDEO CAPSULE ENDOSCOPY
LABSTPOLY,"WBC FOR IBD, STOOL"
RXCUI21949,Cyclobenzaprine
RXCUI7052,Morphine
IMGDXHA2RT,XR HAND 2V RT
LABCBCO,CBC
MED200408,Budesonide-Formoterol
MED540702,BLUE FOOD COLORING-FD&C BLUE1
LABADVDNA,"ADENOVIRUS DNA, QUALITATIVE PCR"
LABTES,TESTOSTERONE
LABURK,"POTASSIUM, URINE"
RXCUI49737,Esmolol
RXCUI9796,Simethicone
CON403,CONSULT TO DIABETES TEAM
LABCSFLD,"LDH, CSF"
RXCUI134615,Brimonidine
IMGFLERCPS,"XR ERCP W SPHICTEROTOMY, BILIARY AND PANCREAS"
RXCUI4450,Fluconazole
EKG5,ECG 12-LEAD
LABUEOS,"EOSINOPHILS, URINE"
RXCUI275891,Valganciclovir
LAB11041R,FREE HEMOGLOBIN
SLP7,SLP ONGOING TREATMENT
RXCUI187832,Pregabalin
LABURTP,"PROTEIN, URINE"
NEUR6,EMG AND NERVE CONDUCT STUDIES
RXCUI48937,Dexmedetomidine
RXCUI17128,Lansoprazole
RXCUI39954,Zinc Sulfate
RXCUI6472,Lovastatin
CON22,CONSULT TO SPIRITUAL CARE
RXCUI10355,Temazepam
LABGASBLD,OCCULT BLOOD GASTRIC
CON401,CONSULT TO ARRHYTHMIA RN
LABTBIL,"BILIRUBIN TOTAL, SERUM/PLASMA"
LABHIVQ2,HIV QUANTITATIVE PCR
RXCUI42463,Pravastatin
RXCUI71535,Vecuronium
LABSTLCX,STOOL CULTURE
LABFLDB,FLUID CULTURE / BB GRAM STAIN
LABMETB,"METABOLIC PANEL, BASIC"
LABCR,"CREATININE, SERUM/PLASMA"
MED855,Bacitracin-Polymyxin B
RXCUI20352,Carvedilol
LABVP3,COMPREHENSIVE HEPATITIS PANEL
LABFE,"IRON, TOTAL"
RXCUI4910,Glycerin
LABHIAB,HEPARIN INDUCED AB
RXCUI61381,Olanzapine
LABHBCA,IGM ANTI-HBC
CON379,CONSULT TO HEPATOLOGY
MED78668,Albuterol-Ipratropium
IMGFLGI,XR UPPER GI
LABCRYO,CRYOPROTEIN SEMI - QUANTITATIVE
RXCUI37798,Terazosin
"RXCUI426,1091,1908,4850,4919,5340,6033,6308,6536,6585,6837,89905,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308","Alanine-Arginine-Calcium Gluconate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1"
PFT52,PULMONARY SIX MINUTE WALK STUDY
CR107,SLING
LABYA1AS,ALPHA - 1 - ANTITRYPSIN
DIET150,DIET FULL LIQUID
IMGCTH,CT HEAD
RXCUI10154,Succinylcholine
IMG2OA,IR ANGIOGRAM OTHER
LABPCEC4O,"ISTAT EC4, OTHER"
IMGMRSTL,MR T-SPINE AND L-SPINE
CON333,CONSULT TO NEUROLOGY
IMGFLLP,XR LUMBAR PUNCTURE
2109388,LIMITED ULTRASOUND
LABGLF,GLUCOSE FASTING
RXCUI6932,Miconazole
MED540549,"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A"
IMG11AR1,CAR CATH HEART RT 1
IMGCATH5,CAR CORONARY INTERVENTION
IMGCTNS,CT NECK
LAB11075R,SMOOTH MUSCLE AB
PFT59,SPIROMETRY
RXCUI519,Allopurinol
GIEERCP,ERCP PROCEDURE
RXCUI86009,Insulin Lispro
LABMETC,"METABOLIC PANEL, COMPREHENSIVE"
MED77989,Aspirin-Dipyridamole
POC5,POC STOOL - OCCULT BLOOD EXAM
POC15,"POC ISTAT, ARTERIAL BLOOD GASES AND LACTATE"
LABCSFCT,"CELL COUNT AND DIFF, CSF"
RXCUI89905,Multivitamin Preparation
RXCUI52358,Magnesium Gluconate
MED116753,Multivitamin Preparation-Zinc Gluconate
RXCUI4256,Factor Viia
RXCUI3638,Doxepin
RXCUI6387,Lidocaine
LABVCUL,VIRAL CULTURE
LABGRAM,GRAM STAIN
RXCUI300195,Tenofovir Disoproxil
LABUAS,URINALYSIS MACROSCOPIC ONLY
RXCUI140108,Caspofungin
RXCUI4083,Estradiol
LABTSH,TSH
LABACETA,"ACETAMINOPHEN, SERUM"
RXCUI1202,Atenolol
LABPCEG7,"ISTAT EG7, ARTERIAL"
CON310,CONSULT TO MEDICINE
RXCUI6205,Lactobacillus Acidophilus
LABDIC,DIC SCREEN
RXCUI6719,Memantine
CR103,ABDUCTION WEDGE
LABPCCG4,"ISTAT CG4, ARTERIAL"
LABVBG,"BLOOD GASES, VENOUS"
LABWDCG,WOUND CULTURE AND GRAM STAIN
RT101,RESP - FLUTTER/PEP THERAPY
LABYCERU,CERULOPLASMIN
LABFACT8,FACTOR VIII ASSAY
IMGMRSFWWO,MR SPINE FULL WITH AND WITHOUT CONTRAST
MED15861,Glucose-Sodium Chloride
LABCMVIGT,CMV IGG
DIET101,DIET CLEAR LIQUID
LABREF1,LAB UNLISTED 1
RXCUI7226,Nadolol
RXCUI135447,Donepezil
RXCUI42347,Bupropion
RXCUI8704,Prochlorperazine
RXCUI6901,Methylphenidate
LABTRXNWI,TRANSFUSION REACTION WORKUP
MED200273,Polyethylene Glycol 3350-Potassium Chloride-Sodium Bicarbonate-Sodium Chloride-Sodium Sulfate
RXCUI321064,Olmesartan
IMGDXFEMRT,XR FEMUR RT
MED208091,Amylases-Endopeptidases-Lipase
RXCUI9524,Sulfasalazine
MED540507,INFLUENZA 2009-10 VAC
MED225590,Albuterol-Ipratropium
MED7555,Sulfamethoxazole-Trimethoprim
2109371,INTUBATION
LABBUN,"UREA NITROGEN, SERUM/PLASMA"
LABUALB,"ALBUMIN WITH CREATININE, URINE"
RXCUI228790,Dutasteride
REF56,REFERRAL TO STANFORD INTERNAL MEDICINE
RXCUI2101,Carisoprodol
LABPHME,PH BY METER
IMGCTTAP,CT CHEST ABDOMEN PELVIS
REF48,REFERRAL TO UROLOGY CLINIC
RXCUI6470,Lorazepam
MED80259,Diatrizoate-Sodium
POC25,POC ISTAT INR AND PROTIME
RXCUI18993,Benzonatate
DIET114,DIET VEGETARIAN
LABROMSP,MICROSPORIDIUM SCREEN
RXCUI5531,Hetastarch
REF34,REFERRAL TO IMMUNOLOGY/RHEUMATOLOGY
LABHBSAG,HBSAG
RXCUI72236,Fosphenytoin
CON103,CONSULT TO IR - BIOPSY
NUR820,TRANSFUSE PLT
LABCRCL,"CREATININE CLEARANCE, URINE"
RT73,RESP - NON INVASIVE POS. PRESS VENT
CON301,CONSULT TO CASE MANAGEMENT
LABPCCH8,"ISTAT CR, HCT/HB, CL , BUN, NA, K, GLUCOSE, ICA, TCO2"
IMGCTAROF,CT ABDOMEN OUTSIDE STUDY FOR REFERENCE ONLY
REF18,REFERRAL TO HEMATOLOGY
LABBHCG,BETA HCG
RXCUI28439,Lamotrigine
MED203465,Potassium Phosphate-Sodium Phosphate
LABSYNCT,"CELL COUNT AND DIFF, SYNOVIAL FLUID"
IMGDXAB2,ABDOMEN WITH DECUB AND/OR UPRIGHT
LAB11071R,MITOCHONDRIAL AB
LABEVPCR,ENTEROVIRUS BY PCR
RXCUI32624,Oxcarbazepine
LABURNC,URINE CULTURE
CON357,CONSULT TO TRAUMA-ACUTE CARE SURGERY
OT3,OT SPLINT ONGOING TREATMENT
LABDVERO,ROTAVIRUS EIA
RXCUI11473,Pamidronate
LABHGBP,"HEMOGLOBIN, PLASMA"
LABMGN,"MAGNESIUM, SERUM/PLASMA"
LABDOA,"DRUGS OF ABUSE SCREEN, URINE"
IMGUSROF,US READING OUTSIDE FILM
LABASI,AB SCREEN
MED34505,Acetaminophen-Hydrocodone
LABCRYST,"CRYSTAL ANALYSIS, SYNOVIAL FLUID"
LABURUN,"UREA, URINE"
IMGCTTA,CT CHEST ABDOMEN
SLP20,SLP - NO SKILLED THERAPY NEEDS
RXCUI3322,Diazepam
MED15954,Epinephrine-Lidocaine
LABYERYTH,ERYTHROPOIETIN
RXCUI6628,Mannitol
"RXCUI4850,8591,56443,9863",Glucose-Potassium Chloride-Sodium Acetate-Sodium Chloride
PRE6,HEMORRHAGE PRECAUTIONS
RXCUI11124,Vancomycin
LABDDIM,D - DIMER
IMGDXCLAVLT,XR CLAVICLE LT
IMGDXSPC2,"XR SPINE, CERVICAL 2V"
IMGDXCHLP,CHEST 1 VIEW FOR LINE PLACEMENT
MED77973,Fluticasone-Salmeterol
RXCUI43611,Latanoprost
POC16,"POC ISTAT,VENOUS BLOOD GASES AND LACTATE"
RXCUI114979,Rabeprazole
MED540141,GI COCKTAIL
LABCK,"CREATINE KINASE, TOTAL"
RXCUI9997,Spironolactone
RXCUI37418,Sumatriptan
RXCUI260101,Oseltamivir
RXCUI140587,Celecoxib
OT20,OT - NO SKILLED THERAPY NEEDS
IMGCATH6,"CAR DIAGNOSTIC, CARDIAC CATH"
IMGMRAB,MR ABDOMEN
RXCUI3616,Dobutamine
LABBBPCRY,CRYOPRECIPITATE
LABHAP,HAPTOGLOBIN
LABHCLOTI,HOLD CLOT
CON106,CONSULT TO IR - TUBE DRAIN
LAB11020R,EB VIRUS EARLY AG
2109357,CENTRAL LINE
LABSIROL,SIROLIMUS LEVEL
RXCUI73137,Tirofiban
RXCUI27334,Hypromellose
LABROPK,ISOSPORA/CYCLOSPORA SCREEN
MED28384,Acetaminophen-Hydrocodone
RXCUI20489,Cefpodoxime
IMGDXKN2RT,XR KNEE 1 OR 2V RT
RXCUI29046,Lisinopril
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8591,8737,9671,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Potassium Chloride-Proline-Serine-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
NUR6147,PICC REMOVAL
IMGDXTIBLT,XR TIBIA AND FIBULA LT
LABSLHELD,SLIDE HELD FOR REVIEW
RXCUI8754,Propafenone
"RXCUI3639,4179,9863,11202",Doxorubicin-Etoposide-Sodium Chloride-Vincristine
IMGDXHIP2PLT,HIP 2 VIEWS LEFT AND PELVIS
IMGUSCAR,US CAROTID ARTERY BILAT
RXCUI82003,Docusate
IMGUSABDD,US ABDOMEN W DUPLEX
MED114467,Buprenorphine-Naloxone
LABGIARS,GIARDIA SCREEN
IMGCTSC,CT SPINE CERVICAL
LABUA,URINALYSIS WITH MICROSCOPIC
DIET113,DIET HIGH CALORIE HIGH PROTEIN
IMGUSVUUPLT,US VEIN UPPER EXTREMITY LEFT R/O DVT
RXCUI6916,Metolazone
LABTCDIF,"C DIFFICILE TOXIN B, STOOL"
RXCUI2191,Ceftazidime
IMGUSTXL,US LIVER TRANSPLANT
RXCUI3423,Hydromorphone
MED126066,Calcium Carbonate-Cholecalciferol
RXCUI1894,Calcitriol
LABCYTOG,CYTOGENETICS REPORT
MED90841,Camphor-Menthol
IMGCTP,CT PELVIS
MED95140,Pneumococcal Capsular Polysaccharide Type 1 Vaccine-Pneumococcal Capsular Polysaccharide Type 10A Vaccine-Pneumococcal Capsular Polysaccharide Type 11A Vaccine-Pneumococcal Capsular Polysaccharide Type 12F Vaccine-Pneumococcal Capsular Polysaccharide Type 14 Vaccine-Pneumococcal Capsular Polysaccharide Type 15B Vaccine-Pneumococcal Capsular Polysaccharide Type 17F Vaccine-Pneumococcal Capsular Polysaccharide Type 18C Vaccine-Pneumococcal Capsular Polysaccharide Type 19A Vaccine-Pneumococcal Capsular Polysaccharide Type 19F Vaccine-Pneumococcal Capsular Polysaccharide Type 2 Vaccine-Pneumococcal Capsular Polysaccharide Type 20 Vaccine-Pneumococcal Capsular Polysaccharide Type 22F Vaccine-Pneumococcal Capsular Polysaccharide Type 23F Vaccine-Pneumococcal Capsular Polysaccharide Type 3 Vaccine-Pneumococcal Capsular Polysaccharide Type 33F Vaccine-Pneumococcal Capsular Polysaccharide Type 4 Vaccine-Pneumococcal Capsular Polysaccharide Type 5 Vaccine-Pneumococcal Capsular Polysaccharide Type 6B Vaccine-Pneumococcal Capsular Polysaccharide Type 7F Vaccine-Pneumococcal Capsular Polysaccharide Type 8 Vaccine-Pneumococcal Capsular Polysaccharide Type 9N Vaccine-Pneumococcal Capsular Polysaccharide Type 9V Vaccine
MED225803,INFLUENZA 2012-13 VAC
NEUR2,EEG
RT84,RESP - OXYGEN ADMINISTRATION
IMGMRH,MR BRAIN
LABHIVWBL,ANTI-HIV
CRP221,ANGIOGRAM CEREBRAL W COILING
IMGMRSTO,MR STEREOTACTIC ON-CALL
RXCUI4099,"Estrogens, Conjugated"
IMGCT3AR,CT ANGIO ABDOMEN RUNOFF
LABHFP,HEPATIC FUNCTION PANEL A
LABHAVM,IGM ANTI-HAV
LABVZVIGG,VZ IGG
MED82190,Benzocaine-Tetracaine-Butamben
CR131,OVERHEAD BED FRAME & TRAPEZE
LABCMVRO,CMV RULE OUT
RXCUI20610,Cetirizine
LABHBCT,ANTI-HBC
LABUCR,"CREATININE, URINE"
LABTEGCP,THROMBELASTOGRAPH CLOTTING PROFILE
RXCUI301542,Rosuvastatin
LABTOBPRL,TOBRAMYCIN TROUGH LEVEL
IMGDXFORLT,XR FOREARM 2V LT
IMGIRBILTBPLM,IR BILIARY TUBE PCMT DE NOVO
RXCUI6960,Midazolam
RXCUI3407,Digoxin
RT90,RESP - SPONTANEOUS BREATHING TRIAL
LABSCMV,CMV SHELL VIAL CULTURE
LABAFP,"ALPHA FETOPROTEIN, SERUM"
LABFCR,"CREATININE, FLUID"
LABBLC2,BLOOD CULTURE
LABBKVPCU,"BK VIRUS PCR, QUANT, URINE"
MED9407,Carbidopa-Levodopa
LEG2,LEGAL STATUS: 72 HR HOLD
SLP50,SLP FEES SWALLOW EVALUATE AND TREAT
RXCUI214824,Sevelamer
LABPCG3,"ISTAT G3+, ARTERIAL"
RES5,NON-VIOLENT RESTRAINTS
LABAFBCF,"AFB CULTURE, RESPIRATORY FOR CYSTIC FIBROSIS"
RXCUI7258,Naproxen
RXCUI4457,Flumazenil
LABYENPCR,ENTEROVIRUS PCR
"RXCUI1815,4337,9863",Bupivacaine-Fentanyl-Sodium Chloride
IMGDXWR2LT,XR WRIST 2V LT
PRE10,SEIZURE PRECAUTIONS
IMGUSHEP,US HEPATOMA SURVEY
IMGUSAB1L,US ABDOMEN LTD
RXCUI5470,Hydralazine
LABBBPFFP,FRESH FROZEN PLASMA PRODUCT
LABTT,THROMBIN TIME
RXCUI20481,Cefepime
RXCUI6054,Isoproterenol
IMGUSKID,US KIDNEY SCAN
LABCYCWBL,"CYCLOSPORINE, WHOLE BLOOD"
RXCUI613391,Prasugrel
"RXCUI10180,10829",Sulfamethoxazole-Trimethoprim
RXCUI32968,Clopidogrel
ECH30,ECHO - EXERCISE STRESS ECHO
RXCUI734064,Desvenlafaxine
LABUNAT,"SODIUM, URINE"
RXCUI41126,Fluticasone
RXCUI142438,Gentamicin Sulfate
RT104,RESP - VENTILATOR SETTINGS
CON315,CONSULT TO ENDOCRINOLOGY
RXCUI283742,Esomeprazole
RXCUI1998,Captopril
IMGMRROF,MRI OSF READING
LABPCYS,PNEUMOCYSTIS STAIN
LABINSLF,INSULIN FASTING
POC31,POC NITRAZINE PAPER FOR PH MEASUREMENT
RXCUI4337,Fentanyl
RXCUI5224,Heparin
RXCUI283821,Rasburicase
RXCUI283809,Travoprost
CON319,CONSULT TO ICU
MED33228,Amoxicillin-Clavulanate
RXCUI22178,Cytomegalovirus Immune Globulin
"RXCUI426,1091,1908,4850,4919,5340,6033,6308,6536,6585,6837,89905,8156,54987,8737,253182,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308","Alanine-Arginine-Calcium Gluconate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Regular Insulin, Human-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1"
RXCUI4719,Gemfibrozil
LABKOHP,KOH / CALCOFLUOR
IMGDXHIP1PRT,HIP 1 VIEW RIGHT AND PELVIS
LABDBIL,"BILIRUBIN DIRECT, SERUM/PLASMA"
LABUCRT,"CREATININE, URINE"
RXCUI6185,Labetalol
IMGDXSPTL,"XR SPINE, THORACOLUMBAR, 2V AP LAT"
LABHIVAB,HIV
LABCHOL,"CHOLESTEROL TOTAL, SERUM/PLASMA"
LAB11123R,"COCCI CF AB, CSF"
LABHSVPCR,"HERPES SIMPLEX PCR, CSF"
LABAST,"AST, SERUM/PLASMA"
LABCLACT,"LACTIC ACID, CSF"
RXCUI8948,Purified Protein Derivative Of Tuberculin
LABSTOOLC,STOOL CULTURE
RXCUI62427,Ursodeoxycholate
"RXCUI4603,4850,8591,56443,9863",Furosemide-Glucose-Potassium Chloride-Sodium Acetate-Sodium Chloride
LABDDIML,D - DIMER
CON317,CONSULT TO NEUROSURGERY SERVICE
RXCUI214688,Magnesium Lactate
RXCUI32937,Paroxetine
RXCUI2599,Clonidine
RXCUI5553,Hydroxyzine
RXCUI39993,Zolpidem
RXCUI197,Acetylcysteine
RXCUI8825,Protamine Sulfate
SLP10,SLP SWALLOW EVALUATE AND TREAT
MED204238,Acellular Pertussis Vaccine-Diphtheria Toxoid Vaccine-Tetanus Toxoid Vaccine
